# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 -9.817584953166200168e-02 -1.006371371417299765e-01 -9.527999094163670801e-02 -1.028337379903259963e-01 -9.210892863687496213e-02 -1.039237972261692206e-01 -9.124127219384171872e-02
1.258925411794166183e+10 -1.030882687873694720e-01 -1.059581270907729300e-01 -9.947844823209174570e-02 -1.088843613312695524e-01 -9.618795291079590415e-02 -1.160224471519697986e-01 -9.579680214691960183e-02
1.584893192461110878e+10 -1.079574000119509630e-01 -1.113706402774366500e-01 -1.050689610634064214e-01 -1.142899583977027844e-01 -1.031512956016148175e-01 -1.173547315528624263e-01 -1.009052616970611688e-01
1.995262314968882751e+10 -1.150246843450198203e-01 -1.179538455455221568e-01 -1.113961923338717269e-01 -1.208390187159772700e-01 -1.085725031011609137e-01 -1.226639844102076909e-01 -1.072153808876856323e-01
2.511886431509582138e+10 -1.228055204119899158e-01 -1.252916848542034445e-01 -1.194621218582676975e-01 -1.272179097896343480e-01 -1.158180279537224383e-01 -1.292326722224302060e-01 -1.135356444579364577e-01
3.162277660168379211e+10 -1.301694037525528980e-01 -1.346801777043784287e-01 -1.252431329051565956e-01 -1.396452304419529833e-01 -1.222084385503704185e-01 -1.423066616188634059e-01 -1.201174193789536215e-01
3.981071705534969330e+10 -1.390455023706405058e-01 -1.433939662247776525e-01 -1.340321628890542849e-01 -1.469404455809764642e-01 -1.302368765261515127e-01 -1.480973703242451922e-01 -1.249177554993932127e-01
5.011872336272714996e+10 -1.474576024372331873e-01 -1.524086323302386303e-01 -1.429867272041533688e-01 -1.556279870083104866e-01 -1.383760424494784591e-01 -1.599036877380667354e-01 -1.369447126049444241e-01
6.309573444801942444e+10 -1.594381075971204598e-01 -1.655312593227487028e-01 -1.532326888644175711e-01 -1.708873190571233436e-01 -1.460176817901001622e-01 -1.738891172501146054e-01 -1.441017101608311757e-01
7.943282347242822266e+10 -1.687436997022940255e-01 -1.769048657234734701e-01 -1.609118872089617125e-01 -1.808562107189659873e-01 -1.551541739242840445e-01 -1.904413350559691076e-01 -1.517566491301822751e-01
1.000000000000000000e+11 -1.775134006875119241e-01 -1.837985852475365056e-01 -1.681935985636435760e-01 -1.899561242915216441e-01 -1.605444947812832424e-01 -1.957894268170041474e-01 -1.567697443551301362e-01
1.258925411794166107e+11 -1.775026756072643486e-01 -1.864126437798492852e-01 -1.693964629528644517e-01 -1.973385134718150247e-01 -1.585578497443130841e-01 -2.002640445791738499e-01 -1.568681127512496776e-01
1.584893192461117249e+11 -1.801441652365938229e-01 -1.915431497077287326e-01 -1.692951735842203043e-01 -2.011162838590489499e-01 -1.608338458463681730e-01 -2.136066447570300619e-01 -1.551197925610211803e-01
1.995262314968882751e+11 -1.847392785626936207e-01 -1.968884183173799096e-01 -1.733263948532318410e-01 -2.070298686799835475e-01 -1.602024491852954702e-01 -2.206332232336812305e-01 -1.584748609508734862e-01
2.511886431509582214e+11 -1.934223546448758102e-01 -2.059107732826219728e-01 -1.802898062238890708e-01 -2.158248388210413093e-01 -1.655706665114747289e-01 -2.299894411604210820e-01 -1.594649101437014549e-01
3.162277660168379517e+11 -2.017251880150944809e-01 -2.224487422702726147e-01 -1.892525523941957777e-01 -2.347553708072510625e-01 -1.775232451509915488e-01 -2.537876534265336437e-01 -1.755850681537331204e-01
3.981071705534985352e+11 -2.191802854476890272e-01 -2.361462688299446888e-01 -2.013365108615100540e-01 -2.503162950540175902e-01 -1.886616572482725518e-01 -2.670203216729152840e-01 -1.764919143595390927e-01
5.011872336272734985e+11 -2.363136232740379317e-01 -2.564121600141422985e-01 -2.147144252703698242e-01 -2.694370327513063712e-01 -1.947813790325104155e-01 -2.796921478470688061e-01 -1.887182092313062498e-01
6.309573444801943359e+11 -2.430425932066518357e-01 -2.710412065119375269e-01 -2.238087671204606055e-01 -2.932963839908920844e-01 -1.848445874182722271e-01 -2.998960839339805950e-01 -1.754205187413201972e-01
7.943282347242821045e+11 -2.599702419232663431e-01 -2.924148978632269413e-01 -2.321157373976242555e-01 -3.147752945475414399e-01 -2.020128356072053988e-01 -3.355343698550639631e-01 -1.646547008918697597e-01
1.000000000000000000e+12 -2.608491551037075418e-01 -2.967522634924706360e-01 -2.257544316126113282e-01 -3.312347752799637002e-01 -1.888526358098842617e-01 -3.678865431665689911e-01 -1.621079460175274545e-01
1.258925411794171387e+12 -2.651038959294464425e-01 -3.163876049714611782e-01 -2.228677901277889561e-01 -3.534570513547380388e-01 -1.685151726117226634e-01 -3.898353323805098247e-01 -1.551342500860652673e-01
1.584893192461117432e+12 -2.818599810851043497e-01 -3.341736960730883332e-01 -2.193648749257237629e-01 -4.010696261598045709e-01 -1.894662999431956929e-01 -4.157409652541008693e-01 -1.548980470246602015e-01
1.995262314968882812e+12 -3.178912070592457284e-01 -4.126740154595951449e-01 -2.594910148268759209e-01 -4.979118533670053859e-01 -1.595808129044991586e-01 -5.310416171448497646e-01 -9.698240580450898096e-02
