# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 6.300081263977463930e-01 6.281771785895029492e-01 6.322593495081130222e-01 6.260406568083818346e-01 6.342691652077803166e-01 6.251455388560970272e-01 6.347738521923546040e-01
1.258925411794166183e+10 6.287026029276990835e-01 6.264522442227280496e-01 6.308021790855977695e-01 6.250808469668647227e-01 6.324639261955264935e-01 6.242616384882327951e-01 6.331441636482767477e-01
1.584893192461110878e+10 6.261357102932116891e-01 6.239399582923124132e-01 6.279257679511075496e-01 6.211633813887769140e-01 6.294707078663190902e-01 6.203262529318491758e-01 6.310135205710866169e-01
1.995262314968882751e+10 6.222312687467357328e-01 6.200440544979159974e-01 6.241527452265687170e-01 6.177932512953776545e-01 6.263956809049874286e-01 6.154989834272516225e-01 6.291813889383992553e-01
2.511886431509582138e+10 6.168822821499089226e-01 6.145376864083559321e-01 6.193669239658754488e-01 6.125982845816182465e-01 6.213017886802569834e-01 6.120715801953112711e-01 6.233014936107180715e-01
3.162277660168379211e+10 6.093749030762177776e-01 6.070216246647383018e-01 6.116462282602723732e-01 6.047278240886517775e-01 6.145391365101899872e-01 6.036668330291001805e-01 6.155940821097667381e-01
3.981071705534969330e+10 6.006060988198511641e-01 5.972315738434842425e-01 6.042647602982503807e-01 5.947707781391176063e-01 6.085881070962513295e-01 5.918363843371480248e-01 6.092194061825791929e-01
5.011872336272714996e+10 5.917003827472135935e-01 5.884140819015496460e-01 5.959012571791920676e-01 5.843497138504617494e-01 5.991786857328131877e-01 5.831479725691708360e-01 6.002818201822959221e-01
6.309573444801942444e+10 5.848679491520001328e-01 5.802896933509479327e-01 5.883049991891613484e-01 5.768481872644291020e-01 5.930102428032300033e-01 5.743699464494040896e-01 5.946656621278592070e-01
7.943282347242822266e+10 5.772470053903262510e-01 5.729864128506416687e-01 5.833212156912420676e-01 5.693925166558521100e-01 5.856416480210977493e-01 5.675929991780344075e-01 5.894151153375843943e-01
1.000000000000000000e+11 5.718938959098114339e-01 5.668851082445266476e-01 5.767016575520174104e-01 5.608488779358231646e-01 5.804971551150914788e-01 5.576742638244654993e-01 5.847423327828397133e-01
1.258925411794166107e+11 5.669773707904333104e-01 5.614318327564205013e-01 5.718663956084788502e-01 5.557572413866076477e-01 5.768537575851468979e-01 5.522344973794719447e-01 5.769725082626546708e-01
1.584893192461110840e+11 5.614430517861459524e-01 5.557491686218040128e-01 5.668320188051225728e-01 5.493604926864366078e-01 5.729034177624747759e-01 5.464872396275111122e-01 5.750336154935681288e-01
1.995262314968882751e+11 5.546632563133691018e-01 5.470611827778072422e-01 5.611980493434638451e-01 5.384160370449363464e-01 5.699847360718039990e-01 5.364345808646686642e-01 5.740561680223408292e-01
2.511886431509582214e+11 5.482070318904729289e-01 5.407767361419695273e-01 5.567342763230249680e-01 5.341035936649717319e-01 5.642935730955912499e-01 5.326697529559403232e-01 5.688770161897244160e-01
3.162277660168379517e+11 5.485950918100761520e-01 5.396062167319661818e-01 5.551304713606431962e-01 5.297726984735399158e-01 5.634448082048308937e-01 5.229461700219899534e-01 5.664566767086521848e-01
3.981071705534969482e+11 5.433740137711006168e-01 5.355897809383709518e-01 5.511220090195079191e-01 5.281952659183921650e-01 5.594939865456660666e-01 5.210822014386620182e-01 5.674375986294588614e-01
5.011872336272714844e+11 5.383191030907135133e-01 5.262471791767230345e-01 5.501402794888563541e-01 5.138245722233385493e-01 5.636624433921081367e-01 5.084585906562333335e-01 5.733043364392946817e-01
6.309573444801943359e+11 5.344725753132357760e-01 5.237126202475013148e-01 5.479618064313865888e-01 5.126154448386492923e-01 5.604645990749494988e-01 5.112829454013302355e-01 5.666764933342058885e-01
7.943282347242821045e+11 5.351589740329734113e-01 5.219297663051903902e-01 5.487316190174915675e-01 5.084116503879941851e-01 5.633668727460661163e-01 5.054433076586875018e-01 5.670252489118209338e-01
1.000000000000000000e+12 5.356689326171738541e-01 5.219229302579136975e-01 5.495075980319030773e-01 5.067842339088064474e-01 5.694300216465411069e-01 4.923870220750667381e-01 5.729855235496625898e-01
1.258925411794166260e+12 5.328311250024173606e-01 5.178571097300848081e-01 5.496066548415851072e-01 4.898106297742605975e-01 5.674664911701717829e-01 4.750428418922900131e-01 5.798927527047169628e-01
1.584893192461110840e+12 5.244122512711707484e-01 5.065339937820984018e-01 5.429975593782243592e-01 4.930523776115190437e-01 5.572673547739885880e-01 4.878729576079232633e-01 5.683810231462832485e-01
1.995262314968882812e+12 5.038096459461163246e-01 4.831056100884965621e-01 5.208904550949781109e-01 4.626172890976694152e-01 5.356197376110626296e-01 4.558075625580290668e-01 5.473830083723734141e-01
2.511886431509582031e+12 4.920466643800977535e-01 4.677984025491573883e-01 5.167864422527825852e-01 4.361344786575810928e-01 5.245721159354257424e-01 4.207732764435782591e-01 5.337466674117129495e-01
3.162277660168379395e+12 4.787239282337296675e-01 4.480853709292123010e-01 5.003322635687169617e-01 4.242159362633317610e-01 5.214652678528517438e-01 4.176792835742217935e-01 5.245838218055102198e-01
3.981071705534969238e+12 4.790569354833209559e-01 4.388634515970273320e-01 5.078943370166549842e-01 4.095656193852787452e-01 5.319058571456436457e-01 4.038252435902458526e-01 5.540369978550311325e-01
5.011872336272714844e+12 4.725137922020306580e-01 4.383203676150682071e-01 5.076815000906631514e-01 4.196043601011192892e-01 5.238476983313502533e-01 4.129010234966536408e-01 5.403566313835584944e-01
6.309573444801942383e+12 4.760082288355611535e-01 4.403266140631211800e-01 5.154542813046125715e-01 4.170314543330425061e-01 5.492325648383831194e-01 4.012686179441301570e-01 5.898818774317842184e-01
7.943282347242821289e+12 4.881411814242512248e-01 4.527869456178986174e-01 5.241886961791722976e-01 3.931496943201143179e-01 5.554368982290394108e-01 3.747842781751489771e-01 5.633104351143859434e-01
1.000000000000000000e+13 4.966393038640907198e-01 4.577459792867331068e-01 5.337916184041477941e-01 4.355923983851350823e-01 5.636927804290209343e-01 4.126513840355057749e-01 5.821209962693338902e-01
1.258925411794166211e+13 4.990264751246371033e-01 4.505447615886336576e-01 5.314492957868968137e-01 3.975466861107016525e-01 5.583742253750000328e-01 3.732720762352891852e-01 5.887802983978220883e-01
1.584893192461110938e+13 4.551611905408798897e-01 4.046125608423423170e-01 5.006304274412898270e-01 3.588010247208675008e-01 5.525354134118762861e-01 3.433455616750907824e-01 5.714907246095146665e-01
1.995262314968882812e+13 4.206179833096019838e-01 3.581939204340939265e-01 4.828849940460430701e-01 3.201692473940607186e-01 5.268889713405700004e-01 2.997831805264762339e-01 5.564436736941402728e-01
2.511886431509582031e+13 3.690904725592065727e-01 2.971346302839785181e-01 4.375584513537372766e-01 2.352233436772659392e-01 5.111446079212064175e-01 1.366974001837206465e-01 5.712301183539895133e-01
3.162277660168379297e+13 3.388876454224654111e-01 2.220434163565844499e-01 4.526034045774393055e-01 1.505200710162100664e-01 5.384348172806312505e-01 5.976682672035721344e-02 5.864986093122266375e-01
