# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 4.653481627576853130e-01 4.616732931112892957e-01 4.688664812558528405e-01 4.580420317190538881e-01 4.713313910613509128e-01 4.557777398080355424e-01 4.743120701626410973e-01
1.258925411794166183e+10 4.646139995081813301e-01 4.626055044384624892e-01 4.685989277260922958e-01 4.600323299124676746e-01 4.706882024522509589e-01 4.555482870765297232e-01 4.734043790188697254e-01
1.584893192461110878e+10 4.631995232942882623e-01 4.600775091717660970e-01 4.662926931876743564e-01 4.581771269828114335e-01 4.696807226233574717e-01 4.565823763305971728e-01 4.700566427650555434e-01
1.995262314968882751e+10 4.622392123404903130e-01 4.586007218782637285e-01 4.654301568926179078e-01 4.549633925100380338e-01 4.680136266848111126e-01 4.540131937824321007e-01 4.696280777389051919e-01
2.511886431509582138e+10 4.621421516827020626e-01 4.579265886347934633e-01 4.657423846110553267e-01 4.547326346229221272e-01 4.684674049882101565e-01 4.536418715640073707e-01 4.725967399543860581e-01
3.162277660168379211e+10 4.621936218199967361e-01 4.587247373789041793e-01 4.650635444039169508e-01 4.543667830967038634e-01 4.674280582655903071e-01 4.502106813785878292e-01 4.688930423237167022e-01
3.981071705534969330e+10 4.633321049181544637e-01 4.593667409377702460e-01 4.676863603929850566e-01 4.529510419297542168e-01 4.700490725183498197e-01 4.485677124425633266e-01 4.718692539498497984e-01
5.011872336272714996e+10 4.622481446840533970e-01 4.573051475568046254e-01 4.665560794161087155e-01 4.509931617185300445e-01 4.717248942341003004e-01 4.493906667782025521e-01 4.758729866164382871e-01
6.309573444801942444e+10 4.596147668618779658e-01 4.528219678192919595e-01 4.646941399631481229e-01 4.485574755017364135e-01 4.721302566265227485e-01 4.456323864885383124e-01 4.747294920513141503e-01
7.943282347242822266e+10 4.599418619652606566e-01 4.538193244161109474e-01 4.657761886868344026e-01 4.480963739300287685e-01 4.724762728650302446e-01 4.454241108152340312e-01 4.760540728751145312e-01
1.000000000000000000e+11 4.587119057403326594e-01 4.503913164252189016e-01 4.672940260100035270e-01 4.437661431950874480e-01 4.724224129708476383e-01 4.403953448719326591e-01 4.744952266936613428e-01
1.258925411794166107e+11 4.592233619773196107e-01 4.518987255126882263e-01 4.671958287768933626e-01 4.420610409459435064e-01 4.729424615512697327e-01 4.350540952389119198e-01 4.766554756178578156e-01
1.584893192461110840e+11 4.587558515277713189e-01 4.491441862394529583e-01 4.673569748326009687e-01 4.408078183206435852e-01 4.731934042008704155e-01 4.331494279848415729e-01 4.753840179228155383e-01
1.995262314968882751e+11 4.557705941093018742e-01 4.438362314713263368e-01 4.641764755369896522e-01 4.344201862505754907e-01 4.734938758305829998e-01 4.254388429853862008e-01 4.815951716699813923e-01
2.511886431509582214e+11 4.534576996578613128e-01 4.424737466570595745e-01 4.630760645758910665e-01 4.341365579998068824e-01 4.705998359228495964e-01 4.272774587621910314e-01 4.719224711139445860e-01
3.162277660168379517e+11 4.484455558411902243e-01 4.334970497886861951e-01 4.618387930626490778e-01 4.232551034537055390e-01 4.723434277477766008e-01 4.183100736385699236e-01 4.825231552290371040e-01
3.981071705534969482e+11 4.475876623914911701e-01 4.337074054531064871e-01 4.610063288760085642e-01 4.190438805108039344e-01 4.715772856301098104e-01 4.156596346589514490e-01 4.771609327704363634e-01
5.011872336272714844e+11 4.492649085464855974e-01 4.376640226833447000e-01 4.623082927653566210e-01 4.134261766029272422e-01 4.750755401338223605e-01 4.076616105709157112e-01 4.862955513449120359e-01
6.309573444801943359e+11 4.523651787256992574e-01 4.372914200658751249e-01 4.670087031546580336e-01 4.162493234313118240e-01 4.885257857281456451e-01 4.106671875731828791e-01 4.929466613901550276e-01
7.943282347242821045e+11 4.659109716340779084e-01 4.470280791619545835e-01 4.822799985847756599e-01 4.342568250377286665e-01 4.970013188416233518e-01 4.254345413414629129e-01 5.079566905247999697e-01
1.000000000000000000e+12 4.680233829537100432e-01 4.466733465684532556e-01 4.886233820663235528e-01 4.357696663722067099e-01 4.963801408074827171e-01 4.272348816352876666e-01 4.982638497477092088e-01
1.258925411794166260e+12 4.632787208359950837e-01 4.463763863934940290e-01 4.893835078232495750e-01 4.254320684445415113e-01 5.048022562121773360e-01 4.144415233705841528e-01 5.172690275429845386e-01
1.584893192461110840e+12 4.620976414059155268e-01 4.351544276801345146e-01 4.897279351463537100e-01 4.216982564361564378e-01 5.066960002282234754e-01 3.899038025817727626e-01 5.188792192854683183e-01
1.995262314968882812e+12 4.580418605132752230e-01 4.312125598138356608e-01 4.828323383188519724e-01 4.083572021710114575e-01 5.018113142379722058e-01 3.873479981149506868e-01 5.096515603826627938e-01
2.511886431509582031e+12 4.619737878540485232e-01 4.382518411401214453e-01 4.914872385637657493e-01 4.090653489563390588e-01 5.119939592161945052e-01 3.988990443155661647e-01 5.207795301872634175e-01
3.162277660168379395e+12 4.803826783039798487e-01 4.435159017793958158e-01 5.077287079812564663e-01 4.019319935266028598e-01 5.329316907366113965e-01 3.892277804053950740e-01 5.515653750898676932e-01
3.981071705534969238e+12 5.096388627756480716e-01 4.785704311270632116e-01 5.470370268121296231e-01 4.616224591381590248e-01 5.801614540609106863e-01 4.506674711967634805e-01 6.001833285924228489e-01
5.011872336272714844e+12 5.411790177180875183e-01 4.970531814914602164e-01 5.631325134666143040e-01 4.681911395126635012e-01 5.857188839362001964e-01 4.614582412559384839e-01 5.937648594184451456e-01
6.309573444801942383e+12 5.789655326230307431e-01 5.432451243638961591e-01 6.043774106693013959e-01 5.104667093881615214e-01 6.324460876454597313e-01 4.760646851767534882e-01 6.470485432007634374e-01
7.943282347242821289e+12 5.828581593318565846e-01 5.360419159261863298e-01 6.218526727742776927e-01 5.117100615315965939e-01 6.390285766296501802e-01 4.685488110153372410e-01 6.589664820562134429e-01
1.000000000000000000e+13 5.726597149153986877e-01 5.371210068831945295e-01 6.183040659441125797e-01 5.100721497847015007e-01 6.506498490122207823e-01 4.953804472147532723e-01 6.779325622846276156e-01
1.258925411794166211e+13 5.647855266033141586e-01 5.181282029004173895e-01 5.985281758324511037e-01 4.592929451469389690e-01 6.542174226569172912e-01 4.260046732000473679e-01 6.762321770591094294e-01
1.584893192461110938e+13 5.504569676465083106e-01 4.923612184460394170e-01 5.934821382880622886e-01 4.457176548998064147e-01 6.474649863122636795e-01 4.259266842449532797e-01 6.726095920680308371e-01
1.995262314968882812e+13 5.472174276602519427e-01 4.973802048264939213e-01 6.053649471587188025e-01 4.447544585540111894e-01 6.510216670405220007e-01 4.066912426035517725e-01 6.692434069205902558e-01
2.511886431509582031e+13 5.418316239712638316e-01 4.587533550549721117e-01 6.060784519659929703e-01 4.005559945455141602e-01 6.566067593507354250e-01 3.229532940414325259e-01 6.915824890536435010e-01
3.162277660168379297e+13 5.597876023295855763e-01 4.833863221528503784e-01 6.152241458070656366e-01 4.177607008276627565e-01 6.747294477909197008e-01 3.722070506010296542e-01 7.041649089089798697e-01
