# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
2.511886431509582138e+10 1.800840242312949646e-01 1.759887547499279226e-01 1.847795621625831497e-01 1.731351628821982125e-01 1.900072098393194575e-01 1.723060070032265689e-01 1.908779560956508636e-01
3.162277660168379211e+10 1.841355663563450651e-01 1.799977809650011862e-01 1.895435359440157397e-01 1.760520906196346713e-01 1.934780080504841515e-01 1.737476892539421836e-01 1.944346301977132319e-01
3.981071705534969330e+10 1.889133242081697528e-01 1.846221470888558258e-01 1.930939658654261537e-01 1.819603656042481088e-01 1.964831684209878415e-01 1.786891039850232454e-01 1.983197045629552513e-01
5.011872336272734833e+10 1.887408572573470167e-01 1.861916719887165561e-01 1.936335049263360197e-01 1.812367604869382642e-01 1.964460050139496816e-01 1.774797664968441602e-01 1.992360462140662924e-01
6.309573444801942444e+10 1.879954511693753272e-01 1.828869798644895961e-01 1.924855740452973696e-01 1.795560347163918935e-01 1.964081250303610360e-01 1.774557773496014401e-01 1.989909107842129099e-01
7.943282347242822266e+10 1.853681232481730889e-01 1.805644242231224939e-01 1.900639431535774138e-01 1.750240479380996694e-01 1.954930216045510372e-01 1.719435398133666582e-01 1.982073754548897004e-01
1.000000000000000000e+11 1.831959630215772572e-01 1.766064427329169240e-01 1.886221854107482387e-01 1.697015305216577341e-01 1.927791434370190182e-01 1.671743059805463616e-01 2.009085663278993017e-01
1.258925411794166107e+11 1.839197550423556093e-01 1.783745123506906838e-01 1.909729258228854698e-01 1.726273816014073370e-01 1.985634819906735848e-01 1.678622922379250371e-01 2.011982561717980678e-01
1.584893192461117249e+11 1.876426101717115491e-01 1.789071156210506608e-01 1.949010376360462427e-01 1.725522254364863228e-01 2.009244615789402000e-01 1.671962551418638976e-01 2.025153204707536569e-01
1.995262314968882751e+11 1.905636162782600451e-01 1.813104266674505083e-01 1.980064308414752061e-01 1.764978227368042552e-01 2.042817793592426878e-01 1.704480968553373499e-01 2.087007140565441676e-01
2.511886431509582214e+11 1.951414521763832621e-01 1.866079398889936014e-01 2.046741569068893651e-01 1.790815662435825129e-01 2.120784521887536245e-01 1.750516456286594635e-01 2.165823288488664122e-01
3.162277660168379517e+11 2.029647269198009418e-01 1.935297971784663562e-01 2.133056287666647566e-01 1.796640028020410895e-01 2.222529697675439397e-01 1.781395237198909742e-01 2.271093565435374217e-01
3.981071705534985352e+11 2.132784327910123290e-01 2.038597263712237373e-01 2.259489523680327794e-01 1.941312538448068947e-01 2.324289475673912975e-01 1.881504867314365559e-01 2.335858897663710132e-01
5.011872336272734985e+11 2.236976853355247263e-01 2.095152038519226823e-01 2.365925329196015836e-01 1.975769840410789568e-01 2.481398524843053677e-01 1.952903742428382938e-01 2.508127451438240119e-01
6.309573444801943359e+11 2.361075297811088824e-01 2.233794201074656705e-01 2.492882815629032800e-01 2.081718098833492958e-01 2.615161085949848085e-01 1.954648718753165260e-01 2.665780881966237081e-01
7.943282347242821045e+11 2.408433304652662921e-01 2.273451611211224077e-01 2.585001398484711443e-01 2.143079337213996682e-01 2.758441276393973629e-01 1.940790842453422593e-01 2.799577238314080452e-01
1.000000000000000000e+12 2.444548668215268117e-01 2.309843657529749572e-01 2.592873467438934765e-01 2.193735851050773733e-01 2.778012856504731287e-01 2.055963783201915918e-01 2.871370119955868883e-01
1.258925411794171387e+12 2.438244415210070737e-01 2.257397419595878196e-01 2.620140989379065033e-01 2.094337067590981705e-01 2.769129722193457432e-01 1.791606965198934698e-01 2.992447204434066643e-01
1.584893192461117432e+12 2.338854874017547159e-01 2.126501070085224654e-01 2.539949746920429630e-01 1.968222773960535965e-01 2.670011205283009392e-01 1.761814712724852072e-01 2.969374695627019500e-01
1.995262314968882812e+12 2.217010893870857424e-01 2.052884170087059812e-01 2.411054888581488087e-01 1.910300260444570686e-01 2.611001513614680247e-01 1.615154156613293757e-01 2.881077383511194689e-01
2.511886431509582031e+12 2.107813416941420881e-01 1.898182161113443345e-01 2.397439772598377317e-01 1.691420307079731233e-01 2.494591327805185110e-01 1.617972773029091871e-01 2.598922932323709523e-01
3.162277660168379395e+12 2.003031961430028207e-01 1.805385044951886842e-01 2.316423516661299531e-01 1.514233860348165317e-01 2.631844096542569345e-01 1.434791009961463859e-01 2.693201863665419804e-01
3.981071705534985352e+12 1.984305028370906832e-01 1.754810957638154034e-01 2.273417952025666156e-01 1.473627039149690288e-01 2.496494346433810185e-01 1.378519187281774527e-01 2.638313693049222364e-01
5.011872336272735352e+12 1.994693880524005258e-01 1.627042915884890084e-01 2.317463721864831405e-01 1.440723852703943986e-01 2.573269953482953398e-01 1.313107325309669227e-01 2.739093648645331003e-01
6.309573444801942383e+12 1.963406280731041509e-01 1.516920547088004279e-01 2.427609205878354937e-01 1.297234688639246347e-01 2.712571645459930236e-01 9.599467480329917923e-02 3.024730690117642951e-01
7.943282347242821289e+12 1.923211463578924918e-01 1.522083261157459178e-01 2.376789829184923208e-01 1.109005703376219065e-01 2.852298138749845835e-01 6.524645018319107093e-02 3.140563059301261783e-01
1.000000000000000000e+13 1.662045189594700545e-01 1.222558321530310410e-01 2.148434499674528597e-01 5.317787780593271479e-02 2.499098871456231774e-01 3.091738692049628145e-02 2.854500654923705638e-01
1.258925411794171289e+13 1.664210647354116834e-01 1.142540173047495999e-01 2.276324660858328464e-01 7.565947354805184488e-02 2.821460816311039399e-01 5.463124186123072962e-02 3.027449462667363145e-01
1.584893192461117383e+13 1.891325666871614963e-01 1.237105835644284613e-01 2.341603569315751365e-01 7.085289225138494129e-02 2.948002141889065619e-01 5.412613775677573014e-02 3.142182503829349383e-01
1.995262314968882812e+13 2.177286705929915023e-01 1.548485375505950223e-01 2.766483044652954804e-01 1.072741211419792895e-01 3.365423506473206317e-01 9.317308803742782586e-02 3.643375718401922203e-01
2.511886431509582031e+13 2.528326654616367963e-01 1.853723912678035268e-01 3.236974065916403132e-01 1.327592490653593527e-01 3.756364026480941698e-01 1.012001054540622724e-01 4.276706754817252154e-01
