# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 3.101208005651981958e-01 3.065618860710143667e-01 3.129853498151879965e-01 3.023288241798470777e-01 3.160126236751259476e-01 2.995355817520944375e-01 3.219377670676629721e-01
1.258925411794166183e+10 3.130629494326466755e-01 3.105148292400744525e-01 3.160578354648694299e-01 3.065530231677789930e-01 3.191541931266421717e-01 3.060660537972027528e-01 3.208641148067340465e-01
1.584893192461110878e+10 3.169149406695777049e-01 3.143685994595688538e-01 3.206403008593490811e-01 3.109080072425947083e-01 3.234511383921209737e-01 3.086944974678016984e-01 3.252332161087314044e-01
1.995262314968882751e+10 3.212789772499183849e-01 3.177371172944085664e-01 3.242653652696207423e-01 3.138188163438719869e-01 3.272218760282954442e-01 3.127279511087754371e-01 3.303006694488167527e-01
2.511886431509582138e+10 3.241279838114810019e-01 3.204815093940420745e-01 3.290635168090396689e-01 3.154334153466091806e-01 3.322921350175566113e-01 3.133559983114936887e-01 3.385936687732887251e-01
3.162277660168379211e+10 3.263055269890169363e-01 3.215532348654407402e-01 3.302917134791731879e-01 3.167869753599636962e-01 3.350925241226436202e-01 3.154085640441046112e-01 3.376116097192072840e-01
3.981071705534969330e+10 3.273211638317522487e-01 3.204506916761140634e-01 3.326941124742613942e-01 3.163027365251392942e-01 3.371958605088251071e-01 3.130449411866483289e-01 3.375329950399849066e-01
5.011872336272714996e+10 3.254996603527867682e-01 3.196296686995812597e-01 3.308298208047425470e-01 3.137384999542701669e-01 3.379478261943174022e-01 3.110230946028423871e-01 3.452492497619467082e-01
6.309573444801942444e+10 3.228613972362833762e-01 3.158853512633000293e-01 3.310529183372071804e-01 3.077395458350722368e-01 3.367378713456689598e-01 3.017976731841764959e-01 3.427369284988264209e-01
7.943282347242822266e+10 3.199137487751437248e-01 3.112528474043030902e-01 3.296199088024195367e-01 3.041694117926208585e-01 3.343582085127111414e-01 2.930548765202210526e-01 3.421988882661148312e-01
1.000000000000000000e+11 3.149564107617310316e-01 3.059421488744527018e-01 3.243022270957959807e-01 2.941082852259970237e-01 3.327371213308263354e-01 2.908784930232073407e-01 3.463807803160973142e-01
1.258925411794166107e+11 3.139737934410002373e-01 3.048790094328729383e-01 3.261544825146240889e-01 2.876077588157504028e-01 3.355222271105728904e-01 2.805949423916523910e-01 3.404437628587063669e-01
1.584893192461110840e+11 3.127881466870586213e-01 2.990927985725513327e-01 3.267966591498269180e-01 2.899500575067417429e-01 3.411883856394084535e-01 2.799213841983453355e-01 3.514146168713558893e-01
1.995262314968882751e+11 3.131833969345693136e-01 2.965375486020712659e-01 3.309227863657245305e-01 2.824489523662259138e-01 3.424079630508727323e-01 2.735745676513990920e-01 3.523611715800388233e-01
2.511886431509582214e+11 3.190342670251029578e-01 2.991899815859383471e-01 3.360171946031437207e-01 2.762033996343131736e-01 3.517081376804168102e-01 2.667127276463605590e-01 3.582039768005683689e-01
3.162277660168379517e+11 3.233792330926485992e-01 2.972615028449586139e-01 3.386606108178878971e-01 2.843280878919103305e-01 3.548654878463433082e-01 2.675268511437653984e-01 3.697844989446081310e-01
3.981071705534969482e+11 3.275513593893893960e-01 2.978261095726854601e-01 3.484600855667406849e-01 2.730398268593230426e-01 3.707643127792274451e-01 2.607053337725909747e-01 4.165430659171016625e-01
5.011872336272714844e+11 3.196052700085905696e-01 2.793326222813943271e-01 3.508390674067888293e-01 2.533297639824768632e-01 3.815935315371028480e-01 2.472507957224444608e-01 4.018736002063581503e-01
6.309573444801943359e+11 2.945998591619990448e-01 2.479600124234641600e-01 3.358555300511260611e-01 2.023685772182996501e-01 3.773201584353915727e-01 1.602058176934019751e-01 4.027522368013405907e-01
7.943282347242821045e+11 2.996607348352382516e-01 2.487751982668965078e-01 3.311992030862174197e-01 2.036119976393070963e-01 3.785786953879015648e-01 1.676220479650506745e-01 3.803792060884079729e-01
1.000000000000000000e+12 2.764366969296597754e-01 2.055375117999743706e-01 3.222620215777993735e-01 1.455545158486333257e-01 4.107437312306047583e-01 9.790772490105893733e-02 4.772671416228092545e-01
