# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 -1.554348135787926299e-01 -1.578513202596665832e-01 -1.527943508495311353e-01 -1.605153529419917069e-01 -1.497499886715009110e-01 -1.622794820249904846e-01 -1.488146593651900329e-01
1.258925411794166183e+10 -1.579446445952215061e-01 -1.609495474343917709e-01 -1.549176130487726621e-01 -1.640460364033194951e-01 -1.523989871044065247e-01 -1.679970525572721529e-01 -1.498939941879389171e-01
1.584893192461110878e+10 -1.631633632845077564e-01 -1.664304349699761709e-01 -1.600960687962446061e-01 -1.692632553989029676e-01 -1.580540819698024735e-01 -1.709139375723386367e-01 -1.563166765993603269e-01
1.995262314968882751e+10 -1.714862973973672322e-01 -1.739795734215276723e-01 -1.684212811322872427e-01 -1.757859923570396221e-01 -1.654124916232841414e-01 -1.786578218836631371e-01 -1.637889540439275149e-01
2.511886431509582138e+10 -1.824667247793529401e-01 -1.865297358235115943e-01 -1.794742940954954513e-01 -1.892697889706086711e-01 -1.766641223176359521e-01 -1.898504135827628614e-01 -1.757633487824190321e-01
3.162277660168379211e+10 -1.947373389586831705e-01 -1.983774273548353784e-01 -1.915140669424006403e-01 -2.028025194390052910e-01 -1.886696082582020040e-01 -2.052046745905383718e-01 -1.846122343899106455e-01
3.981071705534969330e+10 -2.081617548966774034e-01 -2.131728866050879023e-01 -2.038971556557966636e-01 -2.168178903304242289e-01 -2.003747189917391425e-01 -2.173832539384092377e-01 -1.988176140409979309e-01
5.011872336272714996e+10 -2.217358088771411717e-01 -2.259422897258087093e-01 -2.174455691717317174e-01 -2.308271052373638832e-01 -2.129106299166531879e-01 -2.340472686720834750e-01 -2.094332428908798338e-01
6.309573444801942444e+10 -2.351736307841628681e-01 -2.395858086350918792e-01 -2.299553101981796355e-01 -2.444451161436521081e-01 -2.264091143955062613e-01 -2.459185255640393142e-01 -2.235781684524492108e-01
7.943282347242822266e+10 -2.486588015514721861e-01 -2.538781782313077606e-01 -2.435470643121516732e-01 -2.567548778828402933e-01 -2.381069982392807205e-01 -2.585557000803694327e-01 -2.321845484471742049e-01
1.000000000000000000e+11 -2.570960451769914723e-01 -2.633770607709247646e-01 -2.521323362289619729e-01 -2.694926824352683048e-01 -2.456732478833296984e-01 -2.710358127602296996e-01 -2.431848867886318988e-01
1.258925411794166107e+11 -2.661027119974238575e-01 -2.714467364435634855e-01 -2.598584091456511147e-01 -2.757889897329862117e-01 -2.520034997467889282e-01 -2.786986942385840660e-01 -2.482794832854597067e-01
1.584893192461110840e+11 -2.672804240673491982e-01 -2.736858646001619211e-01 -2.612652303451365454e-01 -2.796232910102383062e-01 -2.530782899115905371e-01 -2.860987878879052149e-01 -2.522876579608503977e-01
1.995262314968882751e+11 -2.676001687142404162e-01 -2.753737400299377525e-01 -2.589375278505303135e-01 -2.826214196676015700e-01 -2.529296446900366480e-01 -2.882367993995285649e-01 -2.506702876047675055e-01
2.511886431509582214e+11 -2.676293232137478828e-01 -2.749208851411130139e-01 -2.566305610524238223e-01 -2.837964043481170373e-01 -2.456083223255834946e-01 -2.869428592418570290e-01 -2.401837128213001882e-01
3.162277660168379517e+11 -2.674158397008273846e-01 -2.800511855786209092e-01 -2.587120606672380640e-01 -2.878138190721346024e-01 -2.496962208083760293e-01 -2.905688702047875549e-01 -2.462675455730408691e-01
3.981071705534969482e+11 -2.681326400832890755e-01 -2.812439042238045750e-01 -2.567234307414173466e-01 -2.884238109400264483e-01 -2.439555664146622893e-01 -2.937611999633826798e-01 -2.390240162907901755e-01
5.011872336272734985e+11 -2.719401342803843269e-01 -2.824396821699584059e-01 -2.604038754893522323e-01 -2.885977651238142982e-01 -2.476208435575847355e-01 -2.934101488158066262e-01 -2.400022870423060284e-01
6.309573444801943359e+11 -2.692781385632397884e-01 -2.803656166287035179e-01 -2.539425050583579146e-01 -2.949260806139425983e-01 -2.351440612834043709e-01 -3.013127039428015741e-01 -2.310515116210890563e-01
7.943282347242821045e+11 -2.688149710643482626e-01 -2.827279058174406168e-01 -2.509474614829657613e-01 -2.917021081066614174e-01 -2.354667073737337635e-01 -3.073493692896527851e-01 -2.140345976142233597e-01
1.000000000000000000e+12 -2.661655545505320353e-01 -2.852665462509526573e-01 -2.515599376075705607e-01 -3.054116677976378424e-01 -2.401276379118750248e-01 -3.202697589997360317e-01 -2.260681486731616063e-01
