# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 2.897326767788953039e-01 2.896658015758415416e-01 2.898708938319349837e-01 2.896392481863937496e-01 2.899257741324066107e-01 2.896346259297121195e-01 2.899353273698960787e-01
1.258925411794166183e+10 2.829687986824429569e-01 2.818106938373503012e-01 2.839989478578408000e-01 2.813508580900340728e-01 2.844079776774841029e-01 2.812708126080939453e-01 2.844791791646071322e-01
1.584893192461110878e+10 2.792232689724699068e-01 2.754733445469655373e-01 2.802973780761650602e-01 2.739844039662505670e-01 2.807238625732205173e-01 2.737252180133113444e-01 2.807981024671524217e-01
1.995262314968882751e+10 2.716066273658358510e-01 2.707708894481462014e-01 2.738255305440554510e-01 2.704390523337693586e-01 2.747065656295249458e-01 2.703812880953407882e-01 2.748599309962548309e-01
2.511886431509582138e+10 2.722129882884601892e-01 2.681296425000846972e-01 2.740335311387204209e-01 2.665083140252885729e-01 2.747563937410295587e-01 2.662260827722685019e-01 2.748822253792093107e-01
3.162277660168379211e+10 2.709407744867771139e-01 2.679280233024337043e-01 2.713381049167330472e-01 2.667317838615915759e-01 2.714958684698037805e-01 2.665235495885560080e-01 2.715233310142272094e-01
3.981071705534969330e+10 2.696982699368596914e-01 2.693595624285913814e-01 2.728865456527839184e-01 2.692250756238377951e-01 2.741524786576362005e-01 2.692016649578251042e-01 2.743728447732956544e-01
5.011872336272714996e+10 2.639051020548744408e-01 2.625607464668084368e-01 2.651880157047307174e-01 2.620269582186057766e-01 2.656974078892324620e-01 2.619340395235482677e-01 2.657860798620902409e-01
6.309573444801942444e+10 2.550987452504412945e-01 2.540615305685183789e-01 2.568538718759882378e-01 2.536496953271666355e-01 2.575507603890730413e-01 2.535780054888572832e-01 2.576720706117211490e-01
7.943282347242822266e+10 2.390330748557050744e-01 2.322038192122319045e-01 2.422155905651671715e-01 2.294922030008528513e-01 2.434792365086300703e-01 2.290201809196127924e-01 2.436992045061958378e-01
1.000000000000000000e+11 2.216828394155510584e-01 2.178299496153811576e-01 2.304723087565589412e-01 2.163001257241372322e-01 2.339622451125473734e-01 2.160338230467725440e-01 2.345697525522934812e-01
1.258925411794166107e+11 2.028450154071625988e-01 2.016355525081129918e-01 2.080927031555467044e-01 2.011553245923139166e-01 2.101763438791697802e-01 2.010717293625266799e-01 2.105390517088375213e-01
