# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 -2.607829555068050809e-01 -2.657600500852507763e-01 -2.557494774467324317e-01 -2.684476858927833387e-01 -2.521847423855914094e-01 -2.700188910821880173e-01 -2.512089113134938212e-01
1.258925411794166183e+10 -2.539280620880538519e-01 -2.594686271369039954e-01 -2.496001698753068654e-01 -2.638010425254897484e-01 -2.453198182944424377e-01 -2.678482357296215755e-01 -2.427810704756667159e-01
1.584893192461110878e+10 -2.489651127586956780e-01 -2.534900131398654111e-01 -2.435329619022197911e-01 -2.569767315968358723e-01 -2.375721595095322547e-01 -2.603675736945989527e-01 -2.361800670502031130e-01
1.995262314968882751e+10 -2.449176902430642566e-01 -2.492917498071274274e-01 -2.389130676833303990e-01 -2.552407657612686398e-01 -2.322172015171347914e-01 -2.599067876494858265e-01 -2.306462431013280023e-01
2.511886431509582138e+10 -2.444503111236657200e-01 -2.496581936867978413e-01 -2.383719131552420878e-01 -2.548887058284871054e-01 -2.337732879876896486e-01 -2.580388802818104343e-01 -2.308253135472566331e-01
3.162277660168379211e+10 -2.465063134350309049e-01 -2.524033487157478217e-01 -2.410485577785037026e-01 -2.595977292085223653e-01 -2.369180147599021513e-01 -2.629759946813228222e-01 -2.337909950784998192e-01
3.981071705534969330e+10 -2.519571226334975655e-01 -2.598629311541560405e-01 -2.447259183533223859e-01 -2.633754778753638615e-01 -2.398814042094894183e-01 -2.670111787717952545e-01 -2.355101754203975661e-01
5.011872336272714996e+10 -2.560799049891018808e-01 -2.644949598601898932e-01 -2.508237053236282987e-01 -2.766707208902850490e-01 -2.424218951533735344e-01 -2.803388968131544923e-01 -2.370668918762953437e-01
6.309573444801942444e+10 -2.629065805913858300e-01 -2.694301472264008512e-01 -2.542252596758004524e-01 -2.818306860510422229e-01 -2.456505217679754716e-01 -2.867749141412516689e-01 -2.337424844510857525e-01
7.943282347242822266e+10 -2.706667165774494510e-01 -2.790475312136264097e-01 -2.624983040542133716e-01 -2.878270942678103905e-01 -2.546166648151216849e-01 -2.923683114754356827e-01 -2.514315681200809949e-01
1.000000000000000000e+11 -2.797403789100917360e-01 -2.902924692853782740e-01 -2.707258959624866956e-01 -2.956686133397725125e-01 -2.637674186528862208e-01 -2.986496126320613009e-01 -2.592254531559494701e-01
1.258925411794166107e+11 -2.895153417145931440e-01 -2.976278325334248409e-01 -2.763710059540139263e-01 -3.138107069445905672e-01 -2.666535851205780183e-01 -3.214096546833121182e-01 -2.591881035729087790e-01
1.584893192461110840e+11 -2.927293021698240683e-01 -3.051818734907867370e-01 -2.803894839295466013e-01 -3.178847596905438611e-01 -2.704657954715556922e-01 -3.265627710515622284e-01 -2.597648260993127289e-01
1.995262314968882751e+11 -2.979195047912879257e-01 -3.094731720653635665e-01 -2.837610018218810759e-01 -3.259800779584523522e-01 -2.708308566181575894e-01 -3.299252432281964409e-01 -2.654203023274013251e-01
2.511886431509582214e+11 -3.057754942233637530e-01 -3.209021456097532754e-01 -2.876549720469233073e-01 -3.393654154078711294e-01 -2.726821674852472621e-01 -3.474397483401756581e-01 -2.621178545143580951e-01
3.162277660168379517e+11 -3.148842663454569646e-01 -3.311308856546303359e-01 -2.949302894560427157e-01 -3.511878548824955426e-01 -2.824451966347248932e-01 -3.544230430212976235e-01 -2.772894738791601976e-01
3.981071705534969482e+11 -3.215544710472251211e-01 -3.360229946991035721e-01 -3.024475618662932908e-01 -3.523066343276249346e-01 -2.888267365674276332e-01 -3.594702265815434283e-01 -2.837953026516450428e-01
5.011872336272714844e+11 -3.213083688996283271e-01 -3.388786736763381713e-01 -3.029967023887963351e-01 -3.509103339207555461e-01 -2.823036306831161468e-01 -3.640363560286020705e-01 -2.795670812396224836e-01
6.309573444801943359e+11 -3.169204015883040348e-01 -3.364647384220276760e-01 -2.955846769604832391e-01 -3.582512063022753046e-01 -2.836871278043643363e-01 -3.700412171045567855e-01 -2.736423560364359964e-01
7.943282347242821045e+11 -3.041376977464584908e-01 -3.341799725057342241e-01 -2.834319825162740503e-01 -3.690783554213826756e-01 -2.513357246627732078e-01 -3.810637418032286616e-01 -2.445264263944576244e-01
1.000000000000000000e+12 -2.880218875239448639e-01 -3.291970011476745284e-01 -2.509991959850800258e-01 -3.573022041260189852e-01 -2.205276392648446993e-01 -3.668060788484887591e-01 -2.052776996701975998e-01
1.258925411794166260e+12 -2.785825030842368211e-01 -3.198386384877593414e-01 -2.477394077255756777e-01 -3.433794459148352129e-01 -2.130938448539705932e-01 -3.566360043867026763e-01 -1.828569846603664006e-01
1.584893192461110840e+12 -2.797435420785898685e-01 -3.150776354735338458e-01 -2.351680211884389637e-01 -3.444062421111879768e-01 -1.972381245981042752e-01 -3.698745629724401462e-01 -1.805859123740354288e-01
1.995262314968882812e+12 -2.833581742485815624e-01 -3.137750461308899674e-01 -2.479509805535138056e-01 -3.553126186204946801e-01 -2.034056530435842114e-01 -3.639806083490900179e-01 -1.942351320091268152e-01
2.511886431509582031e+12 -2.983835775802349266e-01 -3.373103546362473670e-01 -2.504586185374836904e-01 -3.794113580836472321e-01 -2.044048717036736351e-01 -4.065587960086096686e-01 -1.877824491192682521e-01
3.162277660168379395e+12 -2.796528991579537715e-01 -3.266590337009253053e-01 -2.348333907854863178e-01 -3.659319187908213200e-01 -1.962732426560995502e-01 -3.735028148140692172e-01 -1.701163541098891507e-01
3.981071705534969238e+12 -2.384189321198352252e-01 -2.941147280388330398e-01 -1.949292594370307941e-01 -3.376979148142141840e-01 -1.432723790811723519e-01 -3.603429012165800249e-01 -1.107743047296111116e-01
5.011872336272714844e+12 -1.815330005739947961e-01 -2.274147030238308775e-01 -1.261840685412880525e-01 -2.758180889821598702e-01 -6.150191382349092656e-02 -2.969249836319741154e-01 -3.916677096142375664e-02
6.309573444801942383e+12 -1.185150133241968662e-01 -1.814280957156456098e-01 -4.949165442489969480e-02 -2.312205934005206187e-01 4.527042845122532244e-02 -2.590270130301046692e-01 7.267460291816224549e-02
7.943282347242821289e+12 -8.164060971238448761e-02 -1.615061034916633331e-01 -3.455156702946409440e-03 -2.297533457271117019e-01 6.350627010487287782e-02 -2.704676966939394411e-01 1.217672754063250234e-01
1.000000000000000000e+13 -6.892663113562422228e-02 -1.604108993355891355e-01 1.406489073346849951e-02 -2.345129404769734915e-01 1.153915024726529792e-01 -3.290429223156289829e-01 1.288169039832443019e-01
1.258925411794166211e+13 -6.621896026763442189e-02 -1.560659402491511860e-01 1.122194054593786752e-02 -2.387139564742151165e-01 6.642265904939090304e-02 -2.521766389532623664e-01 1.276358797530408595e-01
1.584893192461110938e+13 -9.437061646394451220e-02 -1.826749685715462757e-01 -1.658577947432776992e-02 -2.415273304990967485e-01 5.493152738260028561e-02 -2.965505424007167656e-01 1.359474175580104860e-01
1.995262314968882812e+13 -1.176562716004483922e-01 -2.295680982081870214e-01 5.749680434965690271e-03 -3.217223419762405556e-01 8.033299710957972350e-02 -4.004484165929872996e-01 1.166174088405812909e-01
2.511886431509582031e+13 -4.414357652979918056e-02 -1.633071705695409714e-01 3.812157331586570747e-02 -2.439248905875100459e-01 1.243343202968110878e-01 -3.177610939468129003e-01 2.246094155037687834e-01
