# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 4.609449945732059795e-01 4.584928414947718189e-01 4.656066386433877491e-01 4.560245151263281338e-01 4.681543498388790470e-01 4.528018557209945727e-01 4.700730860758288721e-01
1.258925411794166183e+10 4.597226227399200393e-01 4.562274361691832647e-01 4.630487726882043242e-01 4.540748339627671548e-01 4.659534048996493150e-01 4.524233263460105681e-01 4.679367300537125574e-01
1.584893192461110878e+10 4.611544959654645393e-01 4.576986419170139264e-01 4.641574376324631990e-01 4.556123763116506908e-01 4.682263367867683934e-01 4.525314419926012022e-01 4.693437274787483071e-01
1.995262314968882751e+10 4.643451082436982347e-01 4.610877393190527807e-01 4.679601865029081598e-01 4.572469074704011427e-01 4.708854532614387689e-01 4.558526427198171249e-01 4.724062082180982003e-01
2.511886431509582138e+10 4.695069059018162072e-01 4.654389245335896486e-01 4.730870625828669795e-01 4.614835329235638106e-01 4.791621734038359892e-01 4.570756535449776448e-01 4.802250409515909646e-01
3.162277660168379211e+10 4.757816553437981821e-01 4.712354706324762832e-01 4.797914457181149395e-01 4.673515998338494404e-01 4.840049694415820003e-01 4.648337186955711076e-01 4.865950093529909370e-01
3.981071705534969330e+10 4.799652970051777601e-01 4.752496156575505282e-01 4.843942693321351411e-01 4.700365281510596738e-01 4.890958464160787278e-01 4.677338409274323094e-01 4.920526367877104956e-01
5.011872336272714996e+10 4.839549712133908721e-01 4.793062244420482898e-01 4.886258476046591581e-01 4.737154478696212756e-01 4.948023258199973906e-01 4.708255102729346220e-01 4.992174754414449023e-01
6.309573444801942444e+10 4.851828622261055157e-01 4.802947611834733621e-01 4.904456696726292586e-01 4.743931513902405195e-01 4.966372743108034005e-01 4.702185851612879497e-01 4.995277366498593885e-01
7.943282347242822266e+10 4.849007612430860092e-01 4.787712764136857757e-01 4.920294530076075312e-01 4.718190978586137563e-01 4.968881270713602083e-01 4.646032956928309865e-01 4.995390145080248478e-01
1.000000000000000000e+11 4.823031315078858960e-01 4.750006246106221464e-01 4.893250461131155582e-01 4.691240695961423901e-01 4.958305765532495246e-01 4.666225083704119148e-01 4.968812079880515764e-01
1.258925411794166107e+11 4.814816552316636411e-01 4.719039548127357264e-01 4.869183523317894835e-01 4.675210309594497460e-01 4.933593116646207699e-01 4.657814500181238770e-01 4.983729205508849458e-01
1.584893192461110840e+11 4.777511598772157253e-01 4.665438966004538113e-01 4.850339057457312419e-01 4.612320145765362867e-01 4.895528918334782764e-01 4.562016027527256434e-01 4.941500090021520575e-01
1.995262314968882751e+11 4.696245062081221278e-01 4.608182042113032062e-01 4.792002468171580043e-01 4.519734647557897556e-01 4.868420691845007919e-01 4.462816676794461035e-01 4.879333271324464150e-01
2.511886431509582214e+11 4.680973778282224718e-01 4.587533591905422203e-01 4.809215729741246892e-01 4.471021170571657377e-01 4.876734029927529690e-01 4.400281254252390584e-01 4.959193784730924204e-01
3.162277660168379517e+11 4.644428275066387890e-01 4.517331242264462365e-01 4.773152757036142058e-01 4.436895567647425320e-01 4.863839742799263011e-01 4.359353671476698389e-01 5.048609781791995044e-01
3.981071705534969482e+11 4.701649327988816074e-01 4.579577083764365120e-01 4.804110212644974176e-01 4.455403192592137795e-01 4.965484621671287790e-01 4.370133280642534146e-01 5.029079938176792552e-01
5.011872336272714844e+11 4.764906676569590771e-01 4.598325251799579849e-01 4.858027489980855651e-01 4.461079746589632355e-01 4.983891679408486985e-01 4.390401122277183266e-01 5.065210038009380078e-01
6.309573444801943359e+11 4.863958095987997443e-01 4.674621116141216559e-01 5.029261148805778125e-01 4.578982364429116103e-01 5.199331065123596884e-01 4.552790993537083608e-01 5.247489031967605966e-01
7.943282347242821045e+11 4.930198820326199827e-01 4.775700523179248758e-01 5.081906863285019504e-01 4.632483974865861942e-01 5.266073184945345709e-01 4.532721335809521412e-01 5.395298113967718079e-01
1.000000000000000000e+12 4.948769953372164077e-01 4.777462098702844329e-01 5.122325400861893474e-01 4.603251235575845923e-01 5.250659000638848717e-01 4.577912325620716039e-01 5.269822387224181170e-01
1.258925411794166260e+12 4.839166336395021584e-01 4.624004472117976272e-01 5.070561796567789603e-01 4.474313707596696554e-01 5.191871796394209593e-01 4.221360879690637113e-01 5.239343530278998129e-01
1.584893192461110840e+12 4.623233264919665020e-01 4.391182119247870053e-01 4.866714381028178771e-01 4.128479135697489255e-01 5.039703645239004270e-01 4.039421190753169078e-01 5.101321072213823582e-01
1.995262314968882812e+12 4.389281313178368671e-01 4.179484618410113095e-01 4.552255772211999396e-01 3.942905976195901774e-01 4.807113248347572587e-01 3.549954924218844399e-01 4.854559775370840824e-01
2.511886431509582031e+12 4.203585287648613500e-01 3.964831219270688045e-01 4.465516170452644706e-01 3.765855770346634435e-01 4.688253353480782426e-01 3.729640799011326724e-01 5.107379657153104935e-01
3.162277660168379395e+12 4.359391134812717894e-01 4.027153239291631492e-01 4.667295762192470443e-01 3.824853265463779572e-01 4.818254910135975067e-01 3.677646155184689514e-01 4.933228363482676238e-01
3.981071705534969238e+12 4.348201238560914783e-01 4.031399319245732582e-01 4.696300089997839100e-01 3.727653286150416356e-01 5.047611999233135860e-01 3.102320735833788978e-01 5.130536603786115535e-01
5.011872336272714844e+12 4.613204731539995995e-01 4.264449137963098324e-01 5.044200015951447735e-01 4.042387115515388984e-01 5.431894891160380379e-01 3.935693853378677831e-01 5.633290357176508056e-01
6.309573444801942383e+12 4.699214642037802814e-01 4.233648420910037791e-01 5.105363321157092571e-01 3.820772347419626458e-01 5.450804298901805733e-01 3.716480775288475424e-01 5.746911050929007780e-01
7.943282347242821289e+12 4.741375750679717171e-01 4.249297649648472452e-01 5.171345394442204979e-01 3.709568205967045396e-01 5.573886583433598219e-01 2.622750653765951179e-01 5.765945237393594880e-01
1.000000000000000000e+13 4.642998565999388871e-01 4.199853031489697019e-01 5.075082428765134157e-01 3.656411662960580289e-01 5.443985906894355242e-01 2.806894196690082888e-01 5.840575356089464654e-01
1.258925411794166211e+13 4.515470127105217779e-01 3.920185861679126860e-01 5.049836722053250293e-01 3.275368833267457425e-01 5.448991475954041430e-01 2.625231711604669727e-01 5.894695066792842164e-01
1.584893192461110938e+13 4.457635145906471141e-01 3.775632389907250253e-01 4.960457447226126471e-01 3.204837823522372897e-01 5.657409442107199649e-01 2.660376969853369133e-01 6.053662706929170412e-01
1.995262314968882812e+13 4.667672428583896083e-01 3.816864450505365047e-01 5.246089051585176577e-01 3.165482100903074247e-01 5.945922709892870195e-01 2.720056051065962155e-01 6.194228504700215465e-01
2.511886431509582031e+13 4.900812283275552961e-01 4.148368923119955531e-01 5.542404916648751012e-01 3.250339288110300484e-01 6.034622945573048236e-01 2.582459702622370568e-01 6.303819272817953179e-01
3.162277660168379297e+13 5.455188725951176654e-01 4.756030601534272373e-01 6.197080813965312185e-01 3.862616984033215295e-01 6.665678290998480193e-01 3.699117085751644218e-01 6.976484169194419049e-01
