# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
2.511886431509582138e+10 -7.307098502738733625e-01 -7.363926939112288572e-01 -7.255851762606490007e-01 -7.402732296656659994e-01 -7.224048190215524023e-01 -7.440488070945789900e-01 -7.203818245160914513e-01
3.162277660168379211e+10 -7.319327967551454428e-01 -7.365368785664817564e-01 -7.255584395460807912e-01 -7.415161708778633676e-01 -7.223613686294698688e-01 -7.445904249448609402e-01 -7.196114973592299124e-01
3.981071705534969330e+10 -7.346665445836890740e-01 -7.392444790874238558e-01 -7.291533086153947352e-01 -7.439992726397763878e-01 -7.229390403292789147e-01 -7.447508821125259360e-01 -7.218891970358715104e-01
5.011872336272734833e+10 -7.403568160500699769e-01 -7.465805713049871173e-01 -7.339802539889193067e-01 -7.502377699215982965e-01 -7.290027586498073475e-01 -7.530666847351121795e-01 -7.269048594348932468e-01
6.309573444801942444e+10 -7.465065234630987590e-01 -7.524723800464884205e-01 -7.409898154233969247e-01 -7.556098968006775829e-01 -7.362281532340010370e-01 -7.566164674991291417e-01 -7.310210879806905426e-01
7.943282347242822266e+10 -7.542217683147613982e-01 -7.601709672371395055e-01 -7.475580893543366523e-01 -7.670819035116649420e-01 -7.427401938489139877e-01 -7.707986285395698189e-01 -7.400493377847724430e-01
1.000000000000000000e+11 -7.614282074478229134e-01 -7.689914117555892714e-01 -7.535602740899151053e-01 -7.771187769617133867e-01 -7.445203657520175211e-01 -7.842300865982775315e-01 -7.429775887108225341e-01
1.258925411794171295e+11 -7.709546707095095153e-01 -7.776552273495742629e-01 -7.597044196771040037e-01 -7.852356639612992906e-01 -7.496646777841504683e-01 -7.880554826405807844e-01 -7.470276590325455324e-01
1.584893192461117249e+11 -7.761954746574291075e-01 -7.863342831630928398e-01 -7.654088176776410180e-01 -7.941407779127691580e-01 -7.549382692380814941e-01 -7.993451279451065927e-01 -7.469280476992542495e-01
1.995262314968882751e+11 -7.840974592568603629e-01 -7.974749624907093715e-01 -7.676948406628200106e-01 -8.071929958035932717e-01 -7.535193090808866012e-01 -8.132187328308694285e-01 -7.453907763474600934e-01
2.511886431509582214e+11 -7.961564317457019424e-01 -8.111090892750277836e-01 -7.806261616905276757e-01 -8.256410840698539255e-01 -7.556168441357347110e-01 -8.340968693975236992e-01 -7.536512374963446614e-01
3.162277660168379517e+11 -8.137794305605692280e-01 -8.274538072764547891e-01 -7.944345067516114245e-01 -8.377674600017654960e-01 -7.763825235899253219e-01 -8.452628711982073106e-01 -7.692649783140598219e-01
3.981071705534985352e+11 -8.286418121470511267e-01 -8.438298664897680990e-01 -8.060870572019386282e-01 -8.564766493835547223e-01 -7.891377712414154866e-01 -8.736040479659965552e-01 -7.864996029132081956e-01
5.011872336272734985e+11 -8.315873877232191624e-01 -8.542334574736804020e-01 -8.014058234664889202e-01 -8.658093171990308701e-01 -7.824895741187557485e-01 -8.677653471533828267e-01 -7.566252257245604795e-01
6.309573444801943359e+11 -8.413755593591224491e-01 -8.656298555047436949e-01 -8.144761708715175796e-01 -8.857444438311303792e-01 -7.867382795296313791e-01 -8.966333310536012124e-01 -7.765963343507983341e-01
