# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
2.511886431509582138e+10 1.158731082640031829e-01 1.098887123203935307e-01 1.225636960887098587e-01 1.057300133584229973e-01 1.265226745159654387e-01 1.007545017083020245e-01 1.298474742917766211e-01
3.162277660168379211e+10 1.227751842335174925e-01 1.174405617963319992e-01 1.274919835770431942e-01 1.136136277371368880e-01 1.341884789988447846e-01 1.100241189096253930e-01 1.382656482941928000e-01
3.981071705534969330e+10 1.292083412357986627e-01 1.237186766709389152e-01 1.354653772849621074e-01 1.189219469904528731e-01 1.403089797493248803e-01 1.173380591131747974e-01 1.426593952759726558e-01
5.011872336272734833e+10 1.378053642014875901e-01 1.308620107129055965e-01 1.441939787167915710e-01 1.270994444500882781e-01 1.497374486787618197e-01 1.252707194695396042e-01 1.537120870577665943e-01
6.309573444801942444e+10 1.480741317038183347e-01 1.414177505903718435e-01 1.539440194279906027e-01 1.366831794651793275e-01 1.577911523596719490e-01 1.339580668545322095e-01 1.592303256598937566e-01
7.943282347242822266e+10 1.546708213414036137e-01 1.481058069443424996e-01 1.616400044133882441e-01 1.436497242823079612e-01 1.673575785855561660e-01 1.375420111805446821e-01 1.696036455438608703e-01
1.000000000000000000e+11 1.584377994729908312e-01 1.499246655705334386e-01 1.655303329970345128e-01 1.415253617026334676e-01 1.766811333620195712e-01 1.329335239967743554e-01 1.830377220753499068e-01
1.258925411794171295e+11 1.558642749930717053e-01 1.463096823795603241e-01 1.665603182840093843e-01 1.377230527769064683e-01 1.723857452820138914e-01 1.346065999754088305e-01 1.899572397484171893e-01
1.584893192461117249e+11 1.544373152693972739e-01 1.462671707840865198e-01 1.635782560239468775e-01 1.314887996840213291e-01 1.738810276583007131e-01 1.210797761278489537e-01 1.755171562265931129e-01
1.995262314968882751e+11 1.568900296817074547e-01 1.454487918615477160e-01 1.699964550395826890e-01 1.350045466824465190e-01 1.772119081176452005e-01 1.317679272139722357e-01 1.827966729745947039e-01
2.511886431509582214e+11 1.660254876894983744e-01 1.514214945358674791e-01 1.835206705527578919e-01 1.354863581989458332e-01 1.991932023981516364e-01 1.245944422983333993e-01 2.101031626743596614e-01
3.162277660168379517e+11 1.776583683840057826e-01 1.618284439599869395e-01 1.917854607373343512e-01 1.434873359742733778e-01 2.061304877226536880e-01 1.342998612275933812e-01 2.115934785078754654e-01
3.981071705534985352e+11 1.985840164030471255e-01 1.771455396370856528e-01 2.184311968402845305e-01 1.585741036446776664e-01 2.359575771864643456e-01 1.448954582410379444e-01 2.595771900063449933e-01
5.011872336272734985e+11 2.186829444617395812e-01 1.976399612594509914e-01 2.412595791607346496e-01 1.716591999380933375e-01 2.575934411368330235e-01 1.659652312418487818e-01 2.608805443701408544e-01
6.309573444801943359e+11 2.220604616744866200e-01 1.991534948722350762e-01 2.455215120440201737e-01 1.790572208603671833e-01 2.710617682843665666e-01 1.559718173761082405e-01 2.785795853396020871e-01
7.943282347242821045e+11 2.260191137280885831e-01 1.954821508404407659e-01 2.516962163306773470e-01 1.698350857818582416e-01 2.780884359784479565e-01 1.599930307100208560e-01 2.921580979202147432e-01
1.000000000000000000e+12 2.181613107110064176e-01 1.950069632813240528e-01 2.471403760166462626e-01 1.583807183612734315e-01 2.798045320375155409e-01 1.249478152360849609e-01 2.882433209456222167e-01
1.258925411794171387e+12 2.144690513532953036e-01 1.768113136653169382e-01 2.608136855011218280e-01 1.462786808785062620e-01 2.917056265636980839e-01 1.284942591921100496e-01 3.009668421268354987e-01
1.584893192461117432e+12 2.144975228317064220e-01 1.516427637336875689e-01 2.555890238092138889e-01 8.162173365476366182e-02 3.104149285768443844e-01 5.680109292125728321e-02 3.336547808873099319e-01
1.995262314968882812e+12 2.230882874878369337e-01 1.482317196411120364e-01 2.948821244656690266e-01 8.457319009032902846e-02 3.531930598370126573e-01 2.405143419181116071e-02 3.773775239392851422e-01
