# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
2.511886431509582138e+10 4.263965223701622898e-01 4.219278677855405335e-01 4.301755853057160905e-01 4.184726501382886044e-01 4.365760717023601245e-01 4.173733157948195105e-01 4.381962365589610053e-01
3.162277660168379211e+10 4.196532365127292330e-01 4.145761699004643086e-01 4.238991083348726541e-01 4.118914159502414796e-01 4.289478910352869656e-01 4.090872385317373960e-01 4.298711916956107215e-01
3.981071705534969330e+10 4.162974911131147038e-01 4.115145989233989221e-01 4.205566556682968082e-01 4.064666255025383146e-01 4.242936790869617503e-01 4.046399612571756621e-01 4.256834318850709620e-01
5.011872336272714996e+10 4.170364265327317632e-01 4.122206702367644526e-01 4.221761507879503994e-01 4.079642704080401749e-01 4.283669130087567889e-01 4.069934263597593249e-01 4.323812686178912790e-01
6.309573444801942444e+10 4.217490633648151022e-01 4.164466749907539955e-01 4.286162855676006189e-01 4.105891930428579029e-01 4.337519434336762347e-01 4.071659171176616465e-01 4.354391161075434336e-01
7.943282347242822266e+10 4.289360057285597772e-01 4.230999859351913805e-01 4.358112036413085977e-01 4.149307356362199051e-01 4.403803618288861799e-01 4.097065797328239278e-01 4.439370508453093778e-01
1.000000000000000000e+11 4.408369630014687401e-01 4.326462899231698356e-01 4.478818739643316560e-01 4.220028830799400499e-01 4.545181184867322366e-01 4.144873686971620730e-01 4.580698182449882139e-01
1.258925411794166107e+11 4.558735470870996509e-01 4.443884677773135006e-01 4.665680372715887425e-01 4.341899145656922809e-01 4.746666670204668925e-01 4.289279976654447046e-01 4.778478095908765821e-01
1.584893192461110840e+11 4.724971608040088311e-01 4.601503917160070234e-01 4.824689913184493362e-01 4.481172099105549256e-01 4.891428149843727313e-01 4.362469342906716285e-01 4.945178237990270897e-01
1.995262314968882751e+11 4.924044585910528626e-01 4.830946260981435758e-01 4.998411998474528439e-01 4.730220250233463930e-01 5.162627602154032935e-01 4.656104206020510450e-01 5.268652135962629268e-01
2.511886431509582214e+11 5.135562768218205898e-01 5.001076836784827950e-01 5.234899294732476838e-01 4.904614922279272871e-01 5.334072234170077476e-01 4.856285566708727908e-01 5.382659660314088601e-01
3.162277660168379517e+11 5.394950235526021487e-01 5.282893814317465297e-01 5.522963745808273650e-01 5.123514846721379801e-01 5.610173208920850030e-01 5.056315996405799096e-01 5.650368086128579881e-01
3.981071705534969482e+11 5.622200247657158645e-01 5.490492541657659986e-01 5.776719411853390440e-01 5.300068268704074548e-01 5.876647022950907129e-01 5.201183324842089117e-01 5.921353862519495026e-01
5.011872336272714844e+11 5.909387450246469387e-01 5.741906436149074588e-01 6.049079929368241793e-01 5.637949946471099150e-01 6.161907799869874580e-01 5.622438519834942472e-01 6.211746013099869179e-01
6.309573444801916504e+11 6.108035567880401029e-01 5.937512608587081075e-01 6.272187899278650614e-01 5.805376843036469392e-01 6.388883588421514492e-01 5.664766319544281004e-01 6.476077379157164637e-01
7.943282347242821045e+11 6.347098436035661928e-01 6.172971399266079517e-01 6.505711210458680060e-01 5.932328080478317389e-01 6.634936733897296435e-01 5.664437535559196935e-01 6.700687514414168655e-01
1.000000000000000000e+12 6.470816553384334258e-01 6.228820986143955851e-01 6.657000088947993000e-01 6.067209051487887361e-01 6.851158954163049097e-01 5.972920647856665433e-01 6.986702931985535603e-01
1.258925411794166260e+12 6.594713409503998314e-01 6.340809565158411765e-01 6.845849078011340128e-01 5.976262769561572208e-01 6.971639380245384654e-01 5.805126442598306236e-01 6.988931775376252542e-01
1.584893192461110840e+12 6.736614348256805274e-01 6.511743099720910255e-01 7.002961472307194235e-01 6.120568793096581306e-01 7.220666255221692698e-01 5.959419156598870781e-01 7.254805893221475399e-01
1.995262314968874756e+12 6.889634190178774986e-01 6.629965342189945154e-01 7.166823602515806080e-01 6.227447329505110263e-01 7.377037592434853019e-01 5.818982308591593711e-01 7.519563821412680316e-01
2.511886431509571777e+12 6.970336097135011455e-01 6.639884428349166479e-01 7.282680165950011775e-01 6.195481186690021680e-01 7.511107744548873866e-01 5.959756289702066168e-01 7.615201910054985035e-01
3.162277660168379395e+12 6.895261043808860180e-01 6.181335001452697986e-01 7.453461319585241718e-01 5.849467753308361662e-01 7.785113571919715092e-01 5.586379196704397421e-01 7.831532316235932933e-01
3.981071705534969238e+12 6.608987292140402481e-01 5.812786841378250191e-01 7.679740440999768269e-01 5.260861012007569393e-01 7.888148381550990074e-01 4.823058982795911942e-01 8.017288982288848231e-01
5.011872336272714844e+12 6.796214963806027631e-01 5.540105673643955786e-01 7.785008613048191028e-01 4.700226699246401463e-01 7.938950408653218105e-01 3.613431209203169514e-01 8.067894929098948786e-01
