# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 -2.140473183244192001e-01 -2.169656911176658654e-01 -2.128656860136439177e-01 -2.181244567855726568e-01 -2.123965084784831536e-01 -2.183261678462823652e-01 -2.123148368334736580e-01
1.258925411794166183e+10 -2.125087383819187214e-01 -2.175522837632407058e-01 -2.107192022208099758e-01 -2.195548679587656371e-01 -2.100086510980168075e-01 -2.199034659483570242e-01 -2.098849625692343068e-01
1.584893192461110878e+10 -2.122536772292449581e-01 -2.125894495076328106e-01 -2.108084179587926266e-01 -2.127227708534633333e-01 -2.102345650131718369e-01 -2.127459786432930877e-01 -2.101346720930082068e-01
1.995262314968882751e+10 -2.136216460689113472e-01 -2.166474720304017165e-01 -2.132024739795997381e-01 -2.178489029268758093e-01 -2.130360380029613365e-01 -2.180580408977435547e-01 -2.130070658144353757e-01
2.511886431509582138e+10 -2.162957217841204594e-01 -2.191468380858782039e-01 -2.143426433204463355e-01 -2.202788989703996503e-01 -2.135671562833992565e-01 -2.204759614206681928e-01 -2.134321640954688626e-01
3.162277660168379211e+10 -2.197589247809244861e-01 -2.253372067165168025e-01 -2.195030774511131932e-01 -2.275521127791784726e-01 -2.194014910113351591e-01 -2.279376705011973703e-01 -2.193838074458923371e-01
3.981071705534969330e+10 -2.257509958648989401e-01 -2.258554375208559617e-01 -2.229131813062881773e-01 -2.258969070018977399e-01 -2.217864019962515199e-01 -2.259041257634124278e-01 -2.215902589311710691e-01
5.011872336272714996e+10 -2.213050492646915779e-01 -2.235512883702533704e-01 -2.177496492163379926e-01 -2.244431774268735025e-01 -2.163379462559622823e-01 -2.245984321885814428e-01 -2.160922053702672430e-01
6.309573444801942444e+10 -2.212428786282604753e-01 -2.235018753707802286e-01 -2.186922120382828738e-01 -2.243988299597219072e-01 -2.176794473628505533e-01 -2.245549664992784189e-01 -2.175031512897197539e-01
7.943282347242822266e+10 -2.095390247590780686e-01 -2.131830302826861478e-01 -2.058325332137765085e-01 -2.146299148288246528e-01 -2.043608380413773629e-01 -2.148817799164857711e-01 -2.041046540669226861e-01
1.000000000000000000e+11 -1.955960883901200209e-01 -1.974362519059890964e-01 -1.942782039636107294e-01 -1.981669050667018150e-01 -1.937549263236732489e-01 -1.982940928391222213e-01 -1.936638372530174734e-01
1.258925411794166107e+11 -1.855494657838249462e-01 -1.866504778679184129e-01 -1.837013627042076158e-01 -1.870876444307202346e-01 -1.829675570696536746e-01 -1.871637437953561078e-01 -1.828398205332683601e-01
1.584893192461110840e+11 -1.737639189166251541e-01 -1.756347501557415369e-01 -1.735111490870647200e-01 -1.763775802065671583e-01 -1.734107845959157179e-01 -1.765068876598590297e-01 -1.733933137400490432e-01
1.995262314968882751e+11 -1.607004683210414009e-01 -1.626328162414457101e-01 -1.554112879244837764e-01 -1.634000720333709800e-01 -1.533111721787917825e-01 -1.635336313749283510e-01 -1.529455964749120433e-01
2.511886431509582214e+11 -1.611890798720134188e-01 -1.623733602728511527e-01 -1.587622502614008668e-01 -1.628435892555367415e-01 -1.577986561513047004e-01 -1.629254439303005342e-01 -1.576309193988064961e-01
3.162277660168379517e+11 -1.551231773352599597e-01 -1.622576826824486118e-01 -1.547151112820872587e-01 -1.650905009820676506e-01 -1.545530850550922153e-01 -1.655836212045939115e-01 -1.545248804896523220e-01
3.981071705534969482e+11 -1.544166034540523369e-01 -1.612777025297551514e-01 -1.534074536501548458e-01 -1.640019624568724577e-01 -1.530067618162543330e-01 -1.644761854812225033e-01 -1.529370117562790787e-01
5.011872336272714844e+11 -1.508603494546985613e-01 -1.522219963005456145e-01 -1.391175276684775697e-01 -1.527626501952201732e-01 -1.344549366651251465e-01 -1.528567640213302214e-01 -1.336433004534304525e-01
6.309573444801943359e+11 -1.491835276437291080e-01 -1.558467936446478741e-01 -1.446602111004829383e-01 -1.584925022038362052e-01 -1.428641883553704861e-01 -1.589530514715467857e-01 -1.425515473589990534e-01
7.943282347242821045e+11 -1.463726087724286362e-01 -1.612469210597577418e-01 -1.440942141597494619e-01 -1.671528979973737339e-01 -1.431895574753033196e-01 -1.681809754642920596e-01 -1.430320802006034286e-01
1.000000000000000000e+12 -1.307123713645412522e-01 -1.341209252959597031e-01 -1.245418861129723997e-01 -1.354743217099052544e-01 -1.220918404983788730e-01 -1.357099129375179958e-01 -1.216653510765792479e-01
1.258925411794166260e+12 -1.082672268923460107e-01 -1.193605901592734164e-01 -9.035213945516171186e-02 -1.237653079270240042e-01 -8.323879591392677191e-02 -1.245320550940028081e-01 -8.200054722341550140e-02
1.584893192461110840e+12 -7.690345719557498128e-02 -8.263791689160826515e-02 -5.566544100201595291e-02 -8.491483471209207434e-02 -4.723269927810282154e-02 -8.531118707343555985e-02 -4.576477757060682522e-02
1.995262314968882812e+12 -5.173383785498884835e-02 -5.266100020119678787e-02 -4.757825134093202069e-02 -5.302913819160288977e-02 -4.592823904858592959e-02 -5.309322147141432024e-02 -4.564101468658494226e-02
2.511886431509582031e+12 -3.070014298888504300e-02 -3.828721809114718488e-02 -2.619229468688451246e-02 -4.129973320528068648e-02 -2.440241374344312084e-02 -4.182413398440762431e-02 -2.409084187551073161e-02
3.162277660168379395e+12 -4.689617578494219979e-02 -5.849465933020705360e-02 -2.595168252873005649e-02 -6.309993956141515814e-02 -1.763548667699876490e-02 -6.390159945351434057e-02 -1.618785258428998702e-02
3.981071705534969238e+12 -1.750679800022409555e-02 -2.035649703542979569e-02 -7.053290536440978697e-03 -2.148799518176146978e-02 -2.902633161115327626e-03 -2.168495967390069237e-02 -2.180111321706789881e-03
5.011872336272714844e+12 -2.884721743033944949e-02 -3.609642736442297828e-02 -2.269834501533532500e-02 -3.897479013236791745e-02 -2.025688096820133649e-02 -3.947583846604721391e-02 -1.983188537481134564e-02
6.309573444801942383e+12 -6.519708480053591770e-02 -1.132195062120981005e-01 -4.851803831725610971e-02 -1.322872323608066114e-01 -4.189547574301265981e-02 -1.356064291348410833e-01 -4.074265929490361593e-02
7.943282347242821289e+12 -8.754986317607928170e-02 -1.529820680756792950e-01 -5.600787896547168576e-02 -1.789625023740498977e-01 -4.348385582302453922e-02 -1.834850224185810841e-01 -4.130374809082078963e-02
