# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+10 -3.664667418115121200e-01 -3.697827433475930903e-01 -3.626017041642642380e-01 -3.718178137923272564e-01 -3.596595467751129149e-01 -3.755146216637890721e-01 -3.589864092664656336e-01
1.258925411794166183e+10 -3.684718555264858697e-01 -3.715438815657486904e-01 -3.651759624401783588e-01 -3.745415181325416065e-01 -3.619361215622954320e-01 -3.765018339874153241e-01 -3.607319088354444259e-01
1.584893192461110878e+10 -3.727536467337581039e-01 -3.759180823232106672e-01 -3.692253579691587850e-01 -3.787581461728827259e-01 -3.664288217718284502e-01 -3.801564034515975132e-01 -3.649575465380524575e-01
1.995262314968882751e+10 -3.778250993571498628e-01 -3.811884345558003706e-01 -3.743722331531486036e-01 -3.856326267618057635e-01 -3.711179163087240385e-01 -3.882612402141089047e-01 -3.692433661450767457e-01
2.511886431509582138e+10 -3.832842451691739760e-01 -3.873028699819729970e-01 -3.790443516506218913e-01 -3.906732163184753470e-01 -3.763535252725799252e-01 -3.918096324739303582e-01 -3.732687751333845783e-01
3.162277660168379211e+10 -3.886331319893265857e-01 -3.924492406600657568e-01 -3.849370898821086184e-01 -3.947484894812832712e-01 -3.801922307280979352e-01 -3.979683294895791645e-01 -3.783399191923512705e-01
3.981071705534969330e+10 -3.917952269264730614e-01 -3.960719562512864944e-01 -3.874998108319993029e-01 -3.994082395111919759e-01 -3.824417906674993928e-01 -4.024427792783752400e-01 -3.774607667326915772e-01
5.011872336272714996e+10 -3.903132012286356090e-01 -3.947463540308090435e-01 -3.862312669980443314e-01 -3.997216615602231515e-01 -3.828286451980038585e-01 -4.022195156675200112e-01 -3.818460120541082858e-01
6.309573444801942444e+10 -3.865591571329782816e-01 -3.910920979054910429e-01 -3.815904478162303604e-01 -3.944504834359127132e-01 -3.764226597505135885e-01 -3.993408289829327718e-01 -3.741483474858192104e-01
7.943282347242822266e+10 -3.820902544337824724e-01 -3.879324409897993986e-01 -3.753984954871122381e-01 -3.939345627373542769e-01 -3.710640637876589931e-01 -3.944739945802497871e-01 -3.696881757891828379e-01
1.000000000000000000e+11 -3.746846022480554983e-01 -3.812328760788743498e-01 -3.676889978485620714e-01 -3.871638969026895416e-01 -3.625793184015019821e-01 -3.924377628097343029e-01 -3.567246902556708288e-01
1.258925411794166107e+11 -3.620125040636208991e-01 -3.718660083650160431e-01 -3.554201555889127118e-01 -3.777517566366233037e-01 -3.471269864435544417e-01 -3.825877862493534676e-01 -3.399100731571282341e-01
1.584893192461110840e+11 -3.505710476153381938e-01 -3.577947874663476857e-01 -3.423349918732373487e-01 -3.658512196819767581e-01 -3.348325890762935408e-01 -3.754046400728044963e-01 -3.176095907039689359e-01
1.995262314968882751e+11 -3.360029776095392329e-01 -3.442881527334009650e-01 -3.267478485826565415e-01 -3.549445652873960411e-01 -3.151599293872921481e-01 -3.696864287202241695e-01 -3.099490014662458215e-01
2.511886431509582214e+11 -3.176362512776358393e-01 -3.310688728685518001e-01 -3.063288854727729271e-01 -3.415484587526861904e-01 -2.980791021210446035e-01 -3.443505851861062284e-01 -2.900272378679585317e-01
3.162277660168379517e+11 -3.025965009287178153e-01 -3.131095904974853239e-01 -2.892498600460761127e-01 -3.210410524365258089e-01 -2.763907595510888826e-01 -3.260763432960828156e-01 -2.745982293294371712e-01
3.981071705534969482e+11 -2.823801890564301420e-01 -2.954980191030197600e-01 -2.692079194780748197e-01 -3.051147708437275674e-01 -2.617083970060560261e-01 -3.310656122124798761e-01 -2.513436700288786962e-01
5.011872336272714844e+11 -2.640432731274691136e-01 -2.789954625057144422e-01 -2.488237521944690611e-01 -2.927449057910188057e-01 -2.327810788930307628e-01 -3.041166241441167206e-01 -2.281472571935970750e-01
6.309573444801916504e+11 -2.422475222474443912e-01 -2.608247384499612909e-01 -2.213887120193125113e-01 -2.770975010810624584e-01 -2.054718992831943147e-01 -2.862780987870148230e-01 -1.971627500115086806e-01
7.943282347242789307e+11 -2.236821278165112281e-01 -2.436297295173467936e-01 -2.010817636900000815e-01 -2.668857208571531192e-01 -1.787167312251495555e-01 -2.717979899668649391e-01 -1.610101173947340869e-01
1.000000000000000000e+12 -2.146875818408481851e-01 -2.435201810268143585e-01 -1.913779073263849606e-01 -2.661797715166349110e-01 -1.693032497569336159e-01 -2.730118426157486788e-01 -1.479499239851076453e-01
1.258925411794166260e+12 -2.178618029025072012e-01 -2.437704711937864199e-01 -1.857254103595208650e-01 -2.625896122873234706e-01 -1.595171688351526562e-01 -2.813988243536298950e-01 -1.464905283171439865e-01
