# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 1.968695415182049879e-01 1.934058081911558258e-01 2.004084931029175842e-01 1.904181204061261290e-01 2.033741905429885810e-01 1.884520362631075252e-01 2.046584575398149586e-01
1.258925411794166107e+11 1.985885704056137291e-01 1.950584717578567051e-01 2.012598059184778632e-01 1.917631353245541348e-01 2.045891077720576046e-01 1.885159888067986789e-01 2.057920352890622584e-01
1.584893192461110840e+11 1.992305306859217806e-01 1.966685812418480506e-01 2.017239302240230459e-01 1.930893325038425257e-01 2.061380253409996754e-01 1.929301498467332621e-01 2.090927691161237612e-01
1.995262314968882751e+11 2.018023934160725896e-01 1.972367397209917328e-01 2.056821106656986919e-01 1.944241780179220558e-01 2.095644574245775771e-01 1.905324145648000789e-01 2.136992650419833606e-01
2.511886431509582214e+11 2.032706334106956225e-01 1.975443679091054006e-01 2.075101291476034726e-01 1.938098346282855489e-01 2.122214012048797005e-01 1.932459323937930351e-01 2.135080617216966736e-01
3.162277660168379517e+11 2.055917674929547967e-01 2.005475226876436978e-01 2.110052111753504267e-01 1.945437895180561205e-01 2.147099664309693734e-01 1.911422197371708542e-01 2.209571272824827348e-01
3.981071705534969482e+11 2.080926606130202305e-01 2.027283217556054284e-01 2.158878076260775658e-01 1.927301777015246742e-01 2.216101506285065859e-01 1.854805354137610274e-01 2.316927748357787975e-01
5.011872336272714844e+11 2.108371048934807312e-01 2.029112763714603362e-01 2.175811125783274347e-01 1.964782521112752034e-01 2.258914248532277458e-01 1.893282311541242269e-01 2.271241168567927071e-01
6.309573444801943359e+11 2.117208454209235091e-01 2.031032454293256462e-01 2.201622177317920370e-01 1.950197532882507190e-01 2.321579389301296481e-01 1.865894368391916858e-01 2.331370181823237131e-01
7.943282347242821045e+11 2.111829702006379761e-01 1.975188345180928229e-01 2.234938105182599222e-01 1.874822945135950492e-01 2.328427469080419088e-01 1.803574895470378414e-01 2.382305570544672457e-01
1.000000000000000000e+12 2.155101772107926583e-01 2.025218708797312250e-01 2.263433939271518591e-01 1.886430531510810971e-01 2.356203756047621223e-01 1.650371162645976608e-01 2.514553417438852856e-01
1.258925411794166260e+12 2.211889904029822884e-01 2.010976446160040731e-01 2.422808537624310254e-01 1.878871069161670571e-01 2.595957159739661901e-01 1.706453042797758668e-01 2.672326468164125668e-01
1.584893192461110840e+12 2.208824437363898496e-01 2.017440324295352305e-01 2.433088461596352448e-01 1.709917259363437081e-01 2.641224695462720540e-01 1.592854489420679476e-01 2.768677447939246195e-01
1.995262314968882812e+12 2.086566347834483692e-01 1.800323137848920119e-01 2.503065977523465935e-01 1.526139039800184227e-01 2.858354818155720012e-01 1.344347610200508636e-01 3.013659813624649519e-01
2.511886431509582031e+12 1.965241523939532109e-01 1.618611505128161876e-01 2.269623199611839892e-01 1.231406851601602737e-01 2.737394413659338666e-01 1.143380918906051480e-01 3.204285301998873181e-01
3.162277660168379395e+12 1.589713521697157794e-01 9.310139704255471216e-02 2.040698518715586829e-01 4.008471322018694605e-02 2.689247597318101257e-01 -1.371047614441063892e-02 2.834444190750947667e-01
3.981071705534969238e+12 6.458651478657946587e-02 1.271836366554012464e-02 1.234088425777663811e-01 -4.723975216049672993e-02 1.786556415699468159e-01 -9.951815191018013873e-02 2.661778481539573971e-01
