# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -4.028231284515394472e-01 -4.048931934399173649e-01 -4.008996758522284098e-01 -4.067026828446769215e-01 -3.998225547775074995e-01 -4.076907469903027215e-01 -3.972949218762863444e-01
1.258925411794166107e+11 -4.022953081621750693e-01 -4.040600928061238717e-01 -4.003491934426922083e-01 -4.055259046484588348e-01 -3.987832801381227532e-01 -4.059723419194860572e-01 -3.975614206390743477e-01
1.584893192461110840e+11 -4.017240402396971000e-01 -4.032673363975182168e-01 -3.996198270298654820e-01 -4.054195535900791403e-01 -3.982580314036979763e-01 -4.070424862552081691e-01 -3.963286988690598589e-01
1.995262314968882751e+11 -4.001707514709785252e-01 -4.017628051101013176e-01 -3.981131741268853497e-01 -4.044330807401957939e-01 -3.968710281467238143e-01 -4.045647361957556143e-01 -3.959078727730591107e-01
2.511886431509582214e+11 -3.987980874644532214e-01 -4.009997304643236338e-01 -3.962659117290605604e-01 -4.033292701571088990e-01 -3.942456598234107545e-01 -4.039138083008946278e-01 -3.936040804146653804e-01
3.162277660168379517e+11 -3.971402876559143591e-01 -3.993253635156269743e-01 -3.944861929984558313e-01 -4.014512108297074722e-01 -3.921023415554130143e-01 -4.017340338734749494e-01 -3.909032650428381217e-01
3.981071705534969482e+11 -3.954638755936067396e-01 -3.978870035038893360e-01 -3.924071478819329828e-01 -4.004259389381221723e-01 -3.904998499724992023e-01 -4.018087557213301242e-01 -3.887921599774524228e-01
5.011872336272714844e+11 -3.939620227400916219e-01 -3.962937880812037461e-01 -3.901634132518807530e-01 -3.992195298074932008e-01 -3.878187403561136337e-01 -4.002211042161343268e-01 -3.865001885175902152e-01
6.309573444801943359e+11 -3.914096913125852950e-01 -3.952970488836026752e-01 -3.873962396522511731e-01 -3.987885752037704790e-01 -3.846466362283748053e-01 -3.998176100760021945e-01 -3.826297083264121324e-01
7.943282347242821045e+11 -3.878006512689283758e-01 -3.912050934204263086e-01 -3.844756801198382368e-01 -3.937073237104672385e-01 -3.804488700084296404e-01 -3.968491306112965078e-01 -3.787903949769582668e-01
1.000000000000000000e+12 -3.833664191584079117e-01 -3.870341730229978627e-01 -3.792853185687469209e-01 -3.903401052153671058e-01 -3.759046128653938945e-01 -3.913703896115383052e-01 -3.745893561196620425e-01
1.258925411794166260e+12 -3.771455915401147330e-01 -3.810465908376948763e-01 -3.721014673345232615e-01 -3.864033233767607545e-01 -3.684560639786206848e-01 -3.868654658454078188e-01 -3.651497559510066271e-01
1.584893192461110840e+12 -3.711196732289998579e-01 -3.747422931549922454e-01 -3.664456578713301549e-01 -3.803864608808167902e-01 -3.641555608428705404e-01 -3.864864585933747154e-01 -3.599280770566113952e-01
1.995262314968882812e+12 -3.700703150161018806e-01 -3.753022975999735777e-01 -3.642283452343815231e-01 -3.808400511925451593e-01 -3.594081417040402293e-01 -3.813552923992594712e-01 -3.578555418957297674e-01
2.511886431509582031e+12 -3.684928345230658597e-01 -3.735562447755170767e-01 -3.640072179297951793e-01 -3.809710021318967188e-01 -3.572438021170631917e-01 -3.832988341291632683e-01 -3.527654442719674321e-01
3.162277660168379395e+12 -3.687436748321547553e-01 -3.759170945868831604e-01 -3.628829878734985970e-01 -3.802471934474781490e-01 -3.594248674829181311e-01 -3.869920414577676659e-01 -3.565122436578211929e-01
3.981071705534969238e+12 -3.690599959419375020e-01 -3.757117173925298981e-01 -3.602034772202011847e-01 -3.828005515464029673e-01 -3.524573872374361372e-01 -3.875299761622467698e-01 -3.483441559350163863e-01
5.011872336272714844e+12 -3.656582901837013844e-01 -3.750526442019170292e-01 -3.594936578104672709e-01 -3.784085492123653305e-01 -3.515349622770403970e-01 -3.839803462738421991e-01 -3.484858902571458250e-01
6.309573444801942383e+12 -3.627703546511301669e-01 -3.695123685750489884e-01 -3.535774046691658179e-01 -3.803480966982619726e-01 -3.443991074487027237e-01 -3.843876367762426582e-01 -3.423802475497145781e-01
7.943282347242821289e+12 -3.560364857533231953e-01 -3.640417253712925350e-01 -3.463401714611756832e-01 -3.747953687125258337e-01 -3.382709419933335182e-01 -3.847286514271012758e-01 -3.292683819210058260e-01
1.000000000000000000e+13 -3.519535448107307118e-01 -3.658214717565742014e-01 -3.388190187850422253e-01 -3.715455170788856676e-01 -3.324971811529526811e-01 -3.854856012390734388e-01 -3.306210097752543264e-01
1.258925411794166211e+13 -3.427312590331275111e-01 -3.559478815457924328e-01 -3.301693319721055730e-01 -3.676562610636358031e-01 -3.193665138727810326e-01 -3.724854167649832015e-01 -3.139188490479176141e-01
