# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -3.337885797670317456e-01 -3.358227762877171729e-01 -3.323110820918063202e-01 -3.373173603520591146e-01 -3.310501015686682091e-01 -3.382874612887513122e-01 -3.305780963181493282e-01
1.258925411794166107e+11 -3.327807736528557991e-01 -3.342246720119952386e-01 -3.314254401925564308e-01 -3.360604183514313004e-01 -3.298850496298706969e-01 -3.367924407901098371e-01 -3.291149741833093723e-01
1.584893192461110840e+11 -3.311226030962750033e-01 -3.325913980346655308e-01 -3.298307959963652225e-01 -3.342398008889050920e-01 -3.289769866941222309e-01 -3.353647940658147086e-01 -3.272409764653463893e-01
1.995262314968882751e+11 -3.297669570972802111e-01 -3.321552182884221494e-01 -3.275538694502352355e-01 -3.329468022654865078e-01 -3.266721249664688020e-01 -3.340748694205871172e-01 -3.256374570790194767e-01
2.511886431509582214e+11 -3.274357526554555475e-01 -3.295053576204802215e-01 -3.254756406304276095e-01 -3.313256816016689754e-01 -3.240929900214758463e-01 -3.333895560999573515e-01 -3.221462785579467525e-01
3.162277660168379517e+11 -3.260141547977357668e-01 -3.288726872245072985e-01 -3.236880330859824850e-01 -3.311370211229063276e-01 -3.216836129321046789e-01 -3.314588099834463453e-01 -3.207230989468474736e-01
3.981071705534969482e+11 -3.252798895148303338e-01 -3.279282875748227855e-01 -3.234375809096836085e-01 -3.309419022548504286e-01 -3.199193878170916161e-01 -3.320683695541765124e-01 -3.194750241344432307e-01
5.011872336272714844e+11 -3.250772288382649533e-01 -3.271256307635053706e-01 -3.227313684459964249e-01 -3.306617320485256695e-01 -3.196552596342631114e-01 -3.327897205934485791e-01 -3.180167364273469577e-01
6.309573444801943359e+11 -3.245859187478941643e-01 -3.278680266737614701e-01 -3.213458763832580112e-01 -3.297572246324939060e-01 -3.190159628920899992e-01 -3.333868290163176096e-01 -3.155325326081632742e-01
7.943282347242821045e+11 -3.232985344972159059e-01 -3.266328282538886185e-01 -3.195572666121439531e-01 -3.299909113533004423e-01 -3.163131299898599424e-01 -3.324675428457818382e-01 -3.141491591353776647e-01
1.000000000000000000e+12 -3.235255444473320585e-01 -3.262223553795491893e-01 -3.193827017705805349e-01 -3.290608142626675336e-01 -3.158953424602856108e-01 -3.299995262619405678e-01 -3.151743731881647137e-01
1.258925411794166260e+12 -3.195983909299484615e-01 -3.241719319561059964e-01 -3.156035989067101921e-01 -3.273487153323919596e-01 -3.118096322440046531e-01 -3.283371757637726374e-01 -3.083369001258221553e-01
1.584893192461110840e+12 -3.169493710773930717e-01 -3.219279004178983716e-01 -3.123021113065739818e-01 -3.242052068548111898e-01 -3.101177141459968700e-01 -3.278443398874349990e-01 -3.048194502226669322e-01
1.995262314968882812e+12 -3.147398181085316327e-01 -3.185743707012380077e-01 -3.095416249818935817e-01 -3.228781699188464915e-01 -3.057792705332582628e-01 -3.272596927254706189e-01 -3.033063507184240448e-01
2.511886431509582031e+12 -3.152338906373821636e-01 -3.212382833403751858e-01 -3.089735355692955765e-01 -3.277202596284961578e-01 -3.043108164196251519e-01 -3.344552217484192402e-01 -3.018521962621403265e-01
3.162277660168379395e+12 -3.179582325969912970e-01 -3.254506622691599182e-01 -3.097700594231648230e-01 -3.297674670742213321e-01 -3.046767820258595716e-01 -3.348234763839156303e-01 -3.009044869056836102e-01
3.981071705534969238e+12 -3.247969904471829095e-01 -3.312968961554696445e-01 -3.170081486035151164e-01 -3.372400313119590654e-01 -3.098718252883694291e-01 -3.413600455186323601e-01 -3.033852030381380405e-01
5.011872336272714844e+12 -3.308994604651738225e-01 -3.384021486965850256e-01 -3.211576141705541065e-01 -3.445842704543118362e-01 -3.156229835810061557e-01 -3.509022481848495523e-01 -3.122381996155818018e-01
6.309573444801942383e+12 -3.357209732295326488e-01 -3.453179687395484532e-01 -3.278451806593533635e-01 -3.514803124120547406e-01 -3.198729661169702476e-01 -3.586097858787321013e-01 -3.150042070213176504e-01
7.943282347242821289e+12 -3.321724107582762486e-01 -3.389675809708764254e-01 -3.249517913328166530e-01 -3.493565603197900105e-01 -3.107146568685900667e-01 -3.554743907092935418e-01 -3.073197030567222932e-01
1.000000000000000000e+13 -3.243111230897885999e-01 -3.365672702756824508e-01 -3.147468537629866114e-01 -3.486223073659293070e-01 -3.090252823220929201e-01 -3.538772100053688696e-01 -3.000558024818006375e-01
1.258925411794166211e+13 -3.161412132385653662e-01 -3.292143239833977275e-01 -3.066703779031408894e-01 -3.417765108768857640e-01 -2.930309899088681114e-01 -3.495999087326355226e-01 -2.887657672762877215e-01
1.584893192461110938e+13 -3.152106884261847153e-01 -3.250691197584995029e-01 -3.002747615337200138e-01 -3.372928797243845422e-01 -2.847376423497670062e-01 -3.441216491636558406e-01 -2.779890113236063165e-01
1.995262314968882812e+13 -3.106614719126823965e-01 -3.269681981706180074e-01 -2.950711717986924110e-01 -3.362143505156900414e-01 -2.813215738773632291e-01 -3.506445176271670294e-01 -2.684532252293437837e-01
2.511886431509582031e+13 -3.062554259416916391e-01 -3.276072254262296646e-01 -2.935133081240789421e-01 -3.420662707960734350e-01 -2.798194364062657202e-01 -3.506619808748697165e-01 -2.697466088696464093e-01
3.162277660168379297e+13 -3.029903974176226256e-01 -3.211592640574651991e-01 -2.875716544529202667e-01 -3.356942117664109548e-01 -2.677677271042336882e-01 -3.524219013499927389e-01 -2.524652170494716685e-01
3.981071705534969531e+13 -2.928541826237959222e-01 -3.083354419264378588e-01 -2.718042329822918379e-01 -3.249491225617459067e-01 -2.560467635826756405e-01 -3.266149887903986304e-01 -2.505216116160884909e-01
5.011872336272714844e+13 -2.783971587958151139e-01 -3.063866985634768336e-01 -2.554732251988967584e-01 -3.220422673957613613e-01 -2.369561136038108862e-01 -3.367105843352682371e-01 -2.255808977523559855e-01
6.309573444801942969e+13 -2.764792760217856804e-01 -3.036320481484068856e-01 -2.621719221354321117e-01 -3.245791080164053266e-01 -2.319066784131716685e-01 -3.261228583861638386e-01 -2.149255210834874474e-01
7.943282347242821875e+13 -2.830329755502240530e-01 -3.103037620320464041e-01 -2.595017528663501327e-01 -3.455852458647107328e-01 -2.345680223974025980e-01 -3.560768778661873579e-01 -2.140983013318595862e-01
1.000000000000000000e+14 -2.956786615638580251e-01 -3.238254247098395489e-01 -2.678952098816853034e-01 -3.519897317938616155e-01 -2.361412929011566519e-01 -3.609934669435994059e-01 -2.245357015797964650e-01
