# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.995262314968882751e+11 5.811383255641027201e-01 5.794173533052051628e-01 5.829962203380377739e-01 5.776455945216558696e-01 5.853424615516247265e-01 5.775781260774580650e-01 5.858045315340258963e-01
2.511886431509582214e+11 5.699850437275941761e-01 5.677505646212267498e-01 5.721844099164005160e-01 5.657489746555826038e-01 5.736809684348407323e-01 5.643636529770406085e-01 5.742023163193714641e-01
3.162277660168379517e+11 5.586421982057045987e-01 5.559514250127901569e-01 5.604049032687179466e-01 5.534480317858782028e-01 5.620706741798735528e-01 5.530257186679982118e-01 5.648195453642255170e-01
3.981071705534985352e+11 5.482225147011752231e-01 5.456382511283282000e-01 5.520655077837225422e-01 5.422496510233049127e-01 5.543689944078515897e-01 5.409720799467927499e-01 5.560210985745854817e-01
5.011872336272734985e+11 5.401261359087197178e-01 5.373574527618484309e-01 5.429613279553624494e-01 5.358272791630818155e-01 5.451129554618410200e-01 5.350146890541691569e-01 5.486587046809102697e-01
6.309573444801943359e+11 5.351094814736447880e-01 5.325210182748627563e-01 5.389685810542363953e-01 5.290900011393211422e-01 5.409676069904039153e-01 5.272404559810892621e-01 5.424346244425936048e-01
7.943282347242821045e+11 5.315395578949838606e-01 5.281554869065218094e-01 5.349062132888219301e-01 5.257354976746887454e-01 5.381651713520745339e-01 5.235956439361971748e-01 5.410501891128356444e-01
1.000000000000000000e+12 5.296056852845574259e-01 5.259053646800740944e-01 5.339970898237568209e-01 5.217899499387158579e-01 5.374277170915497948e-01 5.201515253731864297e-01 5.378184331776166838e-01
1.258925411794171387e+12 5.277229675143848553e-01 5.247174359521219467e-01 5.317607245188282761e-01 5.206934124020680121e-01 5.350218404851834197e-01 5.182780723315908444e-01 5.367694052489271339e-01
1.584893192461117432e+12 5.276952321775472132e-01 5.237008995207813600e-01 5.334472685423750082e-01 5.197213711928145852e-01 5.361752021144567948e-01 5.179056443262721743e-01 5.374661854005902129e-01
1.995262314968882812e+12 5.261158801936527407e-01 5.204793346295801815e-01 5.316425851505606204e-01 5.161946637530642201e-01 5.350256405393594150e-01 5.142275550573026655e-01 5.379726954687416018e-01
2.511886431509582031e+12 5.250407152014245904e-01 5.177889752669450063e-01 5.308558058391845691e-01 5.115796277019477589e-01 5.364669447130487878e-01 5.087257095258446160e-01 5.408955234941258405e-01
3.162277660168379395e+12 5.229762508485096273e-01 5.189190763291551267e-01 5.291579562593232700e-01 5.076186096578785278e-01 5.372652984435035695e-01 5.022535211305231284e-01 5.458050115514199163e-01
3.981071705534985352e+12 5.197092146894080056e-01 5.123697695415210251e-01 5.292157243205792838e-01 5.061823151060635961e-01 5.360040062154594054e-01 5.038243226940604114e-01 5.389116639619377924e-01
5.011872336272735352e+12 5.174366821363813873e-01 5.105395979610700685e-01 5.259248328132559713e-01 5.042079706946983597e-01 5.352773389814458049e-01 5.025504122725088507e-01 5.375595755076201243e-01
6.309573444801942383e+12 5.181504826686620380e-01 5.099187943339491547e-01 5.286156299436659545e-01 5.033250171738469225e-01 5.358778598311966235e-01 4.948678576353317538e-01 5.364149916459136636e-01
7.943282347242821289e+12 5.200301649351737332e-01 5.109456160915287759e-01 5.301688766611648562e-01 5.036827202884646137e-01 5.392453970598483082e-01 4.969974694902671297e-01 5.429182897959541343e-01
1.000000000000000000e+13 5.237573152021743894e-01 5.106181947867957094e-01 5.327961777255179054e-01 5.004686572563414870e-01 5.388570861398565004e-01 4.944353257420840420e-01 5.404148120481914175e-01
1.258925411794171289e+13 5.221773000516160002e-01 5.087543075348075483e-01 5.376633716623633319e-01 4.942824061014086112e-01 5.440815413581279181e-01 4.834378517309593226e-01 5.518005213948564691e-01
1.584893192461117383e+13 5.267655108007009979e-01 5.111144467997257301e-01 5.356223067757452938e-01 4.952039320211642504e-01 5.455666760550341721e-01 4.834767636977644334e-01 5.501478701754684009e-01
1.995262314968882812e+13 5.313573244506197835e-01 5.132547641312681375e-01 5.492202523233670197e-01 4.973253671236036455e-01 5.610918406865397223e-01 4.923435164978042233e-01 5.639526473012290708e-01
2.511886431509582031e+13 5.442699944580233762e-01 5.309735013104459611e-01 5.605703067716375498e-01 5.070630363747550273e-01 5.721914621842223436e-01 5.023527787049355542e-01 5.784925546349050096e-01
3.162277660168379297e+13 5.621844220965686034e-01 5.444700093954114584e-01 5.772926050700933898e-01 5.275418699055762772e-01 5.876360027913242190e-01 5.211649808872451661e-01 5.911347704362016620e-01
3.981071705534985156e+13 5.771273271782271230e-01 5.634888102334415505e-01 5.947310135737037262e-01 5.486368830624074322e-01 6.082192622121236347e-01 5.358159482355242531e-01 6.125226187476089379e-01
5.011872336272735156e+13 5.972565657069461853e-01 5.761925520088210240e-01 6.090437719698067465e-01 5.545166579277354124e-01 6.286952120902253860e-01 5.272797458097344681e-01 6.315235491359283415e-01
6.309573444801942969e+13 5.982216558636409554e-01 5.781849607258892076e-01 6.156518370276731211e-01 5.549442159739094160e-01 6.323236414048202247e-01 5.388249255960869677e-01 6.407963113560541935e-01
7.943282347242821875e+13 6.026978435026413283e-01 5.743947791293035898e-01 6.267298476389884243e-01 5.340706985578880239e-01 6.393884741820037299e-01 5.116788482159132512e-01 6.525450895515793048e-01
1.000000000000000000e+14 6.088831583773555156e-01 5.827446977136487849e-01 6.359331726374596316e-01 5.419849530654192726e-01 6.611080366229544758e-01 5.331685998105131219e-01 6.794266466252302239e-01
1.258925411794171406e+14 6.304915521845428916e-01 5.928066450365276907e-01 6.598889685416704509e-01 5.688799917573907905e-01 6.796523359879367288e-01 5.589890033406330616e-01 7.117484094620076807e-01
1.584893192461117500e+14 6.486625296087527026e-01 6.135137343121508380e-01 6.763542347756286155e-01 5.770195015966239627e-01 7.062743572097442968e-01 5.570397734271133050e-01 7.236611365064749002e-01
1.995262314968882812e+14 6.619540764707645408e-01 6.339301415215963242e-01 7.022892482249587509e-01 5.796724209724850585e-01 7.327348346299557003e-01 5.337192226247980953e-01 7.645774918810221976e-01
