# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -1.449880800454330654e-01 -1.486218907889258478e-01 -1.422468665803194032e-01 -1.510481763384630138e-01 -1.399244420008570189e-01 -1.525499194739634301e-01 -1.390714387625444359e-01
1.258925411794166107e+11 -1.433829386520441562e-01 -1.469521352853957186e-01 -1.404579958597086675e-01 -1.502059790116452853e-01 -1.380277828688747099e-01 -1.521215137215680691e-01 -1.370916247988804848e-01
1.584893192461110840e+11 -1.421399699496776470e-01 -1.453648247335650179e-01 -1.375824623080122988e-01 -1.477062987093251123e-01 -1.351071820180290706e-01 -1.483843080517162349e-01 -1.345132900460931369e-01
1.995262314968882751e+11 -1.396979012386549424e-01 -1.435593079894045554e-01 -1.358385712683958801e-01 -1.477737726499390447e-01 -1.310225380111649518e-01 -1.497775629073360981e-01 -1.282579055467887863e-01
2.511886431509582214e+11 -1.353765445524617306e-01 -1.408133677628248259e-01 -1.301303010366549329e-01 -1.449131303125844039e-01 -1.259156565194118060e-01 -1.479091581078103013e-01 -1.244298190623065181e-01
3.162277660168379517e+11 -1.306967220222956527e-01 -1.360191388249847311e-01 -1.255455695950211947e-01 -1.416101336424834545e-01 -1.177103386678677310e-01 -1.430316097650719820e-01 -1.151486596815533558e-01
3.981071705534969482e+11 -1.219547400960119682e-01 -1.288796604008312918e-01 -1.169305380930129867e-01 -1.328763903356261211e-01 -1.129667109763762278e-01 -1.374304506221555866e-01 -1.110119661827277809e-01
5.011872336272714844e+11 -1.135779706500661956e-01 -1.213240450128225678e-01 -1.064134205215063189e-01 -1.298340651557470804e-01 -9.731522828989482010e-02 -1.325296787812087762e-01 -9.021566659468864546e-02
6.309573444801943359e+11 -1.014115297981053043e-01 -1.135100890293280623e-01 -9.138885867999907431e-02 -1.223173064458264458e-01 -8.429165769470793601e-02 -1.276450299363340868e-01 -8.346081744319998330e-02
7.943282347242821045e+11 -8.372279896483689199e-02 -9.803804829997525561e-02 -7.626981878711344698e-02 -1.116119075984421671e-01 -6.390072343213193395e-02 -1.143648800220644912e-01 -5.880944847423590777e-02
1.000000000000000000e+12 -7.134360299722566912e-02 -8.588507252504216927e-02 -5.518338572604782055e-02 -1.038829539998965823e-01 -4.186231215934740901e-02 -1.252115251953730690e-01 -3.729395485636897295e-02
1.258925411794166260e+12 -5.943035236240182262e-02 -7.286434022100099495e-02 -3.632873548634499294e-02 -8.975621205465586505e-02 -2.076603276497179101e-02 -1.056014811941647369e-01 -1.130758366809297977e-02
1.584893192461110840e+12 -5.537182470474223683e-02 -7.925989171603195493e-02 -3.071423295174437185e-02 -1.095035591959533094e-01 -9.884337684590370487e-03 -1.192648228847130176e-01 1.498423083262727384e-02
1.995262314968882812e+12 -7.252660328178640869e-02 -1.039058423779884444e-01 -4.601692911899919747e-02 -1.335398870955880890e-01 -1.990127392537803172e-02 -1.500106607107445367e-01 -1.532974137674012437e-02
2.511886431509582031e+12 -9.460935074014906188e-02 -1.282845691432830670e-01 -4.677942670587679347e-02 -1.546775518349255696e-01 -3.101354614150623763e-03 -1.673887468870776940e-01 1.591608750044574971e-02
3.162277660168379395e+12 -9.993775346179187280e-02 -1.539196953453828565e-01 -5.608274877206492065e-02 -1.932145483169541711e-01 -3.379896428662000629e-02 -2.756401553311713104e-01 -2.135702668519504424e-02
3.981071705534969238e+12 -9.720822179076227254e-02 -1.658678659281632994e-01 -4.193802022784084288e-02 -2.176861131904035407e-01 -3.096397501610986553e-03 -2.469004332754449194e-01 2.461880460881379559e-02
