# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -7.018858191434848570e-02 -7.031216878747469090e-02 -6.841354828643850250e-02 -7.036124004592186898e-02 -6.770875552241542583e-02 -7.036978207979971423e-02 -6.758606937460399922e-02
1.258925411794166107e+11 -8.787257781432580850e-02 -8.926682361361684692e-02 -8.591137623851578808e-02 -8.982042121039415794e-02 -8.513266384812062659e-02 -8.991678819946281875e-02 -8.499711020979258680e-02
1.584893192461110840e+11 -1.022723621708895025e-01 -1.030950310289477090e-01 -9.845849732435590917e-02 -1.034216789578825957e-01 -9.694416863529109474e-02 -1.034785398936601403e-01 -9.668056327089832869e-02
1.995262314968882751e+11 -1.249863617735172544e-01 -1.256678333839080508e-01 -1.224198052463412179e-01 -1.259384176997985216e-01 -1.214007313311389613e-01 -1.259855194140461210e-01 -1.212233369829370938e-01
2.511886431509582214e+11 -1.408579764343058094e-01 -1.422143009609277142e-01 -1.378248752830444346e-01 -1.427528415817923280e-01 -1.366205557082789124e-01 -1.428465875417206099e-01 -1.364109148934123106e-01
3.162277660168379517e+11 -1.640785193156278632e-01 -1.642549848182289218e-01 -1.621368260761879010e-01 -1.643250520030852535e-01 -1.613658596428808600e-01 -1.643372488834120848e-01 -1.612316543748607556e-01
3.981071705534969482e+11 -1.833047172430306015e-01 -1.874613283871747194e-01 -1.817770118933387524e-01 -1.891117475179378282e-01 -1.811704230044905162e-01 -1.893990426999595522e-01 -1.810648316053206364e-01
5.011872336272714844e+11 -2.018450710381231028e-01 -2.026002228306907349e-01 -2.006644592526309334e-01 -2.029000625130338020e-01 -2.001956869260384242e-01 -2.029522568281083017e-01 -2.001140858173353076e-01
6.309573444801943359e+11 -2.137090368327445034e-01 -2.164680794739633762e-01 -2.127259710715200536e-01 -2.175635816991532134e-01 -2.123356361369162226e-01 -2.177542802346492390e-01 -2.122676889445963000e-01
7.943282347242821045e+11 -2.336775543590213500e-01 -2.343579430337439651e-01 -2.327178149974389321e-01 -2.346280973604720488e-01 -2.323367420156341456e-01 -2.346751242247543390e-01 -2.322704070891718486e-01
1.000000000000000000e+12 -2.464796663059685422e-01 -2.474584195472583348e-01 -2.447858776168685968e-01 -2.478470421577704808e-01 -2.441133438726671157e-01 -2.479146912788596224e-01 -2.439962731838616894e-01
1.258925411794166260e+12 -2.615682230956755117e-01 -2.621027496985725014e-01 -2.587531548883373889e-01 -2.623149882026639124e-01 -2.576354072177766685e-01 -2.623519334237465195e-01 -2.574408363269753419e-01
1.584893192461110840e+12 -2.755224399898637544e-01 -2.781625270416022144e-01 -2.647228598227873153e-01 -2.792107969003806978e-01 -2.604347912270363885e-01 -2.793932735054273642e-01 -2.596883496566649296e-01
1.995262314968882812e+12 -2.914513085606889597e-01 -2.956626022831048695e-01 -2.851042060797306377e-01 -2.973347336140641506e-01 -2.825840330358207475e-01 -2.976258083272311783e-01 -2.821453362466956327e-01
2.511886431509582031e+12 -3.040954200311983269e-01 -3.073327969888904887e-01 -2.973450779109425568e-01 -3.086182260750329753e-01 -2.946647950102527780e-01 -3.088419859529911160e-01 -2.941982272460587078e-01
3.162277660168379395e+12 -3.220590195595749439e-01 -3.246967447459550016e-01 -3.156368939404750051e-01 -3.257440768052529689e-01 -3.130869322975970426e-01 -3.259263901637233785e-01 -3.126430500856886008e-01
3.981071705534969238e+12 -3.406945953086563672e-01 -3.487287442750288124e-01 -3.395106392181906907e-01 -3.519187740116767049e-01 -3.390405390057998902e-01 -3.524740754843524448e-01 -3.389587067466058867e-01
5.011872336272714844e+12 -3.456339348373678733e-01 -3.472332789279746756e-01 -3.450212538093356263e-01 -3.478683126110097557e-01 -3.447779834011464040e-01 -3.479788555113899617e-01 -3.447356363300912441e-01
6.309573444801942383e+12 -3.449318959287698827e-01 -3.471576864653498906e-01 -3.410064453174085353e-01 -3.480414562372272091e-01 -3.394478105158385550e-01 -3.481952976419614432e-01 -3.391764926059356311e-01
7.943282347242821289e+12 -3.529679912316617818e-01 -3.536032101156975083e-01 -3.423033788768650165e-01 -3.538554293784764160e-01 -3.380689004418721555e-01 -3.538993342131083186e-01 -3.373317875291141354e-01
