# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -1.730507485342750174e-01 -1.747686402660159621e-01 -1.707814913915086386e-01 -1.763772958233927046e-01 -1.691944894315196568e-01 -1.785365402980240990e-01 -1.677357873345839689e-01
1.258925411794166107e+11 -1.840017007290951079e-01 -1.862159776027905722e-01 -1.818142993701945265e-01 -1.885657233351394069e-01 -1.799516415410749026e-01 -1.889099382467333554e-01 -1.775349201723437353e-01
1.584893192461110840e+11 -1.978140789444780001e-01 -2.001746317462709535e-01 -1.956899217311657280e-01 -2.028090181646988177e-01 -1.930522569108216735e-01 -2.037271674333229476e-01 -1.923061920576845107e-01
1.995262314968882751e+11 -2.141691535041600480e-01 -2.168624229738251863e-01 -2.115936870537099557e-01 -2.191455088896280268e-01 -2.092833022486754735e-01 -2.202059878682540717e-01 -2.053074441374803105e-01
2.511886431509582214e+11 -2.316361997876080214e-01 -2.338145750628241315e-01 -2.293276129568545818e-01 -2.365329836455040136e-01 -2.244348382096523764e-01 -2.371122170914329308e-01 -2.225100098047448072e-01
3.162277660168379517e+11 -2.490106402025504817e-01 -2.519510663217746083e-01 -2.462913274407772524e-01 -2.546914376312606754e-01 -2.435412469330588414e-01 -2.577547556512269078e-01 -2.404613862658976642e-01
3.981071705534969482e+11 -2.648142669732074239e-01 -2.683619268847902695e-01 -2.619825150433434668e-01 -2.709673121992560718e-01 -2.578141772290317157e-01 -2.723676321791533850e-01 -2.566206995457899209e-01
5.011872336272714844e+11 -2.788309151495341753e-01 -2.818161431888789870e-01 -2.762169694583962998e-01 -2.834476736126634311e-01 -2.716160695833165772e-01 -2.862988412976134045e-01 -2.681211414638161039e-01
6.309573444801943359e+11 -2.919633224179266628e-01 -2.958889480101294933e-01 -2.874614730972662180e-01 -2.980954157854859843e-01 -2.844491046178155291e-01 -2.986066594538178132e-01 -2.823443512556612633e-01
7.943282347242821045e+11 -3.036171519989199763e-01 -3.073583281822249713e-01 -2.996955961109907252e-01 -3.110121765354578738e-01 -2.963632677727337517e-01 -3.147014620330074730e-01 -2.942241016591732872e-01
