# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 1.097305989035659013e-01 1.042649752317633960e-01 1.160625751439286063e-01 9.937258520622598013e-02 1.266976588607357235e-01 9.891921306834396133e-02 1.289955089715216219e-01
1.258925411794166107e+11 1.077331608070803415e-01 1.025175149521352774e-01 1.129141310083069810e-01 9.888936871861422895e-02 1.176439203872935713e-01 9.661853818508241154e-02 1.226142813295125755e-01
1.584893192461110840e+11 1.054780974556701473e-01 9.947782192789612898e-02 1.117168357152316938e-01 9.233460119668290833e-02 1.186317955995293133e-01 9.181858545980145503e-02 1.242475321101754598e-01
1.995262314968882751e+11 1.043533831953202540e-01 9.664666783649231152e-02 1.112576252980642250e-01 8.969289457268841970e-02 1.179654764569570136e-01 8.796472030027460698e-02 1.234950470834187408e-01
2.511886431509582214e+11 1.085551368158747254e-01 1.020024568622450861e-01 1.161400124142295126e-01 9.602848836739415195e-02 1.238837417761127491e-01 9.139660698550089446e-02 1.349580396921278014e-01
3.162277660168379517e+11 1.124324444613131468e-01 1.014375653994038368e-01 1.219343205209337255e-01 9.159473255530653502e-02 1.308676643603344514e-01 8.872541913838220828e-02 1.356914229575559017e-01
3.981071705534969482e+11 1.172872006556971158e-01 1.074797443068627734e-01 1.287122937322555116e-01 9.513804255539420884e-02 1.399222014639140421e-01 8.832763518925926260e-02 1.451437402913955954e-01
5.011872336272734985e+11 1.244319562846369909e-01 1.110129046517948914e-01 1.404122653427524459e-01 1.010016720205800383e-01 1.564373154491610074e-01 9.094475334807486377e-02 1.690167197177343539e-01
6.309573444801943359e+11 1.360971674570481960e-01 1.142741701286152101e-01 1.543906489052600528e-01 9.645771581482684431e-02 1.724886784598221867e-01 8.920656695005224623e-02 1.773367906723578302e-01
7.943282347242821045e+11 1.470336057265587693e-01 1.221447701791438523e-01 1.709250703053718512e-01 8.646018902909746728e-02 1.831325925061612070e-01 6.755737635299639832e-02 1.936280275417623098e-01
1.000000000000000000e+12 1.423260168935728265e-01 1.053742678370842983e-01 1.638361017408486442e-01 7.955282941092325921e-02 1.993250106125036836e-01 6.509315121053678432e-02 2.142874778561215943e-01
1.258925411794171387e+12 1.323564650611842586e-01 9.398838649606489071e-02 1.684183026609894773e-01 7.700588994538354326e-02 2.011128292709113419e-01 5.288456390966116138e-02 2.307786673145255929e-01
1.584893192461117432e+12 1.131468344357947908e-01 5.292956187995187523e-02 1.629375037589587683e-01 1.126266247446267715e-02 2.248027097752543224e-01 -7.126849812174944690e-03 2.636842875655217022e-01
1.995262314968882812e+12 9.084710050829614136e-02 -4.408821871042155338e-03 1.570236994957541210e-01 -9.126000873247500089e-02 1.881350960843666542e-01 -1.497374617030090282e-01 2.164187173393060659e-01
