# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -5.357781852031302527e-01 -5.436030484964666787e-01 -5.275820466389944396e-01 -5.512127205065123770e-01 -5.160609542766804170e-01 -5.580747932599550154e-01 -5.146673014442776362e-01
1.258925411794166107e+11 -5.432104187775184112e-01 -5.516581614535888134e-01 -5.341550666911966117e-01 -5.610271608727415149e-01 -5.255056350204609927e-01 -5.648851437154006616e-01 -5.209912103541474160e-01
1.584893192461110840e+11 -5.552463873366930702e-01 -5.644121230115349830e-01 -5.466381067593084619e-01 -5.702653208465493506e-01 -5.405114200123417589e-01 -5.805618875005824631e-01 -5.361557825933374044e-01
1.995262314968882751e+11 -5.682668695840824569e-01 -5.764689823857362949e-01 -5.609514096725150001e-01 -5.847621900718037447e-01 -5.495431837000503972e-01 -5.886883579850836767e-01 -5.426235168702644440e-01
2.511886431509582214e+11 -5.866088054202727164e-01 -5.995578275109526567e-01 -5.749347985355245383e-01 -6.111852986610322169e-01 -5.666624241508213533e-01 -6.158106031453008944e-01 -5.635219874344162827e-01
3.162277660168379517e+11 -6.039842953688663307e-01 -6.157732887092417506e-01 -5.883351542073403939e-01 -6.258431519606837412e-01 -5.623935230466707846e-01 -6.368933765986595219e-01 -5.571566817181916598e-01
3.981071705534969482e+11 -6.194308030966038103e-01 -6.331944466071873778e-01 -6.019587543027162813e-01 -6.484544567993445474e-01 -5.797951617368057864e-01 -6.515689279838157155e-01 -5.633504415659544851e-01
5.011872336272714844e+11 -6.387792381860262214e-01 -6.565116528608579971e-01 -6.130591126801600010e-01 -6.739573835612938657e-01 -5.905666522041115307e-01 -6.794499998927647777e-01 -5.812701388843795058e-01
6.309573444801943359e+11 -6.566027859332739247e-01 -6.810401472751439478e-01 -6.310764672343993631e-01 -7.019414342828984577e-01 -6.031874824560544690e-01 -7.326758529652227514e-01 -5.980594931098012212e-01
7.943282347242821045e+11 -6.727762306204931875e-01 -6.965211972121121420e-01 -6.450810286016703810e-01 -7.121140940346866177e-01 -6.150980310799096795e-01 -7.301279267278173446e-01 -5.968521017325821854e-01
1.000000000000000000e+12 -6.893341180188565787e-01 -7.147277789755710486e-01 -6.554454306947100628e-01 -7.469524701158418711e-01 -6.311776867084286646e-01 -7.632914378388038212e-01 -6.130471845949144738e-01
