# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -3.300339049208541597e-01 -3.331583846415503425e-01 -3.273879720651344805e-01 -3.371680776279483149e-01 -3.258616494524272933e-01 -3.380891748466082203e-01 -3.224666794307424200e-01
1.258925411794166107e+11 -3.293679388879386383e-01 -3.324748406048796956e-01 -3.261962127997762861e-01 -3.364066862465676655e-01 -3.237483966105040301e-01 -3.376688258819134925e-01 -3.218985471414212984e-01
1.584893192461110840e+11 -3.289299309220929390e-01 -3.325465256329430686e-01 -3.257963544037271175e-01 -3.353188683597342901e-01 -3.238758330518886064e-01 -3.370380260646981263e-01 -3.214765733996780561e-01
1.995262314968882751e+11 -3.298643012381667350e-01 -3.329315750159024256e-01 -3.253675267814624128e-01 -3.357880844029231815e-01 -3.221608881246146305e-01 -3.366685855767912461e-01 -3.200441800763499933e-01
2.511886431509582214e+11 -3.287008429543794019e-01 -3.328759160378124138e-01 -3.248080910475924510e-01 -3.362023639919794471e-01 -3.210607744526652318e-01 -3.378107081360934849e-01 -3.148084368238804331e-01
3.162277660168379517e+11 -3.286411404818642135e-01 -3.325206618755631727e-01 -3.233591953735082125e-01 -3.366461791117304481e-01 -3.190122530657029110e-01 -3.411757067684229039e-01 -3.186285805853286135e-01
3.981071705534969482e+11 -3.265483208821697847e-01 -3.325144956297676480e-01 -3.209358729935262722e-01 -3.385072572363254650e-01 -3.138509342817946135e-01 -3.412235671326443454e-01 -3.119764092524296983e-01
5.011872336272714844e+11 -3.267590557498063486e-01 -3.330698557703488660e-01 -3.172241255785892555e-01 -3.386854451083657347e-01 -3.115561003983052801e-01 -3.415224326236584451e-01 -3.082984397580958991e-01
6.309573444801943359e+11 -3.261731068246959131e-01 -3.341218703925800115e-01 -3.173618560088377616e-01 -3.414365535951501274e-01 -3.086338575782887617e-01 -3.528009655352760676e-01 -2.986174924673313802e-01
7.943282347242821045e+11 -3.316081024508114594e-01 -3.441003781179786669e-01 -3.204385701398413389e-01 -3.535007548825187529e-01 -3.116844881816591695e-01 -3.612467949776920206e-01 -3.089072799470294339e-01
1.000000000000000000e+12 -3.343314194610452761e-01 -3.491922345417367568e-01 -3.240309753033029372e-01 -3.592749085142293852e-01 -3.058981538335314720e-01 -3.637530590323182489e-01 -2.986647323897523854e-01
1.258925411794166260e+12 -3.391033261797846143e-01 -3.583737807225552130e-01 -3.271593212171269860e-01 -3.749571329081563542e-01 -3.054252898117131299e-01 -3.836759333922180604e-01 -2.963903326182760201e-01
1.584893192461110840e+12 -3.457867833450269934e-01 -3.648844635833031758e-01 -3.265663890826260296e-01 -3.805153947739047804e-01 -3.134561999633471707e-01 -3.954215275557845799e-01 -2.992755406075384150e-01
1.995262314968882812e+12 -3.414061920809344786e-01 -3.659415052484728537e-01 -3.116427061581557023e-01 -3.980572552037784373e-01 -2.813805385175562335e-01 -4.116650160972044059e-01 -2.523567689558047777e-01
2.511886431509582031e+12 -3.241902715224643794e-01 -3.625358366349832329e-01 -2.875481770104332813e-01 -3.893768419420686744e-01 -2.482220532991444295e-01 -4.450649742015577170e-01 -2.247828625892241694e-01
3.162277660168379395e+12 -2.961772857399561643e-01 -3.258163932411662356e-01 -2.389051832018904975e-01 -3.751403993406352555e-01 -1.880527099954986125e-01 -4.035500934048205091e-01 -1.076572862977478034e-01
3.981071705534969238e+12 -2.419465462851916604e-01 -3.128530988150082792e-01 -1.674334605772752060e-01 -3.691656735806801981e-01 -1.212794549294796825e-01 -4.041417076528330266e-01 -9.310218411026335850e-02
