# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 5.740659779590475686e-01 5.727910817060246629e-01 5.755432063466969783e-01 5.714624832135354326e-01 5.772479864763873092e-01 5.700557824149574682e-01 5.779788920893926818e-01
1.258925411794166107e+11 5.737596147287458148e-01 5.724128696441763697e-01 5.749466462389616339e-01 5.713163279653938886e-01 5.766376701522807346e-01 5.699492988176888542e-01 5.772185538650116410e-01
1.584893192461110840e+11 5.699814297211509562e-01 5.681953637533624368e-01 5.711735146340558567e-01 5.663960421826530478e-01 5.724824120448770426e-01 5.649473811290182113e-01 5.736004038616865364e-01
1.995262314968882751e+11 5.622410654144758269e-01 5.605672232052232307e-01 5.643072800203967621e-01 5.595343511992241226e-01 5.654474686390490445e-01 5.591045953854912876e-01 5.661254488010433183e-01
2.511886431509582214e+11 5.495973834959302362e-01 5.474853114091199346e-01 5.512980816011963103e-01 5.461246356175907257e-01 5.536139619864746120e-01 5.453805047025261921e-01 5.549345403704879498e-01
3.162277660168379517e+11 5.326395229378106944e-01 5.299151003726192410e-01 5.342727972029428507e-01 5.285731633755911263e-01 5.359644338141320574e-01 5.271529129745684550e-01 5.374048098563121156e-01
3.981071705534969482e+11 5.081398597810620199e-01 5.056456485469952300e-01 5.105422703291888631e-01 5.025887021325814441e-01 5.120737514840547622e-01 5.013888666115334791e-01 5.128014430100911181e-01
5.011872336272714844e+11 4.758417963495645830e-01 4.736766381926500458e-01 4.784283236626080682e-01 4.710212750250782898e-01 4.804418953890357002e-01 4.693958688255531753e-01 4.828730656197786075e-01
6.309573444801943359e+11 4.328159373165334500e-01 4.300970009592855470e-01 4.348729462753401220e-01 4.282288563516455371e-01 4.375570231764582818e-01 4.268999670823990789e-01 4.398157251983069171e-01
7.943282347242821045e+11 3.781382142068727692e-01 3.747841371567506297e-01 3.814614730912145868e-01 3.721462585977937110e-01 3.857392381310097984e-01 3.697287387056758523e-01 3.864578605201349215e-01
1.000000000000000000e+12 3.159357755598972139e-01 3.120134075127433682e-01 3.203467165322251287e-01 3.087412640696661770e-01 3.246391112736191076e-01 3.070897065657845482e-01 3.263540393973026754e-01
1.258925411794166260e+12 2.532206339448040411e-01 2.490182731003081074e-01 2.573727591512086632e-01 2.440224855448823171e-01 2.618583233478831152e-01 2.426038396863006985e-01 2.628688774202419531e-01
