# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+11 -2.970893556460185714e-01 -2.991960696485160831e-01 -2.951376748528078964e-01 -3.006380159406117913e-01 -2.934055451245687896e-01 -3.012263979131457603e-01 -2.929020690924115100e-01
1.258925411794166107e+11 -2.974213270409886700e-01 -2.995874470136312695e-01 -2.956890975369476648e-01 -3.006692760461734393e-01 -2.943329645974634978e-01 -3.010771476659242496e-01 -2.929243876513494271e-01
1.584893192461110840e+11 -2.983520359951559731e-01 -3.008346542501199039e-01 -2.964574045509500988e-01 -3.019510579817427653e-01 -2.946622396305461078e-01 -3.037983750521675574e-01 -2.929836102855252200e-01
1.995262314968882751e+11 -2.991660655326446872e-01 -3.007683698760505453e-01 -2.974535552970756225e-01 -3.023831010842836786e-01 -2.957445976148844746e-01 -3.035342105462870421e-01 -2.935108527609476270e-01
2.511886431509582214e+11 -2.995354206999052415e-01 -3.011718835621887136e-01 -2.977668346759230200e-01 -3.035504340124472455e-01 -2.959792157239037325e-01 -3.065138046888300494e-01 -2.955330143041061119e-01
3.162277660168379517e+11 -3.000044980829875696e-01 -3.022397832902856685e-01 -2.977289341652507026e-01 -3.045988185523789138e-01 -2.951566345388295654e-01 -3.094994926200572150e-01 -2.933645301120425541e-01
3.981071705534969482e+11 -2.989736102484353841e-01 -3.018220935315563125e-01 -2.956156777019230963e-01 -3.050663494604877179e-01 -2.926388573808108573e-01 -3.058723367199183141e-01 -2.923269494000452773e-01
5.011872336272714844e+11 -2.976391282907790425e-01 -3.009299641224662536e-01 -2.950428662946316671e-01 -3.034104180623477531e-01 -2.927813787297054438e-01 -3.059084447253179184e-01 -2.900955039704863347e-01
6.309573444801943359e+11 -2.945355076594613486e-01 -2.979321329570127630e-01 -2.912631187708767389e-01 -3.007140382516721444e-01 -2.889471962035209951e-01 -3.029340573636748468e-01 -2.861658458865560251e-01
7.943282347242821045e+11 -2.902990191305826473e-01 -2.936747221514618977e-01 -2.868149260993160810e-01 -2.977015883248140260e-01 -2.847385077411432874e-01 -2.982201556201746206e-01 -2.834091909590362168e-01
1.000000000000000000e+12 -2.836502316914034649e-01 -2.868151924206928105e-01 -2.804790521919177659e-01 -2.915900541562888026e-01 -2.769556458861162640e-01 -2.929502186364744132e-01 -2.729014808999236097e-01
1.258925411794166260e+12 -2.763078081245252671e-01 -2.796296345952746787e-01 -2.717455631344713463e-01 -2.833529778661757481e-01 -2.686105861860307864e-01 -2.871073001724285256e-01 -2.659347491017184928e-01
