# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.995262314968882751e+11 -8.798710121327332767e-02 -9.307265007751941432e-02 -8.204309709427407005e-02 -9.592269028331294745e-02 -7.696716185028729118e-02 -9.978018930403123599e-02 -7.661332816622080932e-02
2.511886431509582214e+11 -7.600742979204419547e-02 -8.071918570808016280e-02 -7.067748583487580560e-02 -8.417483099680822534e-02 -6.679417892497951925e-02 -8.838664933012346792e-02 -6.274344373419300791e-02
3.162277660168379517e+11 -6.591865381030424798e-02 -7.043849569850706149e-02 -6.183360119897898799e-02 -7.361305755868900735e-02 -5.545324929409961578e-02 -7.691808095017362013e-02 -5.092186296277836921e-02
3.981071705534985352e+11 -5.951399511916861951e-02 -6.482390999829304445e-02 -5.536433055030189759e-02 -7.037146275011955943e-02 -5.034945885082243999e-02 -7.373133909492038396e-02 -4.972762496618174377e-02
5.011872336272734985e+11 -6.054193116466300567e-02 -6.487845910660632043e-02 -5.436401154020600868e-02 -6.969549545882192110e-02 -4.980317114089066743e-02 -8.009197854528439520e-02 -4.530819189950455184e-02
6.309573444801943359e+11 -5.991787486795511347e-02 -6.586353714668717607e-02 -5.143682357886861234e-02 -7.148919554687556410e-02 -4.350294480365762828e-02 -7.842726187152350426e-02 -3.707500429394121333e-02
7.943282347242821045e+11 -6.289948289246763413e-02 -6.961246064042656001e-02 -5.440846946979771559e-02 -7.923263929177853937e-02 -4.863067969898354770e-02 -8.818789949876174039e-02 -4.622070052422512509e-02
1.000000000000000000e+12 -6.593462554589600566e-02 -7.660485452298601561e-02 -5.368626036836212506e-02 -9.171874096467746984e-02 -4.309880626898653783e-02 -9.426833656100727654e-02 -3.973993182392339396e-02
1.258925411794171387e+12 -7.261689684352440333e-02 -8.156764413956289761e-02 -5.876831317627835560e-02 -9.112023662202063667e-02 -4.781801011468165413e-02 -9.466256451830822038e-02 -4.533302979059709859e-02
1.584893192461117432e+12 -7.772298494660226376e-02 -9.203845625347784054e-02 -6.343189082351013974e-02 -1.031588736179105265e-01 -5.270410138469766581e-02 -1.067645269354315085e-01 -4.746715920522188992e-02
1.995262314968882812e+12 -9.090194046751542967e-02 -1.018193208050417187e-01 -7.367791473181253825e-02 -1.120451968209083687e-01 -5.198457851350676145e-02 -1.230486227047935949e-01 -4.224775338998565388e-02
2.511886431509582031e+12 -1.068418553415713401e-01 -1.298751059678112107e-01 -7.877863954372563149e-02 -1.446853106204093464e-01 -5.484331928365199227e-02 -1.536354480904533748e-01 -4.675723646640311815e-02
3.162277660168379395e+12 -1.351971515715814087e-01 -1.731637492202344475e-01 -1.141662178122873628e-01 -1.935226423830799236e-01 -8.634970637525303527e-02 -2.085805683841084335e-01 -6.289140783920357802e-02
3.981071705534985352e+12 -1.663265369171633978e-01 -1.938501714038868839e-01 -1.363982538530276734e-01 -2.172407536813417694e-01 -1.109683018792814863e-01 -2.436836827481212997e-01 -9.646034308299977766e-02
5.011872336272735352e+12 -1.964871374827170669e-01 -2.396382512814152210e-01 -1.597872985249804700e-01 -2.618640966622031718e-01 -1.282206589784510853e-01 -2.900521703521237171e-01 -1.031529670247667146e-01
6.309573444801942383e+12 -2.207744915452805046e-01 -2.607674617862267841e-01 -1.725692792767587747e-01 -3.116788557737790732e-01 -1.390083125110142259e-01 -3.351754416710374662e-01 -1.074228714368216514e-01
7.943282347242821289e+12 -2.262894657799642828e-01 -2.753052205955286991e-01 -1.691496909372572910e-01 -3.137376498092270261e-01 -1.255303199225003552e-01 -3.517784697064182953e-01 -1.081831562481984643e-01
