# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -2.619693083409738721e-01 -2.718898625896994381e-01 -2.528701949572744745e-01 -2.799114350432212461e-01 -2.444026043348167254e-01 -2.819428707968888448e-01 -2.395501433687337312e-01
1.258925411794166088e+09 -2.652128980749887122e-01 -2.746975916648941585e-01 -2.552205557645069733e-01 -2.819889614312760528e-01 -2.483261615901086738e-01 -2.877572163983177500e-01 -2.460470596637596985e-01
1.584893192461110830e+09 -2.681448767414316148e-01 -2.789473225718004934e-01 -2.569970858500641997e-01 -2.870850329089949526e-01 -2.509008067454505109e-01 -2.908209055465109105e-01 -2.445648928886729190e-01
1.995262314968882799e+09 -2.725960468732343545e-01 -2.809916245641032040e-01 -2.622574879718868601e-01 -2.959123835189876317e-01 -2.526971816650933622e-01 -3.061520670016969481e-01 -2.499392536059956427e-01
2.511886431509582043e+09 -2.698969279921895614e-01 -2.828028292648230302e-01 -2.586589202141555410e-01 -2.937494113052350198e-01 -2.479020565901166595e-01 -3.002577988564462674e-01 -2.463909201466842336e-01
3.162277660168379307e+09 -2.639222285057831185e-01 -2.774057625031635665e-01 -2.496830188607845613e-01 -2.887109263978502316e-01 -2.297212821547571227e-01 -2.951362370872184782e-01 -2.189406243328643475e-01
3.981071705534969330e+09 -2.546111227266046328e-01 -2.686707250119825252e-01 -2.343639159916039716e-01 -2.842770126957343546e-01 -2.222194304231339679e-01 -2.894388638736539732e-01 -2.186342240348049804e-01
5.011872336272735596e+09 -2.407920379596887595e-01 -2.629475067573984193e-01 -2.204207752542220733e-01 -2.767530259530784909e-01 -2.025145561670333716e-01 -2.833717357246662294e-01 -1.864849325196588636e-01
6.309573444801942825e+09 -2.255900411066055211e-01 -2.472869625915234959e-01 -1.975508482111577035e-01 -2.758352116654913533e-01 -1.805361291433533466e-01 -2.896757406340809138e-01 -1.712607618045411950e-01
7.943282347242821693e+09 -2.179419108928666027e-01 -2.462638233402179022e-01 -1.766331101750759913e-01 -2.713707818090451696e-01 -1.516719492088214327e-01 -2.834568402145614119e-01 -1.379482646581403626e-01
1.000000000000000000e+10 -2.171523864584993246e-01 -2.525857424313213140e-01 -1.666649948156744554e-01 -2.904318326817250107e-01 -1.322364321246248808e-01 -2.973433980721421621e-01 -1.109015209075440989e-01
1.258925411794171333e+10 -2.130144030320957893e-01 -2.722039625747377789e-01 -1.620483634667944928e-01 -2.926290308328834966e-01 -1.130914912135305289e-01 -3.241343473562419142e-01 -8.419041615117062172e-02
1.584893192461117363e+10 -2.064114054138611043e-01 -2.494751926957149979e-01 -1.358757555662892247e-01 -3.185223839091226861e-01 -5.873309939095440468e-02 -3.367410897045867713e-01 -2.125570396368013995e-02
1.995262314968882751e+10 -2.045354516810535539e-01 -2.832683429377855777e-01 -1.458877967576475976e-01 -3.469740731021989655e-01 -8.106354236347267095e-02 -3.770463662037917829e-01 -3.690102688950636090e-02
