# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 3.376002587120110476e-01 3.368257225659129217e-01 3.383048049865767237e-01 3.365181861549622067e-01 3.385845513014777985e-01 3.364646520389819595e-01 3.386332478822198788e-01
1.258925411794166088e+09 3.342483306984997959e-01 3.304878690073522751e-01 3.358909674643820731e-01 3.289947445123378444e-01 3.365431908861294952e-01 3.287348302483908968e-01 3.366567260743595358e-01
1.584893192461110830e+09 3.311390109238478430e-01 3.303442165914157180e-01 3.328392075911290049e-01 3.300286364888324053e-01 3.335142856796082800e-01 3.299737021746790289e-01 3.336317992727880211e-01
1.995262314968882799e+09 3.248144269398695050e-01 3.209697077562380652e-01 3.318167036794796854e-01 3.194431280803844420e-01 3.345970194437367096e-01 3.191773901368098465e-01 3.350810003360332745e-01
2.511886431509582043e+09 3.189307461147960487e-01 3.147889152270916258e-01 3.200366287514869734e-01 3.131443647275619080e-01 3.204757292101730326e-01 3.128580911220882332e-01 3.205521652159443735e-01
3.162277660168379307e+09 3.121293327462772438e-01 3.067585333444008966e-01 3.133052777477423056e-01 3.046260100524794123e-01 3.137721970865592902e-01 3.042547930349967511e-01 3.138534756381311519e-01
3.981071705534969330e+09 3.043115759864501446e-01 3.005182108512997052e-01 3.072777688927971207e-01 2.990120217535193747e-01 3.084555219585525254e-01 2.987498332809427892e-01 3.086605382329618563e-01
5.011872336272714615e+09 2.913236711758603326e-01 2.901251925027630851e-01 2.935374709601852317e-01 2.896493259707980106e-01 2.944164796980789367e-01 2.895664899448633367e-01 2.945694923302307755e-01
6.309573444801942825e+09 2.876644850116121255e-01 2.844131555722051452e-01 2.886940568772143889e-01 2.831221865300876384e-01 2.891028574709094690e-01 2.828974622894227520e-01 2.891740190557378076e-01
7.943282347242821693e+09 2.715614067106350560e-01 2.704711555744483409e-01 2.730750153074865683e-01 2.700382617409625152e-01 2.736760069562363951e-01 2.699629061477261116e-01 2.737806240210187703e-01
1.000000000000000000e+10 2.575202609379685370e-01 2.568433050907764637e-01 2.601535046289191744e-01 2.565745137985090407e-01 2.611990572709143033e-01 2.565277242031884231e-01 2.613810608789652878e-01
1.258925411794166183e+10 2.469032149072298010e-01 2.390362263435196477e-01 2.485177560566084187e-01 2.359125691196935493e-01 2.491588238659205312e-01 2.353688213807312302e-01 2.492704171512452327e-01
1.584893192461110878e+10 2.380767934706699562e-01 2.283303037919831580e-01 2.442150873976103032e-01 2.244603740666222813e-01 2.466523511627189691e-01 2.237867196329483277e-01 2.470766155959045751e-01
1.995262314968882751e+10 2.418855806092170269e-01 2.337973688510335268e-01 2.451878145256342068e-01 2.305858730058724104e-01 2.464989956395057524e-01 2.300268348402332852e-01 2.467272382778463446e-01
2.511886431509582138e+10 2.143215001178724044e-01 2.058062771940128710e-01 2.196223892688051182e-01 2.024252327977744959e-01 2.217271540787342787e-01 2.018366806250959933e-01 2.220935390641664009e-01
