# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -3.534561910114000227e-01 -3.561873773578519420e-01 -3.503128354419253188e-01 -3.611663375500502315e-01 -3.462435785372429686e-01 -3.628440278780879491e-01 -3.431461215005531251e-01
1.258925411794166088e+09 -3.569280088859331790e-01 -3.604845532963165677e-01 -3.543696592200704099e-01 -3.637666063811011430e-01 -3.499921736347614276e-01 -3.669840992977885796e-01 -3.477005784725556436e-01
1.584893192461110830e+09 -3.616726773601696698e-01 -3.645257514772628493e-01 -3.583658016938153223e-01 -3.676583662454467882e-01 -3.562129896710574117e-01 -3.701815604971641638e-01 -3.543561370822196910e-01
1.995262314968882799e+09 -3.655653778340144378e-01 -3.691810476921321138e-01 -3.616965432279959369e-01 -3.713838512438284445e-01 -3.587135603378615034e-01 -3.749177759186710923e-01 -3.561265276932550350e-01
2.511886431509582043e+09 -3.693782095137442267e-01 -3.729385793295845741e-01 -3.642563555790426788e-01 -3.768387688743158881e-01 -3.598274949765409847e-01 -3.774923308241033837e-01 -3.578607645318543362e-01
3.162277660168379307e+09 -3.734498948546471908e-01 -3.768459862326312138e-01 -3.691338346316594410e-01 -3.823087229757570760e-01 -3.648112117377034780e-01 -3.854413994731674675e-01 -3.619538306385782223e-01
3.981071705534969330e+09 -3.759139391209195269e-01 -3.810962383520155594e-01 -3.707263025246989585e-01 -3.851905269361958206e-01 -3.669271571157748935e-01 -3.918175340100656379e-01 -3.655950695502942493e-01
5.011872336272714615e+09 -3.777756846389219714e-01 -3.829434391026859119e-01 -3.728776096850420219e-01 -3.897921632772923806e-01 -3.664718252049831149e-01 -3.919589803127703220e-01 -3.632989748506897376e-01
6.309573444801942825e+09 -3.802980114087755048e-01 -3.856829120682818135e-01 -3.754737552492274921e-01 -3.890817003757495174e-01 -3.700580946913669123e-01 -3.938176360398422116e-01 -3.677161260645236962e-01
7.943282347242821693e+09 -3.801639718315189542e-01 -3.872100783564510484e-01 -3.727254529979298625e-01 -3.945131962825247918e-01 -3.686016163287386682e-01 -3.979925315284789655e-01 -3.656071908018992400e-01
1.000000000000000000e+10 -3.840786288104944268e-01 -3.902080560554127553e-01 -3.752839422498779332e-01 -3.989512400072579013e-01 -3.673691599029004773e-01 -4.019034043005791368e-01 -3.640792767892246928e-01
1.258925411794166183e+10 -3.849699707689210326e-01 -3.924393247799788931e-01 -3.766647327636736264e-01 -3.987122847362145617e-01 -3.717075329777365655e-01 -4.042039103951151624e-01 -3.685492423443668675e-01
