# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -1.294032163518119005e-01 -1.317625366646207608e-01 -1.265454513143846604e-01 -1.342000557591631615e-01 -1.247726505091692195e-01 -1.353589872822356655e-01 -1.221273119620266412e-01
1.258925411794166088e+09 -1.260334882785723309e-01 -1.298894973534822916e-01 -1.220616606505816881e-01 -1.316599849763406271e-01 -1.202111090411351890e-01 -1.345434908886856684e-01 -1.155489640754989028e-01
1.584893192461110830e+09 -1.215695755165142194e-01 -1.248374612888436819e-01 -1.181702266618608332e-01 -1.273109200702864097e-01 -1.151087437318376594e-01 -1.280043248889017049e-01 -1.135368223683980715e-01
1.995262314968882799e+09 -1.190087049676510078e-01 -1.220241393906741773e-01 -1.162669805633481934e-01 -1.256988952539080662e-01 -1.126221308640988072e-01 -1.277940445262983893e-01 -1.113571256586303043e-01
2.511886431509582043e+09 -1.158177369690987640e-01 -1.195468574825900437e-01 -1.119843760977931868e-01 -1.221927914000919685e-01 -1.071845256749764386e-01 -1.228835202035123281e-01 -1.056508465323753726e-01
3.162277660168379307e+09 -1.141964025834811824e-01 -1.175367534167983397e-01 -1.104795181935191717e-01 -1.216927702892983409e-01 -1.063304813999052245e-01 -1.248647956062522990e-01 -1.054924285058718575e-01
3.981071705534969330e+09 -1.128198547223700221e-01 -1.173450257002203734e-01 -1.072724304439493237e-01 -1.220857639225932517e-01 -1.022515123067712917e-01 -1.238347616128298717e-01 -9.900209007818359941e-02
5.011872336272714615e+09 -1.100432175010898628e-01 -1.143404196577687409e-01 -1.043362172250609371e-01 -1.198665833463875008e-01 -1.003656538810008547e-01 -1.230406050633899850e-01 -9.661957454877770357e-02
6.309573444801942825e+09 -1.027046889879423275e-01 -1.075157917417014636e-01 -9.635448283347017306e-02 -1.110427245435888083e-01 -9.027791117188489756e-02 -1.150679411977968691e-01 -8.668346703040014090e-02
7.943282347242821693e+09 -9.140672794536207346e-02 -9.790121440437170308e-02 -8.639076242097772085e-02 -1.029656256070977660e-01 -7.674447947014534366e-02 -1.058532519590905663e-01 -7.435778989322577859e-02
1.000000000000000000e+10 -8.025698527170149754e-02 -8.805753314323537528e-02 -7.101222651428330812e-02 -9.977748164510655271e-02 -6.314201626813312207e-02 -1.061020333702501900e-01 -5.951547164952319252e-02
1.258925411794166183e+10 -7.092291468618111550e-02 -8.236110773980613586e-02 -6.245422668494424179e-02 -9.152779103267896788e-02 -5.334675956155228438e-02 -9.603090312395613781e-02 -4.963529601636511301e-02
1.584893192461110878e+10 -6.891143354118361986e-02 -7.664019751125042412e-02 -5.989175924405403667e-02 -8.631486663089804612e-02 -4.788010060975583793e-02 -8.946559602596190763e-02 -3.757397263909460078e-02
1.995262314968882751e+10 -6.418183011011971417e-02 -7.533999201175051175e-02 -5.210174119530156661e-02 -9.161531850509802011e-02 -4.030724777307102824e-02 -9.724264235788958322e-02 -3.255287574361263869e-02
2.511886431509582138e+10 -6.772629169188497389e-02 -7.992869860779633351e-02 -5.486284228449413158e-02 -9.274657786606738119e-02 -4.407807150391845896e-02 -9.696162485313390700e-02 -3.747746045437600620e-02
3.162277660168379211e+10 -7.224530223797837047e-02 -8.711979761788399279e-02 -5.600289872242648209e-02 -1.032574612636847078e-01 -4.123135819644319078e-02 -1.185515000578678535e-01 -3.694079531239637115e-02
3.981071705534969330e+10 -7.822752140339334082e-02 -9.633961777316064901e-02 -6.420582329493799978e-02 -1.157886810105696329e-01 -4.486140814767902718e-02 -1.237428548746022788e-01 -4.286768275303771275e-02
5.011872336272714996e+10 -7.969924164686502388e-02 -1.024030868914633241e-01 -5.802891603067954901e-02 -1.187297372436700305e-01 -4.641953237214543893e-02 -1.284297984153206507e-01 -3.043012371983545850e-02
6.309573444801942444e+10 -6.782851979528316255e-02 -9.492953099502125791e-02 -3.805923373350191680e-02 -1.208326420617226449e-01 -2.220905930107891502e-02 -1.294791577697783358e-01 1.622432956842386614e-04
7.943282347242822266e+10 -5.765474136902572211e-02 -8.658556722413170148e-02 -2.702525937551523288e-02 -1.183988280291459194e-01 9.550106326545922944e-04 -1.450240908822548469e-01 1.498662965865199190e-02
1.000000000000000000e+11 -3.799329297033365166e-02 -7.178505175935195881e-02 -2.777102701200554694e-03 -9.564082700553533378e-02 1.890977005644683268e-02 -1.367671298913420985e-01 2.208646553892578551e-02
1.258925411794166107e+11 -1.391317994168506100e-02 -5.591749949716733753e-02 2.093722843404014627e-02 -9.842949881571620707e-02 6.179622628803419643e-02 -1.115986396303509792e-01 7.644650239519665269e-02
1.584893192461110840e+11 2.743890050202799080e-03 -4.022657426198861935e-02 4.743951948636229016e-02 -9.823278472032222208e-02 1.146947973964693862e-01 -1.127228698362627429e-01 1.372672003594772594e-01
1.995262314968882751e+11 4.168552346961281602e-02 -2.591968211465421612e-02 8.195108822735694409e-02 -8.354822031428674189e-02 1.279436668621788120e-01 -1.144411875752406882e-01 1.467594213671194470e-01
2.511886431509582214e+11 8.152786434862122067e-02 8.540490836485399584e-03 1.636831997154820639e-01 -4.992274207246163303e-02 2.071380140327257757e-01 -8.941915142787744408e-02 2.445847732959843257e-01
3.162277660168379517e+11 1.349668504485729836e-01 3.515519794751278959e-02 2.305518075665836664e-01 -5.002223013705028171e-02 3.158978294229879413e-01 -8.200923544947916199e-02 3.959894624164047583e-01
