# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 1.632519534726660226e-01 1.587573824713914561e-01 1.666840935978907146e-01 1.545693525240147137e-01 1.712014264062839963e-01 1.535922952196210334e-01 1.720628271294444844e-01
1.258925411794166088e+09 1.615970193912686370e-01 1.568586402088926746e-01 1.669091216221147977e-01 1.529771831641557056e-01 1.689945996243413795e-01 1.498470560287872289e-01 1.716586486796586042e-01
1.584893192461110830e+09 1.635874614433949215e-01 1.593847415829476866e-01 1.666490445533771458e-01 1.527430335458232757e-01 1.697541461052118894e-01 1.509143114206688563e-01 1.707414394871304697e-01
1.995262314968882799e+09 1.625966713607789882e-01 1.569726433946437572e-01 1.670880954122461459e-01 1.528133155694140766e-01 1.707145110199245752e-01 1.516977911330814055e-01 1.731094896327625421e-01
2.511886431509582043e+09 1.659056171047141315e-01 1.610857599624661574e-01 1.719499076360073986e-01 1.552616484879912051e-01 1.775650789336141733e-01 1.544629463391221091e-01 1.789759972162096868e-01
3.162277660168379307e+09 1.673134076165087303e-01 1.618173501521371349e-01 1.732265980367881097e-01 1.559558907077610579e-01 1.790448900736836546e-01 1.542265800998339764e-01 1.821550391842055860e-01
3.981071705534969330e+09 1.753593140724532540e-01 1.674816855542753391e-01 1.814203004467752345e-01 1.606229721375031783e-01 1.887653220155697809e-01 1.522494412872703318e-01 1.917923020514482602e-01
5.011872336272714615e+09 1.796616854817347231e-01 1.734553205837412460e-01 1.847809066994128557e-01 1.655827019060845395e-01 1.895231632785804032e-01 1.585716556358096330e-01 1.937244345609794305e-01
6.309573444801917076e+09 1.822586079879557897e-01 1.743600480339537184e-01 1.919051843781326427e-01 1.674787288248251182e-01 1.988290565222777251e-01 1.643965452069209854e-01 2.093165396104761378e-01
7.943282347242821693e+09 1.860314355968531175e-01 1.771387675819264540e-01 1.946597721963974903e-01 1.667136366671685410e-01 2.013889735994648378e-01 1.611263018448747530e-01 2.113895611796231810e-01
1.000000000000000000e+10 1.844337153299550613e-01 1.742850508735542814e-01 1.955748514530167848e-01 1.617055031069946081e-01 2.070248990661669730e-01 1.585756882584073157e-01 2.132952023653320595e-01
1.258925411794166183e+10 1.871406662050266179e-01 1.756597844900946725e-01 1.984055317189017398e-01 1.656829753481405265e-01 2.067278394014238074e-01 1.603512626465711799e-01 2.201376811475883599e-01
1.584893192461110878e+10 1.879149005219369339e-01 1.722366853081360172e-01 2.024890054332747769e-01 1.571406211184674384e-01 2.130837776278979301e-01 1.464742096529330351e-01 2.299157061977068206e-01
1.995262314968874741e+10 1.970241611110767899e-01 1.812245120669629950e-01 2.150864163774626470e-01 1.667473576386463430e-01 2.247883638358064706e-01 1.500339288818387795e-01 2.361207969960735509e-01
2.511886431509571838e+10 2.077453365893025539e-01 1.935614754999741560e-01 2.245824685673330490e-01 1.765437292541273684e-01 2.403254228130190240e-01 1.669141718564016996e-01 2.563669813924531748e-01
3.162277660168379211e+10 2.247051779555084006e-01 2.037614848837479009e-01 2.420800791456071133e-01 1.901592569936513266e-01 2.618109143155269991e-01 1.653343682152609018e-01 2.749899349604197907e-01
3.981071705534969330e+10 2.317481741584027366e-01 2.101316862903190863e-01 2.531596945180937253e-01 1.881310682149660296e-01 2.706774980536124642e-01 1.853795072101624419e-01 3.081916951289995210e-01
5.011872336272714996e+10 2.299172020675483985e-01 2.016289187555792284e-01 2.599655126619321854e-01 1.830991337413864217e-01 2.886943643832077244e-01 1.800841739937810715e-01 2.995613284829404255e-01
6.309573444801917267e+10 2.327503023528497972e-01 2.050230016598242055e-01 2.725549559154249457e-01 1.748965968408720539e-01 3.060659855787641326e-01 1.598038079018223312e-01 3.166296602552987616e-01
7.943282347242788696e+10 2.469325182695468190e-01 2.112050746297767789e-01 2.900916359519803978e-01 1.777444711283266421e-01 3.352197557001850847e-01 1.606718217916876523e-01 3.438028821386968081e-01
1.000000000000000000e+11 2.644737625889162502e-01 1.994420937834349150e-01 3.153727900628411907e-01 1.520131312131415280e-01 3.475413497194420609e-01 1.039329953150666119e-01 3.628644056486799996e-01
1.258925411794166107e+11 2.937889434866165494e-01 2.061195388188891697e-01 3.730241571669214995e-01 1.464820421174410914e-01 4.243631459261116845e-01 1.330743372348239251e-01 4.559762898243579499e-01
1.584893192461110840e+11 3.001094918798826727e-01 2.312959801617002487e-01 3.637749182719774987e-01 1.533919430208575130e-01 4.477070353833330074e-01 9.901792710964946176e-02 5.012794701277692999e-01
