# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 -7.566576741893682456e-01 -7.581091284121038720e-01 -7.547824358854843263e-01 -7.601910439391131868e-01 -7.528363679366054662e-01 -7.626039436419467243e-01 -7.520662817447696380e-01
1.995262314968874693e+09 -7.546244851792591746e-01 -7.559034146219798522e-01 -7.519007432421370707e-01 -7.572493096638639454e-01 -7.497750662694215862e-01 -7.581973123867894460e-01 -7.491915947168117373e-01
2.511886431509572029e+09 -7.524722039394247108e-01 -7.546818196741781337e-01 -7.514002037185842919e-01 -7.562844424632300111e-01 -7.487366611851432596e-01 -7.585845079262851787e-01 -7.483061163641757663e-01
3.162277660168379307e+09 -7.507483461970954064e-01 -7.527258826417356774e-01 -7.483506456136257423e-01 -7.536026295367692640e-01 -7.470995807671024780e-01 -7.540349837722555293e-01 -7.454885770111713272e-01
3.981071705534969330e+09 -7.484618490712916516e-01 -7.508987279752230570e-01 -7.463974662884327316e-01 -7.526745173374949083e-01 -7.436558321709971775e-01 -7.535721341788372829e-01 -7.430972820649397459e-01
5.011872336272714615e+09 -7.464598824541198718e-01 -7.491263371752527878e-01 -7.437278026864182490e-01 -7.506541034405145307e-01 -7.408383522588183334e-01 -7.522274664989030413e-01 -7.385518402929200921e-01
6.309573444801917076e+09 -7.436000398114614995e-01 -7.466803517464355444e-01 -7.407416476297410401e-01 -7.488030919754860015e-01 -7.383140891316620769e-01 -7.503156219387224768e-01 -7.369457351039520043e-01
7.943282347242789268e+09 -7.375989117771979409e-01 -7.415399373725460874e-01 -7.338707787113334380e-01 -7.438862565862516263e-01 -7.312577370273098953e-01 -7.472016190552713821e-01 -7.291061625858421547e-01
1.000000000000000000e+10 -7.327191030664437221e-01 -7.364347192061551084e-01 -7.278725503718710410e-01 -7.405036935736795112e-01 -7.239810370915400473e-01 -7.420301107918484407e-01 -7.214433043840295934e-01
1.258925411794166183e+10 -7.261932704351921064e-01 -7.299333159778060853e-01 -7.226825868565268651e-01 -7.343348833268400488e-01 -7.192318602692353569e-01 -7.368720519779367040e-01 -7.173980421408880925e-01
1.584893192461110878e+10 -7.219756816769729024e-01 -7.267310355560662183e-01 -7.163044105034365172e-01 -7.309942566383067497e-01 -7.125322522960568783e-01 -7.332292807291042047e-01 -7.085943862103653013e-01
1.995262314968874741e+10 -7.177225572969756495e-01 -7.231234195218966265e-01 -7.115473190225115596e-01 -7.265617637056027700e-01 -7.029099615926075462e-01 -7.283308184683827680e-01 -7.016208704805080298e-01
2.511886431509571838e+10 -7.121831815148218503e-01 -7.180145820116202726e-01 -7.072330563689358529e-01 -7.241063979900197456e-01 -7.022508928373316639e-01 -7.250965061177320203e-01 -7.006549326293510793e-01
3.162277660168379211e+10 -7.075556239561986427e-01 -7.148564413310001253e-01 -7.006747402333933783e-01 -7.209662591705339185e-01 -6.929321503235923441e-01 -7.221493744819331706e-01 -6.895000309863835719e-01
3.981071705534969330e+10 -7.018823526777620003e-01 -7.102551704787302134e-01 -6.947274005211875325e-01 -7.180549269064526730e-01 -6.872296387282773589e-01 -7.216755235039650218e-01 -6.789471595855407493e-01
5.011872336272714996e+10 -6.978700909506513339e-01 -7.076864848783763762e-01 -6.889427793792994859e-01 -7.123675592182245886e-01 -6.797195962525865998e-01 -7.188636177749826439e-01 -6.701482502040287947e-01
6.309573444801917267e+10 -6.943858283049373359e-01 -7.042964387833847706e-01 -6.832177563148550403e-01 -7.124984096019599811e-01 -6.746121789998771323e-01 -7.146548265247297804e-01 -6.715901493378458875e-01
