# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -3.671915179032039789e-01 -3.695835516816199928e-01 -3.645918587594409455e-01 -3.729995657216772509e-01 -3.616557928173599890e-01 -3.744486691605661277e-01 -3.600633526904282178e-01
1.258925411794166088e+09 -3.673409845919448080e-01 -3.705114523840989382e-01 -3.639830352474763275e-01 -3.732997574693688869e-01 -3.617003209639616523e-01 -3.763705172233082763e-01 -3.592899177710168757e-01
1.584893192461110830e+09 -3.667231904887651717e-01 -3.697009817047471336e-01 -3.630202046283071415e-01 -3.720127820017484765e-01 -3.598212597840106941e-01 -3.734604524091255651e-01 -3.575903033044665058e-01
1.995262314968882799e+09 -3.645537390305056968e-01 -3.670444800579637512e-01 -3.617715868255099165e-01 -3.696872441301424228e-01 -3.583335255435829980e-01 -3.707906332557157625e-01 -3.546874836350148996e-01
2.511886431509582043e+09 -3.598856239718187799e-01 -3.629034662314676307e-01 -3.572466912558310836e-01 -3.657735811200977238e-01 -3.543676943236719890e-01 -3.685407834391833393e-01 -3.525225306729786734e-01
3.162277660168379307e+09 -3.547741780734630090e-01 -3.591992992470309232e-01 -3.498524902814790782e-01 -3.607413076866117230e-01 -3.466008900903220225e-01 -3.614633874593324858e-01 -3.440927807749877276e-01
3.981071705534969330e+09 -3.483569728471802573e-01 -3.517356788374645382e-01 -3.443695650229720573e-01 -3.560749320178793753e-01 -3.399779375339296306e-01 -3.600870208723750965e-01 -3.389175076290678046e-01
5.011872336272714615e+09 -3.441821146052951863e-01 -3.473261111397568657e-01 -3.384571091574091750e-01 -3.523516053332983455e-01 -3.350885314397671899e-01 -3.543030583292328117e-01 -3.347568168636370078e-01
6.309573444801942825e+09 -3.370575543742972968e-01 -3.439835354387180133e-01 -3.328533656284961006e-01 -3.485877704498899776e-01 -3.283703247826073590e-01 -3.508902338894471784e-01 -3.216044323361166857e-01
7.943282347242821693e+09 -3.347461725965262258e-01 -3.412822620105547267e-01 -3.294603789347622658e-01 -3.467832520328072432e-01 -3.213392796938867035e-01 -3.516756896891297113e-01 -3.202063007909526915e-01
1.000000000000000000e+10 -3.357499376455282958e-01 -3.431895213411697565e-01 -3.284873854362593271e-01 -3.484588387971385703e-01 -3.229669959074319419e-01 -3.548372586654578997e-01 -3.205772588779737253e-01
1.258925411794166183e+10 -3.360331834510877358e-01 -3.427773731957529657e-01 -3.286948313713565217e-01 -3.502384479003053386e-01 -3.208719696196425386e-01 -3.564292651226329545e-01 -3.185408754306613965e-01
1.584893192461110878e+10 -3.393297106431341081e-01 -3.464152664983110586e-01 -3.288503075866174852e-01 -3.549165044090949461e-01 -3.197145350157375443e-01 -3.574932217986191985e-01 -3.136833289328507246e-01
1.995262314968882751e+10 -3.419175648484041874e-01 -3.489861736330958086e-01 -3.294721865840881114e-01 -3.594224329517436423e-01 -3.236811220192238325e-01 -3.613989886466361656e-01 -3.218017463955753499e-01
2.511886431509582138e+10 -3.404305111370949377e-01 -3.473295787047837591e-01 -3.283374631714189862e-01 -3.542683994555242410e-01 -3.192379531198117903e-01 -3.640417663385778768e-01 -3.122825526994393863e-01
3.162277660168379211e+10 -3.370157696142456194e-01 -3.482423991830648768e-01 -3.256699013593810088e-01 -3.551705564365801315e-01 -3.109095948286595412e-01 -3.652423964761150610e-01 -2.989304675452054139e-01
3.981071705534969330e+10 -3.258121822520442246e-01 -3.368227383337965009e-01 -3.150923666594940276e-01 -3.472376646142205647e-01 -3.080239072082726626e-01 -3.558024107134493685e-01 -2.900688735751359992e-01
5.011872336272714996e+10 -3.114385480450578836e-01 -3.254950000064947280e-01 -2.973905075294517308e-01 -3.433659408165855575e-01 -2.891501424763360806e-01 -3.461602227712053947e-01 -2.806653873271568456e-01
6.309573444801942444e+10 -2.999166166543797418e-01 -3.110485561703957846e-01 -2.852750927452933905e-01 -3.304164267624096762e-01 -2.639547464150503453e-01 -3.364034274778051614e-01 -2.587128487945868915e-01
7.943282347242822266e+10 -2.964368695560376521e-01 -3.129747216641015628e-01 -2.800632202543753002e-01 -3.289657567659547421e-01 -2.620654401714023196e-01 -3.345245305989520412e-01 -2.481202202288484426e-01
1.000000000000000000e+11 -3.048994345933015993e-01 -3.235036144686410653e-01 -2.832479284824776511e-01 -3.358404820498071541e-01 -2.653185204025725330e-01 -3.468271929821478694e-01 -2.560270023968365671e-01
1.258925411794166107e+11 -3.096321832927549922e-01 -3.312613006589900655e-01 -2.887488664880049072e-01 -3.502790230369208224e-01 -2.799669486978242361e-01 -3.558244320114498649e-01 -2.554431571115233224e-01
1.584893192461110840e+11 -3.198071353662889083e-01 -3.447161015659890859e-01 -2.962428490578158935e-01 -3.667284248412046033e-01 -2.762007082428903360e-01 -3.852694030462873731e-01 -2.673590854799007266e-01
1.995262314968882751e+11 -3.329966143393113809e-01 -3.604606303339452644e-01 -3.068029956683157033e-01 -3.820538378108854771e-01 -2.792606424988873792e-01 -3.939969040925107580e-01 -2.635940523127992541e-01
