# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -7.390665564742238125e-01 -7.406944005122635399e-01 -7.368027181895115962e-01 -7.427596457361165250e-01 -7.346998901000054705e-01 -7.439901576971935659e-01 -7.328549869088041291e-01
1.258925411794166088e+09 -7.355394407762723130e-01 -7.377104327134231809e-01 -7.337079756185029833e-01 -7.395641715631016133e-01 -7.322421739246743888e-01 -7.398481067830213753e-01 -7.307025533288058483e-01
1.584893192461110830e+09 -7.308356598485215017e-01 -7.328816347046699375e-01 -7.282289398238257494e-01 -7.355377780015868172e-01 -7.260686457668672489e-01 -7.359523420384791459e-01 -7.247227084468667035e-01
1.995262314968882799e+09 -7.244717526900441573e-01 -7.270122443501131348e-01 -7.227165228492733462e-01 -7.288957870852778020e-01 -7.203237250609031417e-01 -7.316906832987029041e-01 -7.193971682557367409e-01
2.511886431509582043e+09 -7.175339724756892856e-01 -7.206506998546285958e-01 -7.145607974423917597e-01 -7.228217126127016723e-01 -7.126844355745057813e-01 -7.244130220952305077e-01 -7.115508044647412822e-01
3.162277660168379307e+09 -7.113333276664332017e-01 -7.140681752635996693e-01 -7.084433313741533844e-01 -7.170101661891252753e-01 -7.051511230404019503e-01 -7.193550254804588207e-01 -7.029230906898782383e-01
3.981071705534969330e+09 -7.048321596263937838e-01 -7.089585412996000091e-01 -7.011238084978750340e-01 -7.110234102457746452e-01 -6.974578937923274768e-01 -7.146001312595180455e-01 -6.951653641102013559e-01
5.011872336272714615e+09 -6.979862714125484313e-01 -7.016121064129470231e-01 -6.942900403111742502e-01 -7.040163651161569502e-01 -6.886116284153205314e-01 -7.092784742086692962e-01 -6.869457757856564095e-01
6.309573444801942825e+09 -6.924291330246690190e-01 -6.965151657820906062e-01 -6.891616153017063873e-01 -7.013236390309829371e-01 -6.836123835547991412e-01 -7.042529859915586110e-01 -6.816847306119628858e-01
7.943282347242821693e+09 -6.861899808853972882e-01 -6.907647925895409324e-01 -6.807122864426056186e-01 -6.953702497254763415e-01 -6.771353584133527059e-01 -6.964955130968313313e-01 -6.754721458452999094e-01
1.000000000000000000e+10 -6.744225189325352421e-01 -6.806759976269159962e-01 -6.678586705639443233e-01 -6.854756232157761531e-01 -6.632368113013462629e-01 -6.866643124966839151e-01 -6.615086774834993966e-01
1.258925411794166183e+10 -6.628803275153661856e-01 -6.683017567928264402e-01 -6.567284990253102750e-01 -6.764351976818305801e-01 -6.502098543779695206e-01 -6.780413658040254088e-01 -6.451478783872541811e-01
1.584893192461110878e+10 -6.474677103187254090e-01 -6.537026476032000710e-01 -6.379091291898586480e-01 -6.614886508853011771e-01 -6.311426259353949408e-01 -6.654604138814205205e-01 -6.277821330947597200e-01
1.995262314968882751e+10 -6.283234269324782240e-01 -6.380019935814831289e-01 -6.194897608180593984e-01 -6.469901220977931633e-01 -6.111325220402814562e-01 -6.526193298719759062e-01 -6.092394049891812768e-01
2.511886431509582138e+10 -6.121962460507697212e-01 -6.233956364560965246e-01 -6.044482680535150365e-01 -6.309501556280749934e-01 -5.981422243932240645e-01 -6.346203885426027202e-01 -5.908314840091289932e-01
3.162277660168379211e+10 -5.975311567845797978e-01 -6.096308537042053333e-01 -5.869776255072740589e-01 -6.189087835047162311e-01 -5.763046860956640982e-01 -6.242317931412124654e-01 -5.707139655424114943e-01
3.981071705534969330e+10 -5.875111261435445043e-01 -6.007053763210540298e-01 -5.723223967793580336e-01 -6.098963782971195124e-01 -5.617381036330297839e-01 -6.188428255784582666e-01 -5.574069356925942520e-01
5.011872336272714996e+10 -5.788137926311507364e-01 -5.924678000530891886e-01 -5.645649495772501192e-01 -6.110646474469212386e-01 -5.508523775867469885e-01 -6.137340236513033620e-01 -5.447323509869423930e-01
6.309573444801942444e+10 -5.769471715603750051e-01 -5.936775167282266619e-01 -5.620064102913558957e-01 -6.079597285039033405e-01 -5.503575004654732705e-01 -6.171820834838802616e-01 -5.420804913509151834e-01
7.943282347242822266e+10 -5.682237492232232734e-01 -5.861232017121972282e-01 -5.445643592127147325e-01 -6.079782258314809784e-01 -5.242503207755395689e-01 -6.140372682876559240e-01 -5.141212440619804536e-01
1.000000000000000000e+11 -5.576063067485148572e-01 -5.783537967221765719e-01 -5.373862486959621876e-01 -6.019899144760857412e-01 -5.179426893365302043e-01 -6.126610892561635824e-01 -5.037794979580162424e-01
1.258925411794166107e+11 -5.362782060337452084e-01 -5.599411401999689897e-01 -5.150513909187635075e-01 -5.874946555846873864e-01 -4.890148902858324487e-01 -6.028884785835441074e-01 -4.422860560444026312e-01
1.584893192461110840e+11 -5.204130989308667354e-01 -5.458463777564579456e-01 -4.730283132035633664e-01 -5.733528102624949607e-01 -4.481913890247166687e-01 -5.824194837030641780e-01 -4.315327572740335627e-01
1.995262314968882751e+11 -4.845358406382366812e-01 -5.160738612050704832e-01 -4.481157708421960040e-01 -5.392518321074539767e-01 -4.214394293002660108e-01 -5.457933938021688469e-01 -3.778345572826807830e-01
2.511886431509582214e+11 -4.594295905149536896e-01 -4.853977378744093740e-01 -4.196113556946264866e-01 -5.119103100892887781e-01 -4.001868649660812460e-01 -5.473285725826134707e-01 -3.645320396003154939e-01
3.162277660168379517e+11 -4.354572912707478372e-01 -4.873143000730120189e-01 -3.926956516129995189e-01 -5.146907114189807064e-01 -3.621368653097610246e-01 -5.516192202033722847e-01 -3.519456769344487257e-01
3.981071705534969482e+11 -4.420738375705515755e-01 -4.837936318510666633e-01 -3.926154613404939098e-01 -5.159525711551490312e-01 -3.502968628262746464e-01 -5.316789679484613673e-01 -3.390191608745988794e-01
5.011872336272714844e+11 -4.610448176914314078e-01 -4.991938892869879352e-01 -4.085916645646338607e-01 -5.336728066908373869e-01 -3.659247418184262690e-01 -5.585637482162033596e-01 -3.145156192105138526e-01
