# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 -8.534257355920176202e-01 -8.544463997091384933e-01 -8.521459107039870418e-01 -8.557360818988106743e-01 -8.509910436923595611e-01 -8.565433106040898359e-01 -8.504430356838398319e-01
1.995262314968874693e+09 -8.501331070212152508e-01 -8.511260248645999837e-01 -8.490908342114640295e-01 -8.530894382375084906e-01 -8.478637214669400013e-01 -8.533708722739350439e-01 -8.466589386724231447e-01
2.511886431509572029e+09 -8.464514721725744373e-01 -8.475040375218539923e-01 -8.452131870995595042e-01 -8.480770279704733516e-01 -8.440149510764775043e-01 -8.496299734990081509e-01 -8.430979920548169471e-01
3.162277660168379307e+09 -8.431635867406420681e-01 -8.443698145410731826e-01 -8.417721709754635295e-01 -8.454700192614404974e-01 -8.408203918314646197e-01 -8.456259765282517771e-01 -8.398976579348209626e-01
3.981071705534969330e+09 -8.398523069767001026e-01 -8.410290620880667145e-01 -8.385589514477652662e-01 -8.435335904285869990e-01 -8.368953083466756926e-01 -8.440247622094290136e-01 -8.348845469641065220e-01
5.011872336272714615e+09 -8.358508420682606577e-01 -8.375037878952270587e-01 -8.341673744646975752e-01 -8.393278615593132708e-01 -8.325762540932790667e-01 -8.399907282159760902e-01 -8.320302374222052766e-01
6.309573444801917076e+09 -8.328952104748146290e-01 -8.342477325639112706e-01 -8.310378828514128902e-01 -8.358100385190789794e-01 -8.297708544180285584e-01 -8.365391059256315209e-01 -8.276188071254870771e-01
7.943282347242789268e+09 -8.291239667371343991e-01 -8.311512955698707739e-01 -8.266791219233161625e-01 -8.326583741644166814e-01 -8.250525293979638075e-01 -8.331462022779854149e-01 -8.241157431192832616e-01
1.000000000000000000e+10 -8.254893920926857920e-01 -8.274013100923124364e-01 -8.229277375145358508e-01 -8.288846007574867114e-01 -8.205637479022658276e-01 -8.323163666086057511e-01 -8.180109535742355886e-01
1.258925411794166183e+10 -8.205395245798647874e-01 -8.233217260973559881e-01 -8.177143751017800222e-01 -8.250152590987261947e-01 -8.154966469893055736e-01 -8.260928917969329044e-01 -8.132675994853446610e-01
1.584893192461110878e+10 -8.151169584618209729e-01 -8.184682835740044737e-01 -8.120932016355404404e-01 -8.210781720379165538e-01 -8.089103671784745320e-01 -8.222121534268866938e-01 -8.082891850746342088e-01
1.995262314968874741e+10 -8.079467477894972660e-01 -8.114062879230946601e-01 -8.051416787102257944e-01 -8.151332727486941820e-01 -8.010253654775995047e-01 -8.156490427943882127e-01 -8.002107794185611134e-01
