# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 -3.850102375002069088e-01 -3.891314519488438539e-01 -3.803224023736959669e-01 -3.944202093562829692e-01 -3.738642054043023744e-01 -3.992339896408654276e-01 -3.714546143864785321e-01
1.995262314968874693e+09 -3.848429693313515365e-01 -3.889596534546306272e-01 -3.812870907538014054e-01 -3.921253625719169911e-01 -3.771189035027506797e-01 -3.950907702085394990e-01 -3.745811042637008370e-01
2.511886431509572029e+09 -3.822871092192549058e-01 -3.858028163913249098e-01 -3.776549736715730243e-01 -3.918129564527170761e-01 -3.749735032082819330e-01 -3.952059855729376237e-01 -3.681020101220755514e-01
3.162277660168379307e+09 -3.799593800442552793e-01 -3.844912110459793864e-01 -3.746026123765133775e-01 -3.885554566522974040e-01 -3.707105135193324852e-01 -3.900407412959706055e-01 -3.648608438654609154e-01
3.981071705534969330e+09 -3.785088040108789409e-01 -3.838163915456326847e-01 -3.738686123811789108e-01 -3.867209155438343648e-01 -3.666365892961384043e-01 -3.892563008240568223e-01 -3.640136905092934971e-01
5.011872336272714615e+09 -3.765253544349921322e-01 -3.824903385220266294e-01 -3.714352654202633941e-01 -3.874075587862436665e-01 -3.655837711046041605e-01 -3.897674989931277922e-01 -3.634042080683328457e-01
6.309573444801917076e+09 -3.762958837720083993e-01 -3.812002214235689634e-01 -3.684106494305720014e-01 -3.871171767950268294e-01 -3.629393804728704431e-01 -3.882535648026014807e-01 -3.595125578433484570e-01
7.943282347242789268e+09 -3.720530939953518024e-01 -3.786355100136836738e-01 -3.656669634504343680e-01 -3.852341932716752959e-01 -3.609566400695090049e-01 -3.882610346048672167e-01 -3.554554876381417761e-01
1.000000000000000000e+10 -3.673956421437329922e-01 -3.756176601557369432e-01 -3.599140271845432393e-01 -3.831303239109992154e-01 -3.517547601981312333e-01 -3.857537809842402354e-01 -3.487566282923333372e-01
1.258925411794166183e+10 -3.610225970980927013e-01 -3.706526053220761674e-01 -3.533427844060398337e-01 -3.755899170788230546e-01 -3.428278437973887316e-01 -3.833725563044896312e-01 -3.336835406379369262e-01
1.584893192461110878e+10 -3.506075758832514211e-01 -3.605740676848708248e-01 -3.413206105140638158e-01 -3.690359300375328777e-01 -3.343565960954226757e-01 -3.747605275815186210e-01 -3.311082600123700370e-01
1.995262314968874741e+10 -3.427400123771517926e-01 -3.508674614838223627e-01 -3.311966408658852390e-01 -3.568144422651301495e-01 -3.227189726445585660e-01 -3.703337152289624123e-01 -3.200079521584974218e-01
2.511886431509571838e+10 -3.301461100700366358e-01 -3.420093720261392911e-01 -3.196674140002958575e-01 -3.524728052915724330e-01 -3.095921047550955763e-01 -3.606875993558137372e-01 -3.005198991748485593e-01
3.162277660168379211e+10 -3.124499883323625382e-01 -3.265451924868347233e-01 -3.025790381828216691e-01 -3.360885702449777357e-01 -2.905487270274129674e-01 -3.472203050181383865e-01 -2.812618435999955091e-01
3.981071705534969330e+10 -2.954719382273461870e-01 -3.095503979903442282e-01 -2.780040098882821664e-01 -3.233688850405418425e-01 -2.670367729245859412e-01 -3.318229969214847586e-01 -2.453633100506764642e-01
5.011872336272714996e+10 -2.685607726232077663e-01 -2.910739892411822183e-01 -2.511345247078018983e-01 -3.081228409978915561e-01 -2.340284873969750712e-01 -3.197438499172664539e-01 -2.036997297089361836e-01
6.309573444801917267e+10 -2.429618942776496371e-01 -2.635621446989028227e-01 -2.251866692614621357e-01 -2.838901619418240374e-01 -2.116092251871716234e-01 -2.900976308069914134e-01 -1.823401104534493333e-01
7.943282347242822266e+10 -2.252843371794945315e-01 -2.451103580768864976e-01 -1.974631295977637424e-01 -2.614054991892658664e-01 -1.658088530892452006e-01 -2.684500310742281015e-01 -1.548240248180179079e-01
1.000000000000000000e+11 -2.086200509372069800e-01 -2.290663765195334323e-01 -1.812607817616068429e-01 -2.485987020654565338e-01 -1.621157278421831993e-01 -2.568742049862292598e-01 -1.311930545700193407e-01
1.258925411794166107e+11 -2.112948541029240068e-01 -2.401956455955127634e-01 -1.822477053610388198e-01 -2.543754039403249290e-01 -1.652780920876704140e-01 -2.588226167965722579e-01 -1.445387962520351677e-01
1.584893192461110840e+11 -2.223083076171459282e-01 -2.400382432560379253e-01 -1.944797674881257321e-01 -2.704361895309226327e-01 -1.653765152531483928e-01 -2.802959191798309879e-01 -1.504186647891133655e-01
1.995262314968882751e+11 -2.401327212599645711e-01 -2.703394370480671771e-01 -2.100345096859624616e-01 -3.029716191624806099e-01 -1.844672883413550624e-01 -3.227212936100868346e-01 -1.708432964557158040e-01
2.511886431509582214e+11 -2.491218201321580006e-01 -2.762410327351676465e-01 -2.218595948933383410e-01 -3.103697077664406279e-01 -1.941467239803833511e-01 -3.184313455412581262e-01 -1.445449241342707525e-01
3.162277660168379517e+11 -2.476954630922031386e-01 -2.750977451035089283e-01 -2.002674609436853603e-01 -3.056167601378739773e-01 -1.604727063645430274e-01 -3.156120027636131198e-01 -1.213465491106663491e-01
3.981071705534969482e+11 -1.991507025206293024e-01 -2.517346461914583000e-01 -1.605036953392186549e-01 -2.669011585221703342e-01 -1.281455743161852290e-01 -2.710853012723757893e-01 -9.347989454161063916e-02
5.011872336272714844e+11 -1.658432231382724886e-01 -2.168125266319728683e-01 -9.207174646064736345e-02 -2.479131575538811028e-01 -5.415902172739647802e-02 -2.722573972300261769e-01 -4.247485141660399532e-02
6.309573444801943359e+11 -1.137088157629778384e-01 -1.825779962139301715e-01 -6.301063203608675556e-02 -2.044080656931657747e-01 -1.472736704435251634e-02 -2.490130100861035478e-01 2.731469504433439374e-02
7.943282347242821045e+11 -1.092278586653663286e-01 -1.811259398600556514e-01 -2.960560135569515958e-02 -2.774528737655399535e-01 3.447879895418527046e-02 -3.013073043208808754e-01 6.479684132962136578e-02
1.000000000000000000e+12 -1.381834473904850757e-01 -1.985029140853057927e-01 -5.206625780555451666e-02 -2.828649165217385075e-01 3.270297806148768100e-03 -3.433838525465048308e-01 2.209091967837085654e-02
1.258925411794166260e+12 -1.907644187899092403e-01 -2.906925850338859529e-01 -1.252312963256893563e-01 -3.530240800153884861e-01 -2.153749104026998068e-02 -3.896732175867218539e-01 4.767776781208528034e-03
1.584893192461110840e+12 -2.419862336131533009e-01 -3.457753613389686898e-01 -1.467809922698572467e-01 -4.291472576614874246e-01 -3.991689186096625958e-02 -4.727474346768265612e-01 6.086663156448285719e-03
1.995262314968882812e+12 -2.441066035898714071e-01 -3.451234351940392631e-01 -1.412985422136981972e-01 -4.233042598355929442e-01 -7.079600904909175152e-02 -4.607501632073773834e-01 5.100916936983487804e-03
2.511886431509582031e+12 -1.864982442313126154e-01 -2.854024472950664748e-01 -9.354261600535833387e-02 -4.066676212464928053e-01 -3.651133363693916112e-03 -4.566220924048945973e-01 8.207972081093353744e-02
3.162277660168379395e+12 -1.229558170375431164e-01 -2.389787229078295661e-01 -3.500942438053388645e-02 -3.651784013306244581e-01 6.746938505929020446e-02 -3.996530960548451139e-01 1.086383612837959617e-01
