# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 1.795903708392120324e-01 1.757101753590525339e-01 1.836046079190590541e-01 1.725679295180733708e-01 1.864133015823011830e-01 1.700999581024665308e-01 1.898750916576192604e-01
1.995262314968874693e+09 1.792376926231015466e-01 1.749160957170067532e-01 1.824772074320797077e-01 1.717002487508084985e-01 1.878303194032567847e-01 1.696904817986353287e-01 1.890323909246677259e-01
2.511886431509572029e+09 1.759555572443752824e-01 1.725373719734669686e-01 1.802505904495174949e-01 1.692685747274561558e-01 1.830607290843137558e-01 1.674802289487279383e-01 1.871988466657407979e-01
3.162277660168379307e+09 1.721296443820548028e-01 1.675714498208456804e-01 1.751680653260095921e-01 1.643326148397462050e-01 1.791996797229692961e-01 1.608121289642906182e-01 1.796812657041964578e-01
3.981071705534969330e+09 1.669830300081816543e-01 1.627625433346055472e-01 1.711375212711477856e-01 1.607877873269498714e-01 1.746715714810377629e-01 1.556170962516393308e-01 1.770827343019917288e-01
5.011872336272714615e+09 1.610898613168817439e-01 1.570180454416185145e-01 1.650768446647171428e-01 1.531555794490203626e-01 1.711714111398030536e-01 1.526573411920077172e-01 1.736152379509418309e-01
6.309573444801917076e+09 1.529028339742892761e-01 1.492088751304952443e-01 1.585202210099594666e-01 1.444207425527647137e-01 1.641889130609558989e-01 1.420578801702188365e-01 1.677419709272761073e-01
7.943282347242789268e+09 1.476177546446322819e-01 1.416143400962594778e-01 1.536746043191898059e-01 1.361785668072264532e-01 1.616590842383496818e-01 1.359159793325462329e-01 1.647783925487948387e-01
1.000000000000000000e+10 1.416857248637654609e-01 1.356194060047118954e-01 1.481552398333781939e-01 1.305126110315337762e-01 1.533491816677027830e-01 1.242613249291594502e-01 1.537165977568342723e-01
1.258925411794166183e+10 1.356675650031836655e-01 1.292157069021120097e-01 1.414685177519633963e-01 1.169824792414061870e-01 1.465348464583305366e-01 1.121914380053320726e-01 1.470398660395780543e-01
1.584893192461110878e+10 1.287675837338421725e-01 1.182864464803439347e-01 1.368378979644789828e-01 1.131294949955352624e-01 1.441465084697187149e-01 1.100473126418347602e-01 1.477308602513060232e-01
1.995262314968874741e+10 1.196643566416880355e-01 1.108642497627395640e-01 1.271346054011186222e-01 1.031985958021631455e-01 1.333668944491194219e-01 9.557221505710489229e-02 1.338637868922759322e-01
2.511886431509571838e+10 1.108026827634475964e-01 1.039755645623999664e-01 1.207027391018173357e-01 9.267783731192436036e-02 1.327638176355850907e-01 8.186340026934937897e-02 1.407217331272785921e-01
3.162277660168379211e+10 1.029017597385522842e-01 9.135196492575059501e-02 1.141210056677640777e-01 8.162637478473851183e-02 1.271248214085179962e-01 7.982160076180234987e-02 1.349301578082392761e-01
3.981071705534969330e+10 9.707419032778918933e-02 8.693653490444806786e-02 1.105475549692931103e-01 7.426415800665966960e-02 1.231832406985139267e-01 6.739815221377369603e-02 1.284267762502661336e-01
5.011872336272714996e+10 9.425586405422270442e-02 8.193007306565694425e-02 1.063098049061451805e-01 6.857997888473674197e-02 1.176072217466963832e-01 6.437532451576864767e-02 1.353310690453170539e-01
6.309573444801917267e+10 9.784058983641286122e-02 8.171990195480652308e-02 1.147615957684344906e-01 6.968239643778104120e-02 1.299549663282234535e-01 5.801936247562625160e-02 1.414614280246610512e-01
7.943282347242822266e+10 1.003052904590088501e-01 8.442188167810181498e-02 1.204815548741338394e-01 6.884099784770308927e-02 1.351986308424077965e-01 5.702976653771908710e-02 1.428282837385700665e-01
1.000000000000000000e+11 1.088716712025753486e-01 8.780302636311133890e-02 1.323358667537923861e-01 6.849769191092192067e-02 1.467302257594209625e-01 5.006312537772349136e-02 1.568969070557982293e-01
1.258925411794166107e+11 1.196851320369334837e-01 9.674991479269996753e-02 1.396814442690382796e-01 8.035682885253492280e-02 1.640148047593268377e-01 7.053352662543212193e-02 1.769288490469402841e-01
1.584893192461110840e+11 1.186565866987130402e-01 9.732074307109585265e-02 1.435983485075053301e-01 6.386198282826056893e-02 1.568976911078714953e-01 5.018862462415032283e-02 1.681434649080672250e-01
1.995262314968882751e+11 1.293230260977035750e-01 1.026969476564364436e-01 1.524192429014294137e-01 8.136606187953077107e-02 1.802711059270644123e-01 5.166000765520034621e-02 1.936770533250302406e-01
2.511886431509582214e+11 1.235370482709961526e-01 9.334513383060093206e-02 1.505629590525574824e-01 4.156101934046328022e-02 1.789469298405105824e-01 1.322488433398594579e-02 2.039497181151149752e-01
3.162277660168379517e+11 1.075081302264210281e-01 7.432135604221418168e-02 1.384354725607879477e-01 2.966870676577130356e-02 1.661861129135407400e-01 2.285678285454741457e-02 1.824458004816634782e-01
3.981071705534969482e+11 9.389865188438552279e-02 6.400015642514110537e-02 1.203962119351557336e-01 1.452278088732534937e-02 1.614638706193277096e-01 -1.586326180983182316e-02 1.720140345817130489e-01
5.011872336272714844e+11 9.944303622299416334e-02 6.176384598464140785e-02 1.406969081938000410e-01 2.754426024135576273e-02 1.767596595989595343e-01 1.962991046453292296e-02 1.854173515245582937e-01
6.309573444801943359e+11 9.851431956235912057e-02 5.762827156514444688e-02 1.473257957277083474e-01 1.959942800967918314e-02 1.789469857633872729e-01 -7.005002674933608758e-03 1.824269616307833408e-01
7.943282347242821045e+11 1.267979221761427189e-01 8.245079985636917519e-02 1.751352617201622774e-01 4.801285110373369053e-02 2.057630764717699456e-01 9.227823245927123733e-03 2.916636648619792549e-01
