# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -2.049809002073764985e-01 -2.052822810441762291e-01 -2.042901610970057347e-01 -2.054019469646702623e-01 -2.040158970384761405e-01 -2.054227776989784593e-01 -2.039681547764358172e-01
1.258925411794166088e+09 -2.065861003847592470e-01 -2.084276966590715152e-01 -2.065212196595187788e-01 -2.091589187091661417e-01 -2.064954581950850798e-01 -2.092862055104789121e-01 -2.064909737920169741e-01
1.584893192461110830e+09 -2.081614358325596104e-01 -2.092695867598977078e-01 -2.076294234405507144e-01 -2.097095878633996324e-01 -2.074181832260765801e-01 -2.097861806480832980e-01 -2.073814117813347901e-01
1.995262314968882799e+09 -2.122221475650961919e-01 -2.128557528414565247e-01 -2.103250909078370201e-01 -2.131073314070702218e-01 -2.095718478233370707e-01 -2.131511247129362907e-01 -2.094407277308500126e-01
2.511886431509582043e+09 -2.098816095798381187e-01 -2.114385310674755381e-01 -2.094185395493831092e-01 -2.120567204816845019e-01 -2.092346735078789433e-01 -2.121643312315653340e-01 -2.092026671969504370e-01
3.162277660168379307e+09 -2.088766785517337243e-01 -2.107980463109659919e-01 -2.055383975787231365e-01 -2.115609423330140904e-01 -2.042129036629689309e-01 -2.116937427516668857e-01 -2.039821695368932153e-01
3.981071705534969330e+09 -2.008265841631114990e-01 -2.042637310521149552e-01 -2.002179920352019638e-01 -2.056284805521604586e-01 -1.999763451608849718e-01 -2.058660480577239604e-01 -1.999342807049853399e-01
5.011872336272714615e+09 -2.026783803844823817e-01 -2.091383613983218703e-01 -2.016620920417925844e-01 -2.117033538596993225e-01 -2.012585657880774925e-01 -2.121498525474205810e-01 -2.011883223290974743e-01
6.309573444801942825e+09 -1.954459536910702899e-01 -1.954976432841032952e-01 -1.915608550615424122e-01 -1.955181670931016857e-01 -1.900182423704063484e-01 -1.955217397561495596e-01 -1.897497134945419217e-01
7.943282347242821693e+09 -1.891802911171197865e-01 -1.897189274943787973e-01 -1.848175573616405998e-01 -1.899327978206434009e-01 -1.830852954293179513e-01 -1.899700270996598217e-01 -1.827837535373951217e-01
1.000000000000000000e+10 -1.869771796810665854e-01 -1.895445460658160552e-01 -1.861418510806313598e-01 -1.905639415421136462e-01 -1.858101764892820529e-01 -1.907413918657654417e-01 -1.857524405418990443e-01
1.258925411794166183e+10 -1.872005065983429750e-01 -1.872260225784619647e-01 -1.849067120428124766e-01 -1.872361539235092021e-01 -1.839959406751753845e-01 -1.872379175280174390e-01 -1.838373989926607999e-01
1.584893192461110878e+10 -1.840915224035244435e-01 -1.858734434877962749e-01 -1.781489556479727843e-01 -1.865809709771394931e-01 -1.757894070832684286e-01 -1.867041331697288642e-01 -1.753786708516347215e-01
1.995262314968882751e+10 -1.847797181219647811e-01 -1.865837239809836345e-01 -1.827110152311268720e-01 -1.873000204250058198e-01 -1.818896184950588857e-01 -1.874247090652615688e-01 -1.817466346187803783e-01
2.511886431509582138e+10 -1.817894608741525142e-01 -1.835795213836592943e-01 -1.789564699265507319e-01 -1.842902807036105040e-01 -1.778316058738265149e-01 -1.844140054741205126e-01 -1.776357962053893291e-01
3.162277660168379211e+10 -1.647824558112474524e-01 -1.760304543134382782e-01 -1.624314377437146295e-01 -1.804965713657787629e-01 -1.614979452757236422e-01 -1.812740065563713532e-01 -1.613354484387029830e-01
3.981071705534969330e+10 -1.801558684917810849e-01 -1.892125786375454533e-01 -1.768500400462788003e-01 -1.928086253130695538e-01 -1.755374316929175782e-01 -1.934346038084385488e-01 -1.753089406091843105e-01
5.011872336272714996e+10 -1.755731000411908382e-01 -1.830722448097849842e-01 -1.705954519543793624e-01 -1.860498464090797333e-01 -1.686190328610865929e-01 -1.865681696504384313e-01 -1.682749895374393290e-01
6.309573444801942444e+10 -1.703648884041754907e-01 -1.712208165469314980e-01 -1.661847133760280815e-01 -1.715606703683199008e-01 -1.645249379972048287e-01 -1.716198301075986254e-01 -1.642360141349652192e-01
7.943282347242822266e+10 -1.640909879165478036e-01 -1.696217258759997182e-01 -1.572955529523789309e-01 -1.718177541834291500e-01 -1.545973655401354230e-01 -1.722000257776853949e-01 -1.541276810646707851e-01
1.000000000000000000e+11 -1.944814051249271480e-01 -2.034795929941991266e-01 -1.743065528401090969e-01 -2.070524028834688779e-01 -1.662959497270195819e-01 -2.076743364567862071e-01 -1.649015114073336119e-01
1.258925411794166107e+11 -1.431698846229300659e-01 -1.538287555943633478e-01 -1.371499885885624770e-01 -1.580609543624324487e-01 -1.347597357513871108e-01 -1.587976704442815301e-01 -1.343436547019528915e-01
1.584893192461110840e+11 -1.628120356757115084e-01 -1.631504248229298792e-01 -1.479050233143273108e-01 -1.632847852196195326e-01 -1.419860625237776841e-01 -1.633081738812655059e-01 -1.409557249046820004e-01
1.995262314968882751e+11 -1.114215174364154015e-01 -1.165714545842697347e-01 -9.650145498171736058e-02 -1.186162825694472012e-01 -9.057731253646959801e-02 -1.189722341076077106e-01 -8.954607292563017407e-02
2.511886431509582214e+11 -8.105818814904705572e-02 -8.231927019006807233e-02 -7.483576493476558344e-02 -8.281999394164994699e-02 -7.236509689380089816e-02 -8.290715696507346133e-02 -7.193501764222555439e-02
3.162277660168379517e+11 -1.154700316287737005e-01 -1.176032081271727314e-01 -8.004761264024540246e-02 -1.184502046780076673e-01 -6.598282863009445609e-02 -1.185976448183381771e-01 -6.353451437647560096e-02
3.981071705534969482e+11 -6.949342028141403116e-02 -9.684313308546685373e-02 -5.074578709954113281e-02 -1.077025778753113588e-01 -4.330187392438571842e-02 -1.095929256720620804e-01 -4.200608163093274422e-02
