# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 2.899377485550310163e-01 2.856130600758027271e-01 2.932845651038161749e-01 2.833866539956598207e-01 2.967944652053707832e-01 2.829791474227956738e-01 3.015663297597840908e-01
1.258925411794166088e+09 2.858526875962379976e-01 2.825503843915625479e-01 2.894368720208045920e-01 2.800295098258807625e-01 2.929402520786353881e-01 2.751719241302591490e-01 2.966589911203266761e-01
1.584893192461110830e+09 2.821385180762826517e-01 2.778688184794873006e-01 2.852168674850307784e-01 2.739802424201110975e-01 2.883082746442597877e-01 2.724118723174944190e-01 2.892641545222232047e-01
1.995262314968882799e+09 2.766791267931775211e-01 2.733258331267371943e-01 2.806049532840355631e-01 2.694117967169594174e-01 2.857197221107696805e-01 2.676587450360735088e-01 2.887512827773601187e-01
2.511886431509582043e+09 2.706971364377678269e-01 2.658311692881473731e-01 2.751041407443352016e-01 2.608123463154640165e-01 2.783685739488852562e-01 2.588861805672185157e-01 2.802153113233452619e-01
3.162277660168379307e+09 2.622465109526189719e-01 2.567186820177743134e-01 2.677203810066144385e-01 2.529079430074340773e-01 2.713423328341289520e-01 2.509546238569467791e-01 2.735188350562406390e-01
3.981071705534969330e+09 2.540161921758271601e-01 2.479468916027005310e-01 2.579706868003388553e-01 2.421480762549969024e-01 2.665372484350224114e-01 2.368481553954627228e-01 2.671097801247789838e-01
5.011872336272714615e+09 2.458253278143945897e-01 2.399172920348041915e-01 2.505421059651471993e-01 2.312976514779995219e-01 2.559575538868610889e-01 2.285507536044713017e-01 2.596225018500196158e-01
6.309573444801942825e+09 2.382661130496622204e-01 2.320524337134440285e-01 2.436219507000183249e-01 2.266746548582830034e-01 2.509736638673066289e-01 2.219990003737205841e-01 2.565599139900949788e-01
7.943282347242821693e+09 2.322222754494070729e-01 2.236554438394984246e-01 2.394085823051997908e-01 2.175168843933255602e-01 2.448090697502984248e-01 2.127605244366692627e-01 2.539319315392546961e-01
1.000000000000000000e+10 2.307112444953758890e-01 2.239704529758355100e-01 2.391319216528129121e-01 2.166314035194067678e-01 2.467821373853289479e-01 2.084144204548438184e-01 2.519295909075852657e-01
1.258925411794166183e+10 2.264370659239363093e-01 2.207539410918835099e-01 2.339965559700084852e-01 2.108667546752192035e-01 2.434424707658075504e-01 2.053807273457874394e-01 2.515139774317451948e-01
1.584893192461110878e+10 2.242669049396155412e-01 2.140300210624419830e-01 2.361628190136445260e-01 2.054654745303675645e-01 2.473976491993065685e-01 1.996853352009557714e-01 2.550771293050017596e-01
1.995262314968882751e+10 2.217625786937239274e-01 2.111700981033122759e-01 2.317045064663791620e-01 1.958072535100787714e-01 2.383569105666040744e-01 1.954550457527813312e-01 2.447191409507419313e-01
