# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 2.541244463674972864e-02 1.963151046558317750e-02 3.012975838843040891e-02 1.550183336130537409e-02 3.582528310450443232e-02 1.079262828171924718e-02 3.922077406431170865e-02
1.258925411794166088e+09 3.212056623459905169e-02 2.495406589680703238e-02 3.945559223359674378e-02 2.186162121923408003e-02 4.560031595410388855e-02 1.870136584572754113e-02 4.641107691460223672e-02
1.584893192461110830e+09 3.846177656294989811e-02 3.231734434187901600e-02 4.447154988495709282e-02 2.595970693174766419e-02 5.086388826845300581e-02 2.215353013961818621e-02 5.542411491012222413e-02
1.995262314968882799e+09 4.507568561586794420e-02 3.583587755066114378e-02 5.179648557756907218e-02 3.084816851035349430e-02 5.841681398074655140e-02 2.287427748444791076e-02 6.169562248062264442e-02
2.511886431509582043e+09 4.482879608763741530e-02 3.630555677795547359e-02 5.280503783260530326e-02 3.125097549870460567e-02 6.165664267303026802e-02 2.914373825195839054e-02 6.741965660972272512e-02
3.162277660168379307e+09 4.814369394549253278e-02 3.923032577375508423e-02 5.724955144904701060e-02 2.786815015277959579e-02 6.726582310719897428e-02 2.227824990952824435e-02 7.419933501127250197e-02
3.981071705534969330e+09 4.794638758643818971e-02 3.782224048520208687e-02 6.062253623838162464e-02 2.495175684215109047e-02 7.153696327842923308e-02 2.078430600476628698e-02 8.080106906677592127e-02
5.011872336272714615e+09 5.928720541419978118e-02 4.216139756736324989e-02 7.526680458012099950e-02 3.389576397372962013e-02 8.475628068335536169e-02 1.627299509141797926e-02 9.465485344886825914e-02
6.309573444801917076e+09 7.142810084933609582e-02 5.454168843073915057e-02 8.174456868777521534e-02 3.846605218724573338e-02 9.338114078852427502e-02 3.068647697742237293e-02 1.000349249497163862e-01
7.943282347242821693e+09 8.174612021609212187e-02 6.336729747680378000e-02 9.687935820459261937e-02 4.944749311292757910e-02 1.118233282285490404e-01 4.636185134543487074e-02 1.192269776951395827e-01
1.000000000000000000e+10 8.556346198064801456e-02 5.933536747357249369e-02 1.069569659847195708e-01 4.207741175629373803e-02 1.308249288601364690e-01 3.908612912982727811e-02 1.431619075421601828e-01
1.258925411794166183e+10 7.594080724569285401e-02 4.270828979921625218e-02 1.079103600062832763e-01 2.597810814953687569e-02 1.295104509515743185e-01 7.800400621654955680e-03 1.336221804283477255e-01
1.584893192461110878e+10 6.925031610056511799e-02 4.094168386442936791e-02 9.339271994048631287e-02 1.645418941814745864e-02 1.351928057095924118e-01 -1.506037855388672568e-02 1.460111073152570715e-01
1.995262314968874741e+10 4.879882968248767938e-02 6.622519356516993333e-03 1.022527463268610298e-01 -1.855174801791085321e-02 1.369108811254321212e-01 -4.275179019935377439e-02 1.601212919294620063e-01
2.511886431509571838e+10 3.756814164092962816e-02 4.316655831427901324e-03 8.629310880985716081e-02 -3.161308500797531396e-02 1.375921263921524307e-01 -6.320362303388435410e-02 1.927410167682653275e-01
3.162277660168379211e+10 2.712145258585739460e-02 -2.191446545471512769e-02 7.991998310969179731e-02 -8.549861430928973327e-02 1.016833936327176946e-01 -1.114641968224022034e-01 1.460774491779662232e-01
3.981071705534969330e+10 6.459777366474897184e-03 -4.763784479859863030e-02 6.403179515807647104e-02 -8.935585591070469014e-02 9.792799626078121933e-02 -1.337600675296478636e-01 1.715689508674932418e-01
5.011872336272714996e+10 -8.470422892053255937e-03 -6.818061394567910549e-02 6.108502255690301252e-02 -1.378868802129198379e-01 1.065624907270718708e-01 -1.735742954092278079e-01 1.562730935645944008e-01
