# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 -7.545535069799436112e-01 -7.567781816545137152e-01 -7.525719806050136240e-01 -7.585744413399613251e-01 -7.503071375267328369e-01 -7.600601626961873691e-01 -7.492034095176298703e-01
1.995262314968874693e+09 -7.526867584155862989e-01 -7.546128689900220010e-01 -7.504042654548597202e-01 -7.566154817479240347e-01 -7.474832321714530714e-01 -7.582462406358956297e-01 -7.469016292571110105e-01
2.511886431509572029e+09 -7.503271220379783557e-01 -7.522657131638421646e-01 -7.481056831789620887e-01 -7.546911530862829842e-01 -7.461995122058170393e-01 -7.552139880148940332e-01 -7.449654407740375905e-01
3.162277660168379307e+09 -7.469097228643313269e-01 -7.494021367217288399e-01 -7.441829519370206647e-01 -7.524430149662868494e-01 -7.428759180847157584e-01 -7.533854979229228643e-01 -7.421350514633764384e-01
3.981071705534969330e+09 -7.434876726679826575e-01 -7.462380371286362335e-01 -7.402941238148894598e-01 -7.478500288503470150e-01 -7.369849173051106206e-01 -7.492823675490183355e-01 -7.360069291857728180e-01
5.011872336272714615e+09 -7.394143481953093788e-01 -7.426270831469893308e-01 -7.362943781241750862e-01 -7.463522587625461835e-01 -7.341748780347757686e-01 -7.484815783023928137e-01 -7.326321635078650862e-01
6.309573444801917076e+09 -7.347664626072714089e-01 -7.382968751785924377e-01 -7.321249303732205727e-01 -7.413926431107380477e-01 -7.277738434414372515e-01 -7.442612844197569189e-01 -7.245776849524739882e-01
7.943282347242789268e+09 -7.297577989873254012e-01 -7.333119999870011396e-01 -7.253486442576415616e-01 -7.362077108005348203e-01 -7.219291475703111249e-01 -7.380111581285195843e-01 -7.199972482111618444e-01
1.000000000000000000e+10 -7.240773952770770405e-01 -7.288908563044547151e-01 -7.189066081829574850e-01 -7.320332505556457203e-01 -7.163487437585922546e-01 -7.350392880749324620e-01 -7.122768088019764132e-01
1.258925411794166183e+10 -7.179333616416446739e-01 -7.233874025297859500e-01 -7.135312172714151080e-01 -7.258744245538317763e-01 -7.086657069453190516e-01 -7.299098380213701054e-01 -7.032336006868076250e-01
1.584893192461110878e+10 -7.108077686581519838e-01 -7.166365327179742284e-01 -7.058524711965180609e-01 -7.235973629344857327e-01 -6.989484751526442441e-01 -7.274617992412716339e-01 -6.956918241780456480e-01
1.995262314968874741e+10 -7.013269395383834315e-01 -7.065566885084753057e-01 -6.942841621729635149e-01 -7.138723154206179089e-01 -6.880565817799906281e-01 -7.145167939351672048e-01 -6.865592237873537895e-01
2.511886431509571838e+10 -6.924227631697870144e-01 -6.991114639285629373e-01 -6.859607114650132509e-01 -7.062207010640225713e-01 -6.784470209662496476e-01 -7.121140256475020358e-01 -6.766179969094912039e-01
3.162277660168379211e+10 -6.855656768505491439e-01 -6.926038995657358699e-01 -6.768692037606000023e-01 -6.993683617615102932e-01 -6.696698115006658458e-01 -7.067048920421667990e-01 -6.643439496983771786e-01
3.981071705534969330e+10 -6.803599208809898435e-01 -6.894723683521970514e-01 -6.716383569294261946e-01 -6.957896258860165606e-01 -6.611342570295527521e-01 -7.019613718756660958e-01 -6.562371716940742505e-01
