# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -3.665190797130852829e-01 -3.694985623223925875e-01 -3.630910254797121706e-01 -3.726262407439785429e-01 -3.610192946421996729e-01 -3.745433083391455087e-01 -3.597411139770551047e-01
1.258925411794166088e+09 -3.674394466802328729e-01 -3.702401389014209898e-01 -3.644697494329535159e-01 -3.729473778848874099e-01 -3.615999328530161150e-01 -3.778281015427943923e-01 -3.575380967362280504e-01
1.584893192461110830e+09 -3.674937686291873673e-01 -3.704389201574531665e-01 -3.641062679141753855e-01 -3.742780204401793820e-01 -3.618054605469879781e-01 -3.767165640838273655e-01 -3.541986069188334807e-01
1.995262314968882799e+09 -3.662236895527681835e-01 -3.697530575540238784e-01 -3.628193944572530305e-01 -3.732304370871905030e-01 -3.600383684595739875e-01 -3.758631215772079148e-01 -3.579095731040129458e-01
2.511886431509582043e+09 -3.655147709981588777e-01 -3.690424395558091208e-01 -3.611322920196518016e-01 -3.727266164705742568e-01 -3.561014245178007465e-01 -3.736965770373021356e-01 -3.542681205910138686e-01
3.162277660168379307e+09 -3.634461640695779705e-01 -3.664159795049873325e-01 -3.577135235938354030e-01 -3.698033538053587810e-01 -3.532250178021956177e-01 -3.745335367136756743e-01 -3.518908357630373684e-01
3.981071705534969330e+09 -3.575581370998732744e-01 -3.629555808220786828e-01 -3.533571538188386429e-01 -3.678613145417259922e-01 -3.492652134796355723e-01 -3.704546071446509492e-01 -3.484248425327386989e-01
5.011872336272714615e+09 -3.536495049769277088e-01 -3.594167029862916363e-01 -3.483348524277165570e-01 -3.653325410952014130e-01 -3.444785574472174483e-01 -3.661827711648472095e-01 -3.386319164349089195e-01
6.309573444801942825e+09 -3.495224152300513420e-01 -3.561941889258852245e-01 -3.438347232552758093e-01 -3.610058123735517821e-01 -3.393528778080169284e-01 -3.625592799881405814e-01 -3.372204439428332923e-01
7.943282347242821693e+09 -3.475137789834435442e-01 -3.540751027877764301e-01 -3.423026755340993210e-01 -3.600414659699986419e-01 -3.364433945268801018e-01 -3.635135755661715873e-01 -3.325273460671367975e-01
1.000000000000000000e+10 -3.471075817487100368e-01 -3.553323279085474073e-01 -3.393346841410065373e-01 -3.660654515043263446e-01 -3.294064311738545969e-01 -3.692154435838906901e-01 -3.225691906241628382e-01
1.258925411794166183e+10 -3.465637843155734421e-01 -3.548327003323077933e-01 -3.378162233454076735e-01 -3.626985314610358113e-01 -3.307924976271555684e-01 -3.693181828329376581e-01 -3.230579979862855944e-01
1.584893192461110878e+10 -3.500044556843534549e-01 -3.613818277173655447e-01 -3.417178709600376396e-01 -3.686074904654462192e-01 -3.332274785494565572e-01 -3.790012433294805971e-01 -3.147691954540250969e-01
1.995262314968882751e+10 -3.530236033891538394e-01 -3.620170343569697469e-01 -3.420360725616290454e-01 -3.761332068063639733e-01 -3.359489131679683771e-01 -3.864245617624854634e-01 -3.280482608807016032e-01
2.511886431509582138e+10 -3.590388659362281354e-01 -3.721413012563004608e-01 -3.473383313408495709e-01 -3.799633491844507382e-01 -3.352950716340876713e-01 -3.849254868104310945e-01 -3.215837051825859438e-01
3.162277660168379211e+10 -3.627500019358708139e-01 -3.758252759783961006e-01 -3.509411979627847789e-01 -3.846717602467095709e-01 -3.331200955952239307e-01 -3.864865951980136494e-01 -3.234492506072338402e-01
3.981071705534969330e+10 -3.604949191590028357e-01 -3.750334783225601765e-01 -3.490899028820911298e-01 -3.881320086477303977e-01 -3.399269975282230849e-01 -3.919973274113411343e-01 -3.350847608577445236e-01
5.011872336272714996e+10 -3.615101334454936532e-01 -3.766595991300605850e-01 -3.478488007669336413e-01 -3.900386694256302578e-01 -3.346508914488124375e-01 -4.033353030509306825e-01 -3.203480467169945167e-01
6.309573444801942444e+10 -3.544602420328230030e-01 -3.725018795920624903e-01 -3.398583133334199813e-01 -3.872361798225158469e-01 -3.275376202139606008e-01 -3.979771752220709891e-01 -3.186799695071573790e-01
7.943282347242822266e+10 -3.526291412936978231e-01 -3.732512790446504969e-01 -3.386271441348724376e-01 -3.832468775430289964e-01 -3.217155831543324629e-01 -3.987580235867200784e-01 -3.014805921343026718e-01
1.000000000000000000e+11 -3.497607464423984069e-01 -3.694007950025423037e-01 -3.282326344345450897e-01 -3.816217234827100624e-01 -3.076543583101556401e-01 -3.960427348491972199e-01 -2.906756735087608345e-01
1.258925411794166107e+11 -3.397474102309068211e-01 -3.625694833439833675e-01 -3.189148336272788486e-01 -3.765133069378028274e-01 -3.044238784590449498e-01 -3.801994238106041202e-01 -2.960981740749874525e-01
1.584893192461110840e+11 -3.366374963537743792e-01 -3.626377599355919412e-01 -3.075018411261988271e-01 -3.847392164802143633e-01 -2.801070338695615947e-01 -4.068187960623305677e-01 -2.630076724103038721e-01
1.995262314968882751e+11 -3.390457149731523900e-01 -3.646508861983823735e-01 -3.175519961288544857e-01 -3.832880884418125023e-01 -2.894088698234782431e-01 -3.900349970896611063e-01 -2.750020812905142886e-01
2.511886431509582214e+11 -3.438168488528101641e-01 -3.817451527628296093e-01 -3.141290382820723925e-01 -4.028799919218160608e-01 -2.915323717163200712e-01 -4.397595756730814376e-01 -2.792222833129967552e-01
3.162277660168379517e+11 -3.576920235295673600e-01 -3.868499859732885127e-01 -3.166003786616450322e-01 -4.110401829121670958e-01 -2.827215307818413681e-01 -4.341999885537584092e-01 -2.525320316407191346e-01
3.981071705534969482e+11 -3.725463647381666576e-01 -4.041108304989698974e-01 -3.440573254226098610e-01 -4.403192813517133875e-01 -3.083124155435969516e-01 -4.548192617002170257e-01 -2.879098923540651667e-01
5.011872336272714844e+11 -3.705380074134395629e-01 -4.085553612598343265e-01 -3.360356925583484755e-01 -4.290535901530185825e-01 -3.037072139640297763e-01 -4.611520689545605678e-01 -2.958408423956856437e-01
