# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -6.965093090712184409e-01 -7.006161868761119349e-01 -6.929597784049803533e-01 -7.034907987257486006e-01 -6.908972461295779244e-01 -7.062956810314846567e-01 -6.883648426920034868e-01
1.258925411794166088e+09 -6.947804395324375104e-01 -6.976651176825180434e-01 -6.920566598731103802e-01 -7.003852697373936786e-01 -6.875142615923417466e-01 -7.019479663805594516e-01 -6.866576695598134439e-01
1.584893192461110830e+09 -6.902577197086161576e-01 -6.944899988527846180e-01 -6.878214854483878371e-01 -6.967887628878044470e-01 -6.844442194191121542e-01 -6.979038328782024569e-01 -6.817811410935279426e-01
1.995262314968882799e+09 -6.864204499730204301e-01 -6.893926231993376952e-01 -6.833457138876556369e-01 -6.935856984218442545e-01 -6.786997671108307983e-01 -6.944092697536067282e-01 -6.768748333303067355e-01
2.511886431509582043e+09 -6.801803149348897293e-01 -6.839837026243904550e-01 -6.774322226009771297e-01 -6.885378903508656556e-01 -6.732518619498992773e-01 -6.891830857960246082e-01 -6.708795433704675126e-01
3.162277660168379307e+09 -6.747388478730553807e-01 -6.783906786269743305e-01 -6.699021977826662422e-01 -6.805894284538305250e-01 -6.667120093202658637e-01 -6.823390290140626258e-01 -6.633169848657427536e-01
3.981071705534969330e+09 -6.665491480602458996e-01 -6.697927444315615597e-01 -6.608678773467084877e-01 -6.740735960881152344e-01 -6.574832435560324928e-01 -6.758473815090495496e-01 -6.538468798340000276e-01
5.011872336272714615e+09 -6.571502723493601872e-01 -6.639774578945014660e-01 -6.504644362487620457e-01 -6.680690067724239789e-01 -6.464034897439594474e-01 -6.715974493874363738e-01 -6.442184323420382386e-01
6.309573444801942825e+09 -6.449015222491221166e-01 -6.524437613980678119e-01 -6.396650241306199858e-01 -6.565492348439635473e-01 -6.323717110590330037e-01 -6.606680607667573257e-01 -6.272101771791823710e-01
7.943282347242821693e+09 -6.334118292011792217e-01 -6.395488580751433894e-01 -6.262025692260289045e-01 -6.477882963524554949e-01 -6.216687347355691617e-01 -6.499501123714624962e-01 -6.171346787673628320e-01
1.000000000000000000e+10 -6.205509903794690363e-01 -6.279180947401135082e-01 -6.126050221408947394e-01 -6.334986771931400140e-01 -6.040681235793218251e-01 -6.355504144919379428e-01 -5.983468465316339469e-01
1.258925411794166183e+10 -6.119049431231571301e-01 -6.209968004880137560e-01 -6.046336801890677126e-01 -6.259856658255318340e-01 -5.944909468160460841e-01 -6.267069043905914016e-01 -5.920382611155097230e-01
1.584893192461110878e+10 -6.015194931161760294e-01 -6.115223895439576562e-01 -5.929662247451462642e-01 -6.189256372598630485e-01 -5.837204677541694142e-01 -6.236228483630366082e-01 -5.701595435156778802e-01
1.995262314968882751e+10 -5.919989796410052296e-01 -6.019529229396807235e-01 -5.829337411644546219e-01 -6.132714994201258207e-01 -5.721762176594910043e-01 -6.174298456322551143e-01 -5.705306442991753269e-01
2.511886431509582138e+10 -5.902075529360555350e-01 -6.013543452093019770e-01 -5.796843764075785277e-01 -6.097679199222914015e-01 -5.688725325394403676e-01 -6.129183478169127897e-01 -5.666956914783830568e-01
3.162277660168379211e+10 -5.937533614506297353e-01 -6.066387141749274292e-01 -5.817340965026233102e-01 -6.148101271896631026e-01 -5.655291412931697792e-01 -6.188492186670062623e-01 -5.544142530743130237e-01
3.981071705534969330e+10 -6.011259525903034362e-01 -6.138565681670301588e-01 -5.851004356323504796e-01 -6.207892137532888821e-01 -5.729101588223071140e-01 -6.434159855140099138e-01 -5.588775989970072855e-01
5.011872336272714996e+10 -6.143172221477957162e-01 -6.286458803973974385e-01 -5.981797568733797643e-01 -6.392142360025627745e-01 -5.873138488694604753e-01 -6.513964318985594470e-01 -5.831972837662880993e-01
6.309573444801942444e+10 -6.304238456107339461e-01 -6.471668190851944669e-01 -6.147592491491744582e-01 -6.574770393618643016e-01 -5.989333750078966734e-01 -6.742640654446560022e-01 -5.818019141132844130e-01
7.943282347242822266e+10 -6.526415407605916652e-01 -6.655355731509913220e-01 -6.412369037444507480e-01 -6.819535896404611552e-01 -6.236285986107248380e-01 -6.943104426257566963e-01 -6.144584344175467727e-01
1.000000000000000000e+11 -6.579433409496506791e-01 -6.725465627918871814e-01 -6.439933453485248149e-01 -6.816978295786221276e-01 -6.223701136514667720e-01 -6.902620371061685134e-01 -6.183461289873335431e-01
1.258925411794166107e+11 -6.647123085903805517e-01 -6.777912880823052655e-01 -6.456089706520866667e-01 -6.871948489943138227e-01 -6.265262472827517470e-01 -6.943804303748595252e-01 -6.152493765602777831e-01
1.584893192461110840e+11 -6.634599321598864119e-01 -6.806461829375168859e-01 -6.460428666344921744e-01 -6.991213761238704860e-01 -6.311034570259758114e-01 -7.092616267030927846e-01 -6.214888533624514100e-01
1.995262314968882751e+11 -6.569835602631919347e-01 -6.754460005840782211e-01 -6.376703859197955238e-01 -6.954048089611747363e-01 -6.144598155187400712e-01 -7.075897129791557383e-01 -5.988336966928103910e-01
