# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.584893192461110830e+09 -4.143680896640543621e-01 -4.171368467568322691e-01 -4.104234037182005745e-01 -4.200975172882858155e-01 -4.071381376805342511e-01 -4.247099928710917904e-01 -4.023897687010573598e-01
1.995262314968874693e+09 -4.125145665515898563e-01 -4.175548668297168753e-01 -4.089629701855657662e-01 -4.213345169386896183e-01 -4.053574083427812225e-01 -4.256363667381436455e-01 -4.043553455245023631e-01
2.511886431509572029e+09 -4.105175189911035583e-01 -4.153083496532724017e-01 -4.071619940315733821e-01 -4.187185194034169777e-01 -4.023775944105141278e-01 -4.193150496691281370e-01 -3.992621435440900091e-01
3.162277660168379307e+09 -4.064810031554862979e-01 -4.104209367908574491e-01 -4.012739928455808514e-01 -4.141984865944497995e-01 -3.970771507842103532e-01 -4.167358518914153209e-01 -3.950876413158393996e-01
3.981071705534969330e+09 -4.004618949216662283e-01 -4.048042671899261258e-01 -3.949114129843653842e-01 -4.094447057785599031e-01 -3.891542930116782539e-01 -4.130968008493552945e-01 -3.833225150528957181e-01
5.011872336272714615e+09 -3.937803485123267944e-01 -3.984240916055565851e-01 -3.878134027199206524e-01 -4.030558581708718613e-01 -3.839916659409404187e-01 -4.067812991934747213e-01 -3.820348848196197244e-01
6.309573444801917076e+09 -3.894789872260297492e-01 -3.955761151818141808e-01 -3.822351610400823163e-01 -3.988197670368702763e-01 -3.756752881994779303e-01 -4.016375340742655564e-01 -3.708271688799577026e-01
7.943282347242789268e+09 -3.854549032100857975e-01 -3.933163988763952457e-01 -3.774027069232192555e-01 -3.996346694356688323e-01 -3.732514725971590730e-01 -4.063107475693871207e-01 -3.669626632473902972e-01
1.000000000000000000e+10 -3.867363883859946672e-01 -3.937391164355850681e-01 -3.782740777345131589e-01 -3.981310938836473134e-01 -3.702267598483000022e-01 -4.004787707735811830e-01 -3.669547847556323683e-01
1.258925411794166183e+10 -3.852200710613878365e-01 -3.939688518343082424e-01 -3.766551215259015262e-01 -3.999170811043578078e-01 -3.690185988275659357e-01 -4.062553188164362838e-01 -3.604889015900022420e-01
1.584893192461110878e+10 -3.875036404501098763e-01 -3.958348271217927428e-01 -3.802710662336838965e-01 -4.032371094486653651e-01 -3.672722792068331410e-01 -4.104031147751585618e-01 -3.640273768041595859e-01
1.995262314968874741e+10 -3.871937784463669319e-01 -3.960283146822685119e-01 -3.789505171646074255e-01 -4.061561387846434612e-01 -3.658129960795140079e-01 -4.105757141675677735e-01 -3.568358749429139665e-01
2.511886431509571838e+10 -3.889013345988805437e-01 -3.948180385511145252e-01 -3.766182714873626547e-01 -4.032153428279543483e-01 -3.681621326047973541e-01 -4.062028658118050917e-01 -3.598030202881800643e-01
3.162277660168379211e+10 -3.874365956495392505e-01 -3.992522412949718325e-01 -3.739342743502733213e-01 -4.132859803343603700e-01 -3.678562840208776663e-01 -4.178870248336113424e-01 -3.659632983559363284e-01
3.981071705534969330e+10 -3.897254553538598287e-01 -4.028853019514488931e-01 -3.764609196923990320e-01 -4.134890933428396753e-01 -3.674533018608044377e-01 -4.204393311161013225e-01 -3.614332666304260200e-01
5.011872336272714996e+10 -3.987867396237345097e-01 -4.103802352479472559e-01 -3.837174577254804375e-01 -4.247202534099346893e-01 -3.719466610365481651e-01 -4.272281101901768685e-01 -3.693187211158915906e-01
