# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 5.983943531879276634e-01 5.955316120760438814e-01 6.009906873738320998e-01 5.936128209484901053e-01 6.036349341861622086e-01 5.929169925160351351e-01 6.038546523864752880e-01
1.258925411794166088e+09 6.085669415110046554e-01 6.058939233606789321e-01 6.107948598301597976e-01 6.039938450603867803e-01 6.128360908105658922e-01 6.032026394172789185e-01 6.143338260407932294e-01
1.584893192461110830e+09 6.193262199778486465e-01 6.171824325925854282e-01 6.226789943989669007e-01 6.145562448490465846e-01 6.243021239096673280e-01 6.125317027985184293e-01 6.250271287004036669e-01
1.995262314968882799e+09 6.307975470948465890e-01 6.274948899438614891e-01 6.332772990753995357e-01 6.248501366987420091e-01 6.355311176010097762e-01 6.227183644547439334e-01 6.374686639931539389e-01
2.511886431509582043e+09 6.410184186317262611e-01 6.382644301537642173e-01 6.436151472454690881e-01 6.355598928331971376e-01 6.465178539714691031e-01 6.340200623025853410e-01 6.493739345142685027e-01
3.162277660168379307e+09 6.512075065075080271e-01 6.480853659037535408e-01 6.545535575642298376e-01 6.453274833652065112e-01 6.563354281898893250e-01 6.421869535868163226e-01 6.578585272479819945e-01
3.981071705534969330e+09 6.614934012713742373e-01 6.575757009539020537e-01 6.652924162031319533e-01 6.542886876635951587e-01 6.675637640592296806e-01 6.529660332147416701e-01 6.682248973653478474e-01
5.011872336272714615e+09 6.709528754885946134e-01 6.676948741660915232e-01 6.746667140591598999e-01 6.647163645290257161e-01 6.786749587477673984e-01 6.638120248822667602e-01 6.794528729465961758e-01
6.309573444801942825e+09 6.806278450338717478e-01 6.769886224445460510e-01 6.848991263775887628e-01 6.731761554643569401e-01 6.877014986766882831e-01 6.714096946429850554e-01 6.924631615047399658e-01
7.943282347242821693e+09 6.886419507284183839e-01 6.841845934539169116e-01 6.935997212339826135e-01 6.805756701735370395e-01 6.972620579502433191e-01 6.801345625500921921e-01 6.976583510571269242e-01
