# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -9.248391906668340656e-02 -9.708112812524304081e-02 -8.748448887891616121e-02 -1.011341843169702714e-01 -8.436847717660037049e-02 -1.023703790927092544e-01 -8.146533414497940384e-02
1.258925411794166088e+09 -9.585477552589985462e-02 -9.983449774651535769e-02 -9.107269990775335167e-02 -1.041049759286119814e-01 -8.724032326869118892e-02 -1.071255659804674631e-01 -8.483960764835726809e-02
1.584893192461110830e+09 -9.927095895149920524e-02 -1.036509883656272779e-01 -9.438168380573977445e-02 -1.070465433024566648e-01 -9.090564339342016575e-02 -1.086282377002543986e-01 -8.813074571379581057e-02
1.995262314968882799e+09 -1.028921766078224609e-01 -1.073633373873474212e-01 -9.921556931017520842e-02 -1.126318233010952657e-01 -9.631640053725976092e-02 -1.152465347721354783e-01 -9.188966423035943576e-02
2.511886431509582043e+09 -1.057400760018552544e-01 -1.102378896121496282e-01 -1.008537391020000173e-01 -1.134324257749596276e-01 -9.568963776284597489e-02 -1.156901859025126766e-01 -9.384804937238509781e-02
3.162277660168379307e+09 -1.059313646517934526e-01 -1.110660664613642434e-01 -1.009625467714581060e-01 -1.176285140507670468e-01 -9.539638472038501626e-02 -1.191307130501991357e-01 -9.096616055739305262e-02
3.981071705534969330e+09 -1.074857897195165002e-01 -1.138185654546795267e-01 -1.011378607677813901e-01 -1.183416097912861342e-01 -9.447568922565161009e-02 -1.222129271155417141e-01 -8.927735197942238132e-02
5.011872336272714615e+09 -1.104686089823637141e-01 -1.157872961713161675e-01 -1.012623908315804511e-01 -1.203852224245487712e-01 -9.461985833675917723e-02 -1.262013509643136744e-01 -9.342851778868956070e-02
6.309573444801917076e+09 -1.144026151701247052e-01 -1.207607786583185239e-01 -1.079261014904913663e-01 -1.301235295947003601e-01 -9.491469192390797338e-02 -1.349166969072322642e-01 -8.841869374811966997e-02
7.943282347242821693e+09 -1.165466166229388728e-01 -1.270744591888705310e-01 -1.084191214864706210e-01 -1.369231945701775144e-01 -9.785151540671796488e-02 -1.550080473447459639e-01 -9.243594527277876338e-02
1.000000000000000000e+10 -1.210360089482979962e-01 -1.316100149639582995e-01 -1.091285280481137654e-01 -1.399030162627249996e-01 -9.458805504714545842e-02 -1.453822762230950194e-01 -8.880049256928386481e-02
1.258925411794166183e+10 -1.232800016550137379e-01 -1.346139148679491859e-01 -1.151689417047996600e-01 -1.498326896910020245e-01 -9.515549973020651087e-02 -1.547924550576302294e-01 -8.805963112068099230e-02
1.584893192461110878e+10 -1.179809969288543592e-01 -1.283238980621016490e-01 -1.027895233651233281e-01 -1.413924882583762477e-01 -8.661075727632294718e-02 -1.440184504220090034e-01 -7.819200896067755868e-02
1.995262314968874741e+10 -1.074671831900801122e-01 -1.250396546247825869e-01 -8.939070837358858990e-02 -1.331494979470692341e-01 -7.682840608098052970e-02 -1.523324388137146657e-01 -6.935802254067881256e-02
2.511886431509571838e+10 -9.448171743304344117e-02 -1.154523209094470010e-01 -7.651414301615301616e-02 -1.389939135685305249e-01 -5.472833050165427232e-02 -1.467376722706255354e-01 -4.567561686586307790e-02
3.162277660168379211e+10 -7.785142497845939924e-02 -1.042947164970716434e-01 -5.592702803153724866e-02 -1.299939060382439560e-01 -2.678433745038125841e-02 -1.333199803685857776e-01 -1.147945959849263654e-02
3.981071705534969330e+10 -7.525333539287841489e-02 -9.794598350271443987e-02 -4.560198240068050191e-02 -1.264167236761640778e-01 -1.841750607827881414e-02 -1.366597202241709719e-01 9.666261646045554504e-03
5.011872336272714996e+10 -6.631296613011899987e-02 -9.704148926296501942e-02 -3.812688479888973192e-02 -1.201459075206386951e-01 -6.840072807193627036e-03 -1.422983885755710332e-01 1.809493697939913888e-03
6.309573444801917267e+10 -5.225485420927619695e-02 -1.068093000578801410e-01 -1.697135067521847451e-02 -1.412386469421523794e-01 2.493622225575991766e-02 -1.522573379712811870e-01 4.343132045456467305e-02
7.943282347242788696e+10 -3.333145624856637124e-02 -7.994611515118256462e-02 2.424651447942689081e-02 -1.453783790149023036e-01 5.091221823641400857e-02 -1.747305579004090614e-01 1.101919540676492421e-01
1.000000000000000000e+11 1.387604065242301760e-02 -6.772466158247671120e-02 7.454384110841141831e-02 -1.262309357301159285e-01 1.109864266706884484e-01 -1.861522743380023825e-01 1.725567156446062567e-01
1.258925411794166107e+11 7.327573624723653437e-03 -4.541206109890218168e-02 7.108679096568595868e-02 -1.234622769730858577e-01 1.472327004903353220e-01 -2.064366839274410503e-01 1.856002747405885722e-01
1.584893192461110840e+11 -1.569471471644754302e-03 -6.838896028813463979e-02 7.641865136165587602e-02 -1.292570219662981801e-01 1.440887034661907373e-01 -1.493110206859892541e-01 2.084481601395215822e-01
