# M200c[Msun] <corr> corr+ corr- corr++ corr-- corr+++ corr---
1.000000000000000000e+09 -1.821878133749536000e-01 -1.853230956018852016e-01 -1.804320246175394882e-01 -1.865679870743433555e-01 -1.797348731991544879e-01 -1.867846904047341938e-01 -1.796135172115096712e-01
1.258925411794166088e+09 -1.816240683434603709e-01 -1.850404444236493640e-01 -1.798242615784276521e-01 -1.863969466907832162e-01 -1.791096324217235081e-01 -1.866330785669139403e-01 -1.789852340129639008e-01
1.584893192461110830e+09 -1.793277659474817876e-01 -1.800986834419256721e-01 -1.791533078202026119e-01 -1.804047830353077975e-01 -1.790840376814299972e-01 -1.804580670386002617e-01 -1.790719795461621910e-01
1.995262314968882799e+09 -1.777171940062441668e-01 -1.780659133603899047e-01 -1.767720544153689177e-01 -1.782043754568889971e-01 -1.763967784013449336e-01 -1.782284781181313893e-01 -1.763314525766815077e-01
2.511886431509582043e+09 -1.728350710719698535e-01 -1.764173956094805540e-01 -1.709895819456845045e-01 -1.778397891758451144e-01 -1.702568142043653365e-01 -1.780873910188789377e-01 -1.701292583382838230e-01
3.162277660168379307e+09 -1.657045684600551294e-01 -1.660309782449212734e-01 -1.646586775688731463e-01 -1.661605821300886909e-01 -1.642433973620803234e-01 -1.661831428063956506e-01 -1.641711078446015382e-01
3.981071705534969330e+09 -1.589853065278600819e-01 -1.620026720903304795e-01 -1.532233266862648158e-01 -1.632007437107231562e-01 -1.509354817491607992e-01 -1.634092969187174449e-01 -1.505372272601093742e-01
5.011872336272714615e+09 -1.442216272187054060e-01 -1.495283906538139584e-01 -1.434726086346505280e-01 -1.516354879001070854e-01 -1.431752041968640532e-01 -1.520022789022395793e-01 -1.431234337947308310e-01
6.309573444801942825e+09 -1.463540013030864007e-01 -1.508794517625761944e-01 -1.462577602063873661e-01 -1.526763217979618392e-01 -1.462195468297568801e-01 -1.529891102856030527e-01 -1.462128948716026611e-01
7.943282347242821693e+09 -1.426823544533195043e-01 -1.448726840459224341e-01 -1.370754567726302220e-01 -1.457423737371030259e-01 -1.348491885758859588e-01 -1.458937641648270223e-01 -1.344616530008971578e-01
1.000000000000000000e+10 -1.423001081772901355e-01 -1.446319569446458120e-01 -1.416236192714212805e-01 -1.455578380728605736e-01 -1.413550133823262556e-01 -1.457190099729571975e-01 -1.413082560608912019e-01
1.258925411794166183e+10 -1.463357194667027350e-01 -1.475792070079188223e-01 -1.456923359720518896e-01 -1.480729447081075290e-01 -1.454368748785875853e-01 -1.481588916411033796e-01 -1.453924057252808100e-01
1.584893192461110878e+10 -1.509714488613023708e-01 -1.515701913010491508e-01 -1.424551521877776283e-01 -1.518079272697721582e-01 -1.390736814497604557e-01 -1.518493109384017048e-01 -1.384850550620315424e-01
1.995262314968882751e+10 -1.616229801434888591e-01 -1.717726989326549547e-01 -1.562903258300318565e-01 -1.758027343342356275e-01 -1.541729483820415691e-01 -1.765042590152515189e-01 -1.538043678633173317e-01
2.511886431509582138e+10 -1.739793308292758856e-01 -1.799992126310314411e-01 -1.733892236893673222e-01 -1.823894598170226200e-01 -1.731549164426388898e-01 -1.828055398827322098e-01 -1.731141296256157869e-01
3.162277660168379211e+10 -1.842655720040389522e-01 -1.937698560920469715e-01 -1.838571132783246576e-01 -1.975436159505207512e-01 -1.836949311372322036e-01 -1.982005297036624758e-01 -1.836666994311901835e-01
3.981071705534969330e+10 -1.916826881540494854e-01 -2.070514004233750538e-01 -1.858446844610691373e-01 -2.131536832361955180e-01 -1.835266535829739865e-01 -2.142159324665753595e-01 -1.831231445041944794e-01
5.011872336272714996e+10 -1.995344105096124310e-01 -2.031695820558301335e-01 -1.952620369527198196e-01 -2.046129589932989268e-01 -1.935656533345418429e-01 -2.048642134972286921e-01 -1.932703569269330901e-01
6.309573444801942444e+10 -1.891148768923308909e-01 -1.911778365420814529e-01 -1.881382307410532639e-01 -1.919969528736000242e-01 -1.877504447692224798e-01 -1.921395397905680813e-01 -1.876829412852371037e-01
7.943282347242822266e+10 -1.751780081881688378e-01 -1.936561423682951477e-01 -1.726240249960380169e-01 -2.009930485868747230e-01 -1.716099434344566244e-01 -2.022702137434422842e-01 -1.714334181255887934e-01
1.000000000000000000e+11 -1.655864443153916843e-01 -1.683423510780268362e-01 -1.594143635427587302e-01 -1.694366081749554831e-01 -1.569636844124486230e-01 -1.696270899659023390e-01 -1.565370847119872122e-01
